ward,precinct,total,MEGAN MATHIAS,MEGAN MATHIAS Percent,"JAMES """"JIM"""" GARDINER","JAMES """"JIM"""" GARDINER Percent",precinct_id
45,1,1101,385,34.97,716,65.03,45001
45,2,596,253,42.45,343,57.55,45002
45,3,353,114,32.29,239,67.71,45003
45,4,400,188,47.0,212,53.0,45004
45,5,594,294,49.49,300,50.51,45005
45,6,680,247,36.32,433,63.68,45006
45,7,705,178,25.25,527,74.75,45007
45,8,601,190,31.61,411,68.39,45008
45,9,598,216,36.12,382,63.88,45009
45,10,611,182,29.79,429,70.21,45010
45,11,824,266,32.28,558,67.72,45011
45,12,497,227,45.67,270,54.33,45012
45,13,746,345,46.25,401,53.75,45013
45,14,445,175,39.33,270,60.67,45014
45,15,499,273,54.71,226,45.29,45015
45,16,587,303,51.62,284,48.38,45016
45,17,711,245,34.46,466,65.54,45017
45,18,669,309,46.19,360,53.81,45018
45,19,408,219,53.68,189,46.32,45019
45,20,590,299,50.68,291,49.32,45020
45,21,527,224,42.5,303,57.5,45021
45,22,587,368,62.69,219,37.31,45022
45,23,639,371,58.06,268,41.94,45023
45,24,527,303,57.5,224,42.5,45024
45,25,745,440,59.06,305,40.94,45025
45,26,545,320,58.72,225,41.28,45026
45,27,700,453,64.71,247,35.29,45027
45,28,645,362,56.12,283,43.88,45028
45,29,572,465,81.29,107,18.71,45029
