ward,precinct,total,PETER CHICO,PETER CHICO Percent,ANA GUAJARDO,ANA GUAJARDO Percent,precinct_id
10,1,135,53,39.26,82,60.74,10001
10,2,186,104,55.91,82,44.09,10002
10,3,256,97,37.89,159,62.11,10003
10,4,289,114,39.45,175,60.55,10004
10,5,131,70,53.44,61,46.56,10005
10,6,148,69,46.62,79,53.38,10006
10,7,371,192,51.75,179,48.25,10007
10,8,374,198,52.94,176,47.06,10008
10,9,353,165,46.74,188,53.26,10009
10,10,348,165,47.41,183,52.59,10010
10,11,123,56,45.53,67,54.47,10011
10,12,331,189,57.1,142,42.9,10012
10,13,417,226,54.2,191,45.8,10013
10,14,621,367,59.1,254,40.9,10014
10,15,522,367,70.31,155,29.69,10015
10,16,584,340,58.22,244,41.78,10016
10,17,549,355,64.66,194,35.34,10017
10,18,653,506,77.49,147,22.51,10018
10,19,402,315,78.36,87,21.64,10019
10,20,233,162,69.53,71,30.47,10020
10,21,317,253,79.81,64,20.19,10021
10,22,624,485,77.72,139,22.28,10022
10,23,302,111,36.75,191,63.25,10023
10,24,116,25,21.55,91,78.45,10024
10,25,173,43,24.86,130,75.14,10025
