ward,precinct,total,MONIQUE L. SCOTT,MONIQUE L. SCOTT Percent,CREATIVE SCOTT,CREATIVE SCOTT Percent,precinct_id
24,1,174,125,71.84,49,28.16,24001
24,2,168,117,69.64,51,30.36,24002
24,3,319,217,68.03,102,31.97,24003
24,4,288,189,65.63,99,34.38,24004
24,5,511,295,57.73,216,42.27,24005
24,6,318,211,66.35,107,33.65,24006
24,7,159,119,74.84,40,25.16,24007
24,8,219,138,63.01,81,36.99,24008
24,9,401,219,54.61,182,45.39,24009
24,10,264,179,67.8,85,32.2,24010
24,11,358,254,70.95,104,29.05,24011
24,12,527,341,64.71,186,35.29,24012
24,13,335,219,65.37,116,34.63,24013
24,14,315,228,72.38,87,27.62,24014
24,15,211,158,74.88,53,25.12,24015
24,16,130,90,69.23,40,30.77,24016
24,17,257,189,73.54,68,26.46,24017
24,18,428,268,62.62,160,37.38,24018
24,19,973,694,71.33,279,28.67,24019
24,20,330,223,67.58,107,32.42,24020
