ward,precinct,total,CHRIS TALIAFERRO,CHRIS TALIAFERRO Percent,CB JOHNSON,CB JOHNSON Percent,precinct_id
29,1,591,466,78.85,125,21.15,29001
29,2,441,314,71.2,127,28.8,29002
29,3,359,247,68.8,112,31.2,29003
29,4,437,319,73.0,118,27.0,29004
29,5,400,273,68.25,127,31.75,29005
29,6,340,223,65.59,117,34.41,29006
29,7,662,405,61.18,257,38.82,29007
29,8,867,566,65.28,301,34.72,29008
29,9,333,178,53.45,155,46.55,29009
29,10,436,183,41.97,253,58.03,29010
29,11,366,170,46.45,196,53.55,29011
29,12,501,192,38.32,309,61.68,29012
29,13,480,208,43.33,272,56.67,29013
29,14,429,164,38.23,265,61.77,29014
29,15,398,146,36.68,252,63.32,29015
29,16,498,262,52.61,236,47.39,29016
29,17,324,133,41.05,191,58.95,29017
29,18,445,190,42.7,255,57.3,29018
29,19,491,192,39.1,299,60.9,29019
29,20,290,114,39.31,176,60.69,29020
29,21,416,186,44.71,230,55.29,29021
29,22,455,153,33.63,302,66.37,29022
29,23,452,141,31.19,311,68.81,29023
29,24,333,101,30.33,232,69.67,29024
