ward,precinct,total,CORNELL DANTZLER,CORNELL DANTZLER Percent,RONNIE L. MOSLEY,RONNIE L. MOSLEY Percent,precinct_id
21,1,506,262,51.78,244,48.22,21001
21,2,169,62,36.69,107,63.31,21002
21,3,552,302,54.71,250,45.29,21003
21,4,448,219,48.88,229,51.12,21004
21,5,483,266,55.07,217,44.93,21005
21,6,391,199,50.9,192,49.1,21006
21,7,582,344,59.11,238,40.89,21007
21,8,522,224,42.91,298,57.09,21008
21,9,165,94,56.97,71,43.03,21009
21,10,525,283,53.9,242,46.1,21010
21,11,601,406,67.55,195,32.45,21011
21,12,226,121,53.54,105,46.46,21012
21,13,379,175,46.17,204,53.83,21013
21,14,643,451,70.14,192,29.86,21014
21,15,591,347,58.71,244,41.29,21015
21,16,557,176,31.6,381,68.4,21016
21,17,370,178,48.11,192,51.89,21017
21,18,567,287,50.62,280,49.38,21018
21,19,481,214,44.49,267,55.51,21019
21,20,400,169,42.25,231,57.75,21020
21,21,613,243,39.64,370,60.36,21021
21,22,657,417,63.47,240,36.53,21022
21,23,466,183,39.27,283,60.73,21023
21,24,409,136,33.25,273,66.75,21024
21,25,337,119,35.31,218,64.69,21025
21,26,393,128,32.57,265,67.43,21026
21,27,559,175,31.31,384,68.69,21027
21,28,522,156,29.89,366,70.11,21028
21,29,549,167,30.42,382,69.58,21029
