ward,precinct,total,JOE DUNNE,JOE DUNNE Percent,LENI MANAA-HOPPENWORTH,LENI MANAA-HOPPENWORTH Percent,precinct_id
48,1,856,290,33.88,566,66.12,48001
48,2,299,175,58.53,124,41.47,48002
48,3,430,164,38.14,266,61.86,48003
48,4,449,193,42.98,256,57.02,48004
48,5,317,210,66.25,107,33.75,48005
48,6,637,248,38.93,389,61.07,48006
48,7,693,243,35.06,450,64.94,48007
48,8,448,285,63.62,163,36.38,48008
48,9,330,194,58.79,136,41.21,48009
48,10,799,276,34.54,523,65.46,48010
48,11,539,263,48.79,276,51.21,48011
48,12,718,293,40.81,425,59.19,48012
48,13,581,379,65.23,202,34.77,48013
48,14,600,280,46.67,320,53.33,48014
48,15,462,198,42.86,264,57.14,48015
48,16,349,149,42.69,200,57.31,48016
48,17,221,145,65.61,76,34.39,48017
48,18,598,266,44.48,332,55.52,48018
48,19,423,238,56.26,185,43.74,48019
48,20,268,175,65.3,93,34.7,48020
48,21,579,247,42.66,332,57.34,48021
48,22,388,280,72.16,108,27.84,48022
48,23,470,299,63.62,171,36.38,48023
48,24,783,389,49.68,394,50.32,48024
48,25,669,282,42.15,387,57.85,48025
48,26,347,213,61.38,134,38.62,48026
48,27,419,192,45.82,227,54.18,48027
48,28,554,176,31.77,378,68.23,48028
48,29,236,129,54.66,107,45.34,48029
48,30,652,355,54.45,297,45.55,48030
48,31,596,170,28.52,426,71.48,48031
48,32,471,207,43.95,264,56.05,48032
48,33,265,193,72.83,72,27.17,48033
48,34,481,193,40.12,288,59.88,48034
48,35,773,422,54.59,351,45.41,48035
