ward,precinct,total,FREDERICK SCOTT RHINE,FREDERICK SCOTT RHINE Percent,MARY REGINA MINELLA,MARY REGINA MINELLA Percent,WILLIAM TIMOTHY O'BRIEN,WILLIAM TIMOTHY O'BRIEN Percent,precinct_id
26,7,45,6,13.33,24,53.33,15,33.33,26007
30,1,193,20,10.36,60,31.09,113,58.55,30001
30,2,126,15,11.9,56,44.44,55,43.65,30002
30,3,143,17,11.89,53,37.06,73,51.05,30003
30,6,133,13,9.77,40,30.08,80,60.15,30006
30,12,133,24,18.05,54,40.6,55,41.35,30012
30,13,98,17,17.35,40,40.82,41,41.84,30013
30,15,171,28,16.37,50,29.24,93,54.39,30015
30,28,149,20,13.42,59,39.6,70,46.98,30028
30,29,133,18,13.53,57,42.86,58,43.61,30029
30,32,152,18,11.84,61,40.13,73,48.03,30032
30,44,175,31,17.71,74,42.29,70,40.0,30044
32,9,226,21,9.29,129,57.08,76,33.63,32009
32,19,229,19,8.3,92,40.17,118,51.53,32019
32,21,150,14,9.33,78,52.0,58,38.67,32021
32,22,144,12,8.33,58,40.28,74,51.39,32022
32,25,143,26,18.18,65,45.45,52,36.36,32025
32,44,115,13,11.3,46,40.0,56,48.7,32044
33,8,28,7,25.0,10,35.71,11,39.29,33008
33,14,130,27,20.77,55,42.31,48,36.92,33014
33,18,59,18,30.51,28,47.46,13,22.03,33018
33,26,3,1,33.33,1,33.33,1,33.33,33026
33,29,161,19,11.8,74,45.96,68,42.24,33029
33,37,114,23,20.18,56,49.12,35,30.7,33037
38,4,55,3,5.45,18,32.73,34,61.82,38004
38,5,225,15,6.67,83,36.89,127,56.44,38005
38,41,206,19,9.22,64,31.07,123,59.71,38041
38,42,166,19,11.45,43,25.9,104,62.65,38042
39,1,137,14,10.22,57,41.61,66,48.18,39001
39,2,212,30,14.15,69,32.55,113,53.3,39002
39,3,160,12,7.5,41,25.63,107,66.88,39003
39,4,105,14,13.33,28,26.67,63,60.0,39004
39,5,145,17,11.72,53,36.55,75,51.72,39005
39,6,152,16,10.53,56,36.84,80,52.63,39006
39,7,160,19,11.88,52,32.5,89,55.63,39007
39,8,133,14,10.53,40,30.08,79,59.4,39008
39,9,232,30,12.93,69,29.74,133,57.33,39009
39,10,126,12,9.52,47,37.3,67,53.17,39010
39,11,182,17,9.34,61,33.52,104,57.14,39011
39,12,90,10,11.11,34,37.78,46,51.11,39012
39,13,70,11,15.71,21,30.0,38,54.29,39013
39,14,129,16,12.4,62,48.06,51,39.53,39014
39,15,111,9,8.11,38,34.23,64,57.66,39015
39,16,96,16,16.67,43,44.79,37,38.54,39016
39,17,104,14,13.46,42,40.38,48,46.15,39017
39,18,137,22,16.06,43,31.39,72,52.55,39018
39,19,104,11,10.58,31,29.81,62,59.62,39019
39,20,119,11,9.24,35,29.41,73,61.34,39020
39,21,105,15,14.29,37,35.24,53,50.48,39021
39,22,61,4,6.56,19,31.15,38,62.3,39022
39,24,129,12,9.3,59,45.74,58,44.96,39024
39,25,67,12,17.91,31,46.27,24,35.82,39025
39,26,161,16,9.94,48,29.81,97,60.25,39026
39,28,82,6,7.32,23,28.05,53,64.63,39028
39,30,148,22,14.86,67,45.27,59,39.86,39030
39,31,90,9,10.0,43,47.78,38,42.22,39031
39,33,167,21,12.57,61,36.53,85,50.9,39033
39,35,131,18,13.74,50,38.17,63,48.09,39035
39,36,228,30,13.16,85,37.28,113,49.56,39036
39,37,197,14,7.11,61,30.96,122,61.93,39037
39,38,266,18,6.77,80,30.08,168,63.16,39038
39,39,82,9,10.98,27,32.93,46,56.1,39039
39,40,103,14,13.59,33,32.04,56,54.37,39040
39,42,139,11,7.91,35,25.18,93,66.91,39042
39,43,118,22,18.64,50,42.37,46,38.98,39043
39,44,171,23,13.45,75,43.86,73,42.69,39044
39,45,139,12,8.63,58,41.73,69,49.64,39045
39,46,131,12,9.16,66,50.38,53,40.46,39046
39,47,106,12,11.32,30,28.3,64,60.38,39047
39,48,110,14,12.73,39,35.45,57,51.82,39048
39,49,91,17,18.68,29,31.87,45,49.45,39049
39,50,137,12,8.76,46,33.58,79,57.66,39050
40,1,107,17,15.89,34,31.78,56,52.34,40001
40,2,100,8,8.0,27,27.0,65,65.0,40002
40,5,120,14,11.67,49,40.83,57,47.5,40005
40,6,109,13,11.93,41,37.61,55,50.46,40006
40,10,161,8,4.97,55,34.16,98,60.87,40010
40,14,102,19,18.63,35,34.31,48,47.06,40014
40,15,139,9,6.47,49,35.25,81,58.27,40015
40,17,73,11,15.07,20,27.4,42,57.53,40017
40,18,17,0,0.0,5,29.41,12,70.59,40018
40,19,111,17,15.32,36,32.43,58,52.25,40019
40,20,98,9,9.18,30,30.61,59,60.2,40020
40,21,119,14,11.76,43,36.13,62,52.1,40021
40,24,89,12,13.48,20,22.47,57,64.04,40024
40,25,105,10,9.52,31,29.52,64,60.95,40025
40,29,188,18,9.57,54,28.72,116,61.7,40029
40,30,190,15,7.89,41,21.58,134,70.53,40030
40,31,143,10,6.99,33,23.08,100,69.93,40031
40,32,88,13,14.77,35,39.77,40,45.45,40032
40,34,117,17,14.53,35,29.91,65,55.56,40034
40,36,137,9,6.57,37,27.01,91,66.42,40036
40,38,78,8,10.26,23,29.49,47,60.26,40038
40,44,104,15,14.42,46,44.23,43,41.35,40044
41,1,125,14,11.2,42,33.6,69,55.2,41001
41,2,222,22,9.91,54,24.32,146,65.77,41002
41,3,176,19,10.8,62,35.23,95,53.98,41003
41,4,184,14,7.61,40,21.74,130,70.65,41004
41,5,140,10,7.14,45,32.14,85,60.71,41005
41,6,153,13,8.5,34,22.22,106,69.28,41006
41,7,218,12,5.5,63,28.9,143,65.6,41007
41,8,147,17,11.56,28,19.05,102,69.39,41008
41,9,152,20,13.16,55,36.18,77,50.66,41009
41,10,179,21,11.73,48,26.82,110,61.45,41010
41,11,122,10,8.2,41,33.61,71,58.2,41011
41,12,168,27,16.07,70,41.67,71,42.26,41012
41,13,141,9,6.38,45,31.91,87,61.7,41013
41,14,203,16,7.88,73,35.96,114,56.16,41014
41,15,102,11,10.78,37,36.27,54,52.94,41015
41,16,171,14,8.19,50,29.24,107,62.57,41016
41,17,184,14,7.61,64,34.78,106,57.61,41017
41,18,126,14,11.11,36,28.57,76,60.32,41018
41,19,202,23,11.39,68,33.66,111,54.95,41019
41,20,206,26,12.62,54,26.21,126,61.17,41020
41,21,125,7,5.6,52,41.6,66,52.8,41021
41,22,173,18,10.4,49,28.32,106,61.27,41022
41,23,175,15,8.57,72,41.14,88,50.29,41023
41,24,147,10,6.8,58,39.46,79,53.74,41024
41,30,146,19,13.01,42,28.77,85,58.22,41030
41,31,172,9,5.23,60,34.88,103,59.88,41031
41,32,113,14,12.39,56,49.56,43,38.05,41032
41,33,164,23,14.02,52,31.71,89,54.27,41033
41,34,131,20,15.27,36,27.48,75,57.25,41034
41,35,147,14,9.52,40,27.21,93,63.27,41035
41,36,155,20,12.9,45,29.03,90,58.06,41036
41,37,165,9,5.45,57,34.55,99,60.0,41037
