ward,precinct,total,KIMBERLY A. LIGHTFORD,KIMBERLY A. LIGHTFORD Percent,JASON C. ERVIN,JASON C. ERVIN Percent,RONALD LAWLESS,RONALD LAWLESS Percent,GREGORY M. LaNIER,GREGORY M. LaNIER Percent,precinct_id
24,7,139,65,46.76,54,38.85,18,12.95,2,1.44,24007
24,16,118,76,64.41,34,28.81,7,5.93,1,0.85,24016
24,41,137,74,54.01,55,40.15,7,5.11,1,0.73,24041
24,46,150,111,74.0,31,20.67,7,4.67,1,0.67,24046
28,1,189,113,59.79,52,27.51,22,11.64,2,1.06,28001
28,4,229,101,44.1,93,40.61,28,12.23,7,3.06,28004
28,8,99,56,56.57,27,27.27,16,16.16,0,0.0,28008
28,12,120,60,50.0,51,42.5,7,5.83,2,1.67,28012
28,19,152,52,34.21,90,59.21,10,6.58,0,0.0,28019
28,21,156,42,26.92,92,58.97,19,12.18,3,1.92,28021
28,27,79,36,45.57,33,41.77,9,11.39,1,1.27,28027
28,40,164,55,33.54,98,59.76,10,6.1,1,0.61,28040
28,42,110,43,39.09,61,55.45,5,4.55,1,0.91,28042
28,45,103,43,41.75,51,49.51,7,6.8,2,1.94,28045
28,47,160,62,38.75,77,48.13,19,11.88,2,1.25,28047
28,51,130,39,30.0,74,56.92,13,10.0,4,3.08,28051
28,58,98,44,44.9,40,40.82,14,14.29,0,0.0,28058
28,60,119,38,31.93,73,61.34,8,6.72,0,0.0,28060
28,61,75,31,41.33,37,49.33,5,6.67,2,2.67,28061
29,1,196,138,70.41,48,24.49,8,4.08,2,1.02,29001
29,3,189,136,71.96,43,22.75,8,4.23,2,1.06,29003
29,10,203,181,89.16,15,7.39,6,2.96,1,0.49,29010
29,12,179,89,49.72,55,30.73,20,11.17,15,8.38,29012
29,14,190,137,72.11,35,18.42,14,7.37,4,2.11,29014
29,15,220,136,61.82,67,30.45,15,6.82,2,0.91,29015
29,16,177,147,83.05,18,10.17,10,5.65,2,1.13,29016
29,19,164,109,66.46,40,24.39,8,4.88,7,4.27,29019
29,20,96,77,80.21,8,8.33,8,8.33,3,3.13,29020
29,21,145,82,56.55,36,24.83,23,15.86,4,2.76,29021
29,22,123,67,54.47,32,26.02,12,9.76,12,9.76,29022
29,23,65,42,64.62,13,20.0,9,13.85,1,1.54,29023
29,24,219,119,54.34,65,29.68,29,13.24,6,2.74,29024
29,25,276,227,82.25,31,11.23,17,6.16,1,0.36,29025
29,26,184,137,74.46,31,16.85,14,7.61,2,1.09,29026
29,27,122,63,51.64,32,26.23,25,20.49,2,1.64,29027
29,28,138,99,71.74,33,23.91,6,4.35,0,0.0,29028
29,30,139,97,69.78,32,23.02,9,6.47,1,0.72,29030
29,31,196,103,52.55,68,34.69,23,11.73,2,1.02,29031
29,34,140,89,63.57,32,22.86,12,8.57,7,5.0,29034
29,36,245,201,82.04,33,13.47,11,4.49,0,0.0,29036
29,38,190,109,57.37,68,35.79,13,6.84,0,0.0,29038
29,42,138,101,73.19,26,18.84,11,7.97,0,0.0,29042
29,49,299,231,77.26,52,17.39,14,4.68,2,0.67,29049
29,55,38,21,55.26,13,34.21,3,7.89,1,2.63,29055
29,56,150,97,64.67,42,28.0,10,6.67,1,0.67,29056
36,24,2,2,100.0,0,0.0,0,0.0,0,0.0,36024
36,26,316,222,70.25,57,18.04,34,10.76,3,0.95,36026
36,43,232,148,63.79,47,20.26,35,15.09,2,0.86,36043
37,1,104,65,62.5,30,28.85,8,7.69,1,0.96,37001
37,4,173,114,65.9,36,20.81,22,12.72,1,0.58,37004
37,5,153,102,66.67,28,18.3,20,13.07,3,1.96,37005
37,10,264,147,55.68,92,34.85,21,7.95,4,1.52,37010
37,14,196,101,51.53,79,40.31,15,7.65,1,0.51,37014
37,15,152,109,71.71,26,17.11,16,10.53,1,0.66,37015
37,16,254,148,58.27,82,32.28,17,6.69,7,2.76,37016
37,20,175,114,65.14,37,21.14,23,13.14,1,0.57,37020
37,21,193,122,63.21,34,17.62,30,15.54,7,3.63,37021
37,22,134,60,44.78,33,24.63,41,30.6,0,0.0,37022
37,24,25,15,60.0,3,12.0,6,24.0,1,4.0,37024
37,25,161,126,78.26,23,14.29,11,6.83,1,0.62,37025
37,26,194,119,61.34,53,27.32,18,9.28,4,2.06,37026
37,27,112,64,57.14,24,21.43,21,18.75,3,2.68,37027
37,28,139,64,46.04,38,27.34,33,23.74,4,2.88,37028
37,29,16,10,62.5,4,25.0,2,12.5,0,0.0,37029
37,30,126,82,65.08,24,19.05,10,7.94,10,7.94,37030
37,31,302,176,58.28,97,32.12,27,8.94,2,0.66,37031
37,32,167,99,59.28,39,23.35,26,15.57,3,1.8,37032
37,33,184,123,66.85,46,25.0,11,5.98,4,2.17,37033
37,34,215,126,58.6,65,30.23,23,10.7,1,0.47,37034
37,35,0,0,0.0,0,0.0,0,0.0,0,0.0,37035
37,39,122,76,62.3,31,25.41,13,10.66,2,1.64,37039
37,40,184,128,69.57,49,26.63,6,3.26,1,0.54,37040
37,41,41,34,82.93,4,9.76,3,7.32,0,0.0,37041
37,42,0,0,0.0,0,0.0,0,0.0,0,0.0,37042
37,43,236,135,57.2,78,33.05,21,8.9,2,0.85,37043
37,44,174,117,67.24,44,25.29,12,6.9,1,0.57,37044
37,45,29,16,55.17,6,20.69,6,20.69,1,3.45,37045
37,48,166,75,45.18,69,41.57,19,11.45,3,1.81,37048
37,49,150,93,62.0,42,28.0,13,8.67,2,1.33,37049
