ward,precinct,total,CARRIE M. AUSTIN,CARRIE M. AUSTIN Percent,LINDA SCHWARTZ PASTERNAK,LINDA SCHWARTZ PASTERNAK Percent,QUEEN SISTER GEORZETTA DELONEY,QUEEN SISTER GEORZETTA DELONEY Percent,precinct_id
5,1,186,133,71.51,10,5.38,43,23.12,05001
5,3,201,137,68.16,13,6.47,51,25.37,05003
5,4,242,169,69.83,15,6.2,58,23.97,05004
5,6,195,143,73.33,11,5.64,41,21.03,05006
5,7,170,119,70.0,14,8.24,37,21.76,05007
5,11,48,19,39.58,19,39.58,10,20.83,05011
5,14,129,62,48.06,50,38.76,17,13.18,05014
5,18,122,79,64.75,14,11.48,29,23.77,05018
5,21,259,161,62.16,25,9.65,73,28.19,05021
5,24,151,95,62.91,38,25.17,18,11.92,05024
5,26,112,78,69.64,9,8.04,25,22.32,05026
5,28,222,155,69.82,17,7.66,50,22.52,05028
5,29,130,81,62.31,11,8.46,38,29.23,05029
5,31,166,113,68.07,10,6.02,43,25.9,05031
5,32,285,209,73.33,14,4.91,62,21.75,05032
5,34,104,63,60.58,6,5.77,35,33.65,05034
5,36,196,126,64.29,24,12.24,46,23.47,05036
5,37,96,58,60.42,26,27.08,12,12.5,05037
5,38,168,82,48.81,61,36.31,25,14.88,05038
5,40,144,83,57.64,18,12.5,43,29.86,05040
5,42,139,92,66.19,17,12.23,30,21.58,05042
5,43,195,132,67.69,12,6.15,51,26.15,05043
5,44,176,114,64.77,14,7.95,48,27.27,05044
5,46,155,90,58.06,39,25.16,26,16.77,05046
5,47,155,98,63.23,12,7.74,45,29.03,05047
5,53,120,70,58.33,12,10.0,38,31.67,05053
5,54,101,71,70.3,8,7.92,22,21.78,05054
5,55,169,105,62.13,12,7.1,52,30.77,05055
5,57,164,93,56.71,35,21.34,36,21.95,05057
5,59,90,70,77.78,1,1.11,19,21.11,05059
6,21,210,165,78.57,12,5.71,33,15.71,06021
6,22,185,137,74.05,15,8.11,33,17.84,06022
6,64,249,175,70.28,15,6.02,59,23.69,06064
7,1,292,238,81.51,15,5.14,39,13.36,07001
7,2,240,183,76.25,19,7.92,38,15.83,07002
7,3,164,119,72.56,12,7.32,33,20.12,07003
7,4,163,108,66.26,21,12.88,34,20.86,07004
7,5,134,93,69.4,25,18.66,16,11.94,07005
7,6,192,128,66.67,25,13.02,39,20.31,07006
7,7,162,123,75.93,14,8.64,25,15.43,07007
7,8,177,97,54.8,48,27.12,32,18.08,07008
7,9,215,164,76.28,10,4.65,41,19.07,07009
7,10,275,165,60.0,43,15.64,67,24.36,07010
7,11,190,143,75.26,8,4.21,39,20.53,07011
7,12,245,172,70.2,29,11.84,44,17.96,07012
7,13,97,76,78.35,9,9.28,12,12.37,07013
7,14,202,138,68.32,17,8.42,47,23.27,07014
7,15,241,172,71.37,28,11.62,41,17.01,07015
7,16,198,148,74.75,16,8.08,34,17.17,07016
7,17,163,109,66.87,20,12.27,34,20.86,07017
7,18,190,129,67.89,27,14.21,34,17.89,07018
7,19,249,175,70.28,24,9.64,50,20.08,07019
7,20,65,31,47.69,11,16.92,23,35.38,07020
7,21,196,118,60.2,33,16.84,45,22.96,07021
7,22,208,158,75.96,7,3.37,43,20.67,07022
7,23,190,137,72.11,20,10.53,33,17.37,07023
7,24,273,201,73.63,20,7.33,52,19.05,07024
7,25,189,130,68.78,19,10.05,40,21.16,07025
7,26,240,168,70.0,25,10.42,47,19.58,07026
7,27,224,161,71.88,19,8.48,44,19.64,07027
7,28,175,122,69.71,14,8.0,39,22.29,07028
7,29,116,100,86.21,5,4.31,11,9.48,07029
7,30,289,235,81.31,16,5.54,38,13.15,07030
7,31,274,203,74.09,20,7.3,51,18.61,07031
7,32,195,93,47.69,52,26.67,50,25.64,07032
7,33,228,159,69.74,26,11.4,43,18.86,07033
7,34,168,134,79.76,10,5.95,24,14.29,07034
7,35,277,208,75.09,21,7.58,48,17.33,07035
7,36,316,228,72.15,21,6.65,67,21.2,07036
7,37,234,178,76.07,12,5.13,44,18.8,07037
7,38,265,203,76.6,19,7.17,43,16.23,07038
7,39,186,130,69.89,13,6.99,43,23.12,07039
7,40,121,80,66.12,15,12.4,26,21.49,07040
7,41,256,200,78.13,19,7.42,37,14.45,07041
7,42,218,137,62.84,26,11.93,55,25.23,07042
7,43,212,160,75.47,20,9.43,32,15.09,07043
7,44,235,146,62.13,31,13.19,58,24.68,07044
7,45,305,260,85.25,15,4.92,30,9.84,07045
7,46,76,51,67.11,12,15.79,13,17.11,07046
8,2,0,0,0.0,0,0.0,0,0.0,08002
8,3,245,180,73.47,22,8.98,43,17.55,08003
8,4,220,168,76.36,17,7.73,35,15.91,08004
8,5,268,206,76.87,12,4.48,50,18.66,08005
8,7,156,103,66.03,7,4.49,46,29.49,08007
8,8,247,194,78.54,16,6.48,37,14.98,08008
8,9,268,205,76.49,16,5.97,47,17.54,08009
8,15,173,110,63.58,21,12.14,42,24.28,08015
8,17,181,133,73.48,15,8.29,33,18.23,08017
8,19,245,180,73.47,16,6.53,49,20.0,08019
8,23,174,128,73.56,12,6.9,34,19.54,08023
8,24,211,146,69.19,19,9.0,46,21.8,08024
8,25,197,123,62.44,22,11.17,52,26.4,08025
8,26,117,73,62.39,9,7.69,35,29.91,08026
8,27,231,157,67.97,26,11.26,48,20.78,08027
8,28,157,118,75.16,8,5.1,31,19.75,08028
8,30,51,36,70.59,2,3.92,13,25.49,08030
8,32,315,234,74.29,27,8.57,54,17.14,08032
8,34,225,168,74.67,12,5.33,45,20.0,08034
8,36,190,138,72.63,9,4.74,43,22.63,08036
8,39,227,155,68.28,23,10.13,49,21.59,08039
8,42,200,131,65.5,25,12.5,44,22.0,08042
8,44,233,161,69.1,17,7.3,55,23.61,08044
8,46,139,100,71.94,20,14.39,19,13.67,08046
8,47,196,147,75.0,9,4.59,40,20.41,08047
8,49,233,153,65.67,21,9.01,59,25.32,08049
8,50,208,148,71.15,13,6.25,47,22.6,08050
8,51,120,81,67.5,9,7.5,30,25.0,08051
8,57,230,157,68.26,28,12.17,45,19.57,08057
8,60,227,165,72.69,15,6.61,47,20.7,08060
8,62,272,207,76.1,18,6.62,47,17.28,08062
8,63,243,179,73.66,19,7.82,45,18.52,08063
8,65,217,154,70.97,16,7.37,47,21.66,08065
8,66,246,174,70.73,23,9.35,49,19.92,08066
9,1,240,179,74.58,21,8.75,40,16.67,09001
9,2,212,161,75.94,15,7.08,36,16.98,09002
9,3,138,62,44.93,33,23.91,43,31.16,09003
9,4,229,173,75.55,10,4.37,46,20.09,09004
9,5,197,148,75.13,19,9.64,30,15.23,09005
9,6,208,162,77.88,14,6.73,32,15.38,09006
9,7,194,147,75.77,19,9.79,28,14.43,09007
9,8,151,113,74.83,11,7.28,27,17.88,09008
9,9,252,190,75.4,24,9.52,38,15.08,09009
9,10,195,158,81.03,22,11.28,15,7.69,09010
9,11,123,72,58.54,21,17.07,30,24.39,09011
9,12,189,132,69.84,12,6.35,45,23.81,09012
9,13,267,198,74.16,19,7.12,50,18.73,09013
9,14,292,217,74.32,19,6.51,56,19.18,09014
9,15,80,60,75.0,9,11.25,11,13.75,09015
9,16,212,151,71.23,22,10.38,39,18.4,09016
9,17,173,125,72.25,19,10.98,29,16.76,09017
9,18,197,143,72.59,20,10.15,34,17.26,09018
9,19,242,189,78.1,13,5.37,40,16.53,09019
9,20,259,190,73.36,21,8.11,48,18.53,09020
9,21,157,120,76.43,14,8.92,23,14.65,09021
