ward,precinct,total,EDWARD J. ACEVEDO,EDWARD J. ACEVEDO Percent,precinct_id
11,1,173,173,100.0,11001
11,2,160,160,100.0,11002
11,3,84,84,100.0,11003
11,4,244,244,100.0,11004
11,5,120,120,100.0,11005
11,6,249,249,100.0,11006
11,7,184,184,100.0,11007
11,8,164,164,100.0,11008
11,9,197,197,100.0,11009
11,10,125,125,100.0,11010
11,11,206,206,100.0,11011
11,16,205,205,100.0,11016
11,17,224,224,100.0,11017
11,18,138,138,100.0,11018
11,19,164,164,100.0,11019
11,20,263,263,100.0,11020
11,21,329,329,100.0,11021
11,24,290,290,100.0,11024
11,25,140,140,100.0,11025
11,26,269,269,100.0,11026
11,29,246,246,100.0,11029
11,30,151,151,100.0,11030
11,37,163,163,100.0,11037
11,38,179,179,100.0,11038
11,40,129,129,100.0,11040
11,41,95,95,100.0,11041
11,44,165,165,100.0,11044
11,45,18,18,100.0,11045
11,47,193,193,100.0,11047
11,50,47,47,100.0,11050
11,52,70,70,100.0,11052
12,1,64,64,100.0,12001
12,6,6,6,100.0,12006
12,7,91,91,100.0,12007
12,8,46,46,100.0,12008
12,14,117,117,100.0,12014
12,15,94,94,100.0,12015
12,16,32,32,100.0,12016
12,18,64,64,100.0,12018
12,20,104,104,100.0,12020
12,21,0,0,0.0,12021
12,22,83,83,100.0,12022
12,26,60,60,100.0,12026
22,29,74,74,100.0,22029
25,1,137,137,100.0,25001
25,2,145,145,100.0,25002
25,5,149,149,100.0,25005
25,7,141,141,100.0,25007
25,8,163,163,100.0,25008
25,9,195,195,100.0,25009
25,11,172,172,100.0,25011
25,13,144,144,100.0,25013
25,15,145,145,100.0,25015
25,17,184,184,100.0,25017
25,19,149,149,100.0,25019
25,20,211,211,100.0,25020
25,22,116,116,100.0,25022
25,23,137,137,100.0,25023
25,24,136,136,100.0,25024
