ward,precinct,total,STANLEY NIZIOLEK,STANLEY NIZIOLEK Percent,RAHM EMANUEL,RAHM EMANUEL Percent,PAUL A. RAUNER,PAUL A. RAUNER Percent,NANCY KASZAK,NANCY KASZAK Percent,PETER DAGHER,PETER DAGHER Percent,MARK A. FREDRICKSON,MARK A. FREDRICKSON Percent,JOSEPH SLOVINEC,JOSEPH SLOVINEC Percent,RAY (THE ANGEL) LEAR,RAY (THE ANGEL) LEAR Percent,precinct_id
26,1,7,1,14.29,2,28.57,0,0.0,3,42.86,1,14.29,0,0.0,0,0.0,0,0.0,26001
26,7,61,0,0.0,31,50.82,0,0.0,28,45.9,1,1.64,1,1.64,0,0.0,0,0.0,26007
26,30,73,2,2.74,38,52.05,2,2.74,21,28.77,2,2.74,3,4.11,1,1.37,4,5.48,26030
29,53,112,7,6.25,50,44.64,6,5.36,33,29.46,5,4.46,5,4.46,2,1.79,4,3.57,29053
29,54,113,7,6.19,61,53.98,0,0.0,34,30.09,2,1.77,5,4.42,3,2.65,1,0.88,29054
30,1,247,1,0.4,77,31.17,2,0.81,148,59.92,16,6.48,2,0.81,1,0.4,0,0.0,30001
30,2,147,5,3.4,55,37.41,1,0.68,71,48.3,10,6.8,1,0.68,1,0.68,3,2.04,30002
30,3,236,1,0.42,101,42.8,2,0.85,120,50.85,6,2.54,3,1.27,1,0.42,2,0.85,30003
30,4,70,7,10.0,26,37.14,1,1.43,29,41.43,3,4.29,1,1.43,1,1.43,2,2.86,30004
30,5,111,5,4.5,53,47.75,2,1.8,40,36.04,7,6.31,1,0.9,1,0.9,2,1.8,30005
30,6,190,2,1.05,80,42.11,1,0.53,92,48.42,7,3.68,1,0.53,2,1.05,5,2.63,30006
30,7,170,5,2.94,56,32.94,1,0.59,94,55.29,7,4.12,1,0.59,3,1.76,3,1.76,30007
30,8,209,6,2.87,74,35.41,2,0.96,107,51.2,7,3.35,4,1.91,6,2.87,3,1.44,30008
30,9,293,6,2.05,91,31.06,5,1.71,165,56.31,9,3.07,6,2.05,5,1.71,6,2.05,30009
