ward,precinct,total,STEVEN BOONE,STEVEN BOONE Percent,APRIL TROOPE,APRIL TROOPE Percent,EVERLOYCE FAYE McCULLOUGH,EVERLOYCE FAYE McCULLOUGH Percent,PATRICIA BAILEY,PATRICIA BAILEY Percent,KEITH HARRIS,KEITH HARRIS Percent,BRIAN KENNER,BRIAN KENNER Percent,precinct_id
3,10,87,14,16.09,30,34.48,4,4.6,27,31.03,4,4.6,8,9.2,03010
3,12,160,12,7.5,39,24.38,7,4.38,58,36.25,14,8.75,30,18.75,03012
3,17,106,2,1.89,40,37.74,54,50.94,10,9.43,0,0.0,0,0.0,03017
3,21,95,5,5.26,30,31.58,8,8.42,36,37.89,2,2.11,14,14.74,03021
3,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03022
3,36,54,1,1.85,23,42.59,6,11.11,20,37.04,1,1.85,3,5.56,03036
3,42,86,10,11.63,37,43.02,2,2.33,18,20.93,3,3.49,16,18.6,03042
3,44,105,6,5.71,35,33.33,11,10.48,41,39.05,2,1.9,10,9.52,03044
3,48,157,20,12.74,53,33.76,14,8.92,39,24.84,12,7.64,19,12.1,03048
3,49,144,11,7.64,39,27.08,31,21.53,42,29.17,6,4.17,15,10.42,03049
3,50,162,17,10.49,39,24.07,3,1.85,87,53.7,3,1.85,13,8.02,03050
3,51,73,7,9.59,44,60.27,1,1.37,12,16.44,2,2.74,7,9.59,03051
3,52,196,15,7.65,89,45.41,4,2.04,63,32.14,9,4.59,16,8.16,03052
11,12,265,8,3.02,12,4.53,12,4.53,224,84.53,3,1.13,6,2.26,11012
11,13,224,9,4.02,6,2.68,7,3.13,191,85.27,3,1.34,8,3.57,11013
11,15,200,9,4.5,27,13.5,2,1.0,152,76.0,1,0.5,9,4.5,11015
11,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11025
11,28,35,4,11.43,1,2.86,2,5.71,28,80.0,0,0.0,0,0.0,11028
11,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11030
11,32,196,10,5.1,10,5.1,7,3.57,160,81.63,1,0.51,8,4.08,11032
11,34,141,10,7.09,19,13.48,1,0.71,106,75.18,3,2.13,2,1.42,11034
11,35,291,13,4.47,15,5.15,6,2.06,240,82.47,6,2.06,11,3.78,11035
11,37,209,11,5.26,17,8.13,3,1.44,171,81.82,2,0.96,5,2.39,11037
11,38,99,17,17.17,8,8.08,3,3.03,68,68.69,1,1.01,2,2.02,11038
11,39,295,16,5.42,30,10.17,6,2.03,231,78.31,5,1.69,7,2.37,11039
11,40,63,5,7.94,10,15.87,1,1.59,44,69.84,2,3.17,1,1.59,11040
11,41,36,7,19.44,1,2.78,2,5.56,24,66.67,1,2.78,1,2.78,11041
11,42,145,5,3.45,13,8.97,5,3.45,115,79.31,7,4.83,0,0.0,11042
11,43,231,22,9.52,27,11.69,7,3.03,157,67.97,9,3.9,9,3.9,11043
11,45,79,55,69.62,2,2.53,0,0.0,18,22.78,1,1.27,3,3.8,11045
11,46,168,1,0.6,20,11.9,5,2.98,138,82.14,1,0.6,3,1.79,11046
11,48,117,2,1.71,5,4.27,4,3.42,100,85.47,2,1.71,4,3.42,11048
11,49,158,7,4.43,9,5.7,1,0.63,134,84.81,2,1.27,5,3.16,11049
11,50,58,10,17.24,6,10.34,3,5.17,37,63.79,1,1.72,1,1.72,11050
11,51,219,14,6.39,9,4.11,4,1.83,182,83.11,3,1.37,7,3.2,11051
11,52,115,17,14.78,11,9.57,1,0.87,78,67.83,3,2.61,5,4.35,11052
11,53,220,7,3.18,5,2.27,7,3.18,195,88.64,0,0.0,6,2.73,11053
12,16,73,8,10.96,34,46.58,4,5.48,22,30.14,2,2.74,3,4.11,12016
12,25,132,15,11.36,39,29.55,7,5.3,56,42.42,8,6.06,7,5.3,12025
12,28,73,9,12.33,20,27.4,6,8.22,30,41.1,3,4.11,5,6.85,12028
15,2,188,25,13.3,90,47.87,23,12.23,24,12.77,16,8.51,10,5.32,15002
15,4,124,18,14.52,74,59.68,4,3.23,13,10.48,4,3.23,11,8.87,15004
15,5,151,20,13.25,71,47.02,23,15.23,20,13.25,7,4.64,10,6.62,15005
15,7,11,3,27.27,3,27.27,1,9.09,3,27.27,1,9.09,0,0.0,15007
15,17,191,19,9.95,93,48.69,21,10.99,27,14.14,11,5.76,20,10.47,15017
15,18,190,29,15.26,85,44.74,18,9.47,23,12.11,15,7.89,20,10.53,15018
15,20,124,17,13.71,53,42.74,14,11.29,19,15.32,12,9.68,9,7.26,15020
15,22,156,20,12.82,78,50.0,9,5.77,26,16.67,6,3.85,17,10.9,15022
