ward,precinct,total,HARRY OSTERMAN,HARRY OSTERMAN Percent,precinct_id
40,3,99,99,100.0,40003
40,4,159,159,100.0,40004
40,7,106,106,100.0,40007
40,8,157,157,100.0,40008
40,11,106,106,100.0,40011
40,12,111,111,100.0,40012
40,13,108,108,100.0,40013
40,16,229,229,100.0,40016
40,22,43,43,100.0,40022
40,26,140,140,100.0,40026
40,27,225,225,100.0,40027
40,28,128,128,100.0,40028
40,35,114,114,100.0,40035
40,37,147,147,100.0,40037
40,42,30,30,100.0,40042
40,43,84,84,100.0,40043
40,47,125,125,100.0,40047
48,1,178,178,100.0,48001
48,2,137,137,100.0,48002
48,3,176,176,100.0,48003
48,5,158,158,100.0,48005
48,6,203,203,100.0,48006
48,7,169,169,100.0,48007
48,8,128,128,100.0,48008
48,9,146,146,100.0,48009
48,10,95,95,100.0,48010
48,11,195,195,100.0,48011
48,12,110,110,100.0,48012
48,13,119,119,100.0,48013
48,14,208,208,100.0,48014
48,15,113,113,100.0,48015
48,16,153,153,100.0,48016
48,18,103,103,100.0,48018
48,19,161,161,100.0,48019
48,20,74,74,100.0,48020
48,22,227,227,100.0,48022
48,26,154,154,100.0,48026
48,27,97,97,100.0,48027
48,28,135,135,100.0,48028
48,29,167,167,100.0,48029
48,30,101,101,100.0,48030
48,31,139,139,100.0,48031
48,32,133,133,100.0,48032
48,33,136,136,100.0,48033
48,36,120,120,100.0,48036
48,37,142,142,100.0,48037
48,38,183,183,100.0,48038
48,39,123,123,100.0,48039
48,41,78,78,100.0,48041
48,42,165,165,100.0,48042
48,43,107,107,100.0,48043
48,44,126,126,100.0,48044
48,45,113,113,100.0,48045
48,46,88,88,100.0,48046
48,47,100,100,100.0,48047
48,48,104,104,100.0,48048
49,2,169,169,100.0,49002
49,3,134,134,100.0,49003
49,4,100,100,100.0,49004
49,5,15,15,100.0,49005
49,7,89,89,100.0,49007
49,8,124,124,100.0,49008
49,9,115,115,100.0,49009
49,10,180,180,100.0,49010
49,11,116,116,100.0,49011
49,12,94,94,100.0,49012
49,13,149,149,100.0,49013
49,15,120,120,100.0,49015
49,17,35,35,100.0,49017
49,18,110,110,100.0,49018
49,19,60,60,100.0,49019
49,20,14,14,100.0,49020
49,21,69,69,100.0,49021
49,22,148,148,100.0,49022
49,23,113,113,100.0,49023
49,24,149,149,100.0,49024
49,25,99,99,100.0,49025
49,26,210,210,100.0,49026
49,27,130,130,100.0,49027
49,29,77,77,100.0,49029
49,31,127,127,100.0,49031
49,32,116,116,100.0,49032
49,33,90,90,100.0,49033
49,36,84,84,100.0,49036
49,37,90,90,100.0,49037
50,34,0,0,0.0,50034
