ward,precinct,total,JESSE RUBEN JUAREZ,JESSE RUBEN JUAREZ Percent,"ANTONIO """"TONY"""" MUNOZ","ANTONIO """"TONY"""" MUNOZ Percent",precinct_id
1,1,88,34,38.64,54,61.36,01001
1,2,151,57,37.75,94,62.25,01002
1,3,90,32,35.56,58,64.44,01003
1,4,115,52,45.22,63,54.78,01004
1,5,107,42,39.25,65,60.75,01005
1,7,114,68,59.65,46,40.35,01007
1,8,74,40,54.05,34,45.95,01008
1,9,135,81,60.0,54,40.0,01009
1,10,117,44,37.61,73,62.39,01010
1,11,96,40,41.67,56,58.33,01011
1,12,154,77,50.0,77,50.0,01012
1,13,102,44,43.14,58,56.86,01013
1,14,105,54,51.43,51,48.57,01014
1,15,132,50,37.88,82,62.12,01015
1,16,95,56,58.95,39,41.05,01016
1,17,80,40,50.0,40,50.0,01017
1,18,123,55,44.72,68,55.28,01018
1,19,132,58,43.94,74,56.06,01019
1,20,92,46,50.0,46,50.0,01020
1,21,99,45,45.45,54,54.55,01021
1,22,73,37,50.68,36,49.32,01022
1,23,184,101,54.89,83,45.11,01023
1,24,99,36,36.36,63,63.64,01024
1,25,102,41,40.2,61,59.8,01025
1,26,126,54,42.86,72,57.14,01026
1,27,93,42,45.16,51,54.84,01027
1,28,12,8,66.67,4,33.33,01028
1,29,188,102,54.26,86,45.74,01029
1,30,121,57,47.11,64,52.89,01030
1,32,128,60,46.88,68,53.13,01032
1,33,142,58,40.85,84,59.15,01033
1,34,22,8,36.36,14,63.64,01034
1,36,100,42,42.0,58,58.0,01036
1,37,148,62,41.89,86,58.11,01037
11,3,200,29,14.5,171,85.5,11003
11,10,141,27,19.15,114,80.85,11010
11,14,71,15,21.13,56,78.87,11014
11,17,0,0,0.0,0,0.0,11017
11,18,20,5,25.0,15,75.0,11018
11,22,114,21,18.42,93,81.58,11022
11,23,150,28,18.67,122,81.33,11023
11,26,3,0,0.0,3,100.0,11026
11,27,45,13,28.89,32,71.11,11027
11,30,0,0,0.0,0,0.0,11030
11,31,49,15,30.61,34,69.39,11031
11,36,101,29,28.71,72,71.29,11036
12,1,62,17,27.42,45,72.58,12001
12,2,85,18,21.18,67,78.82,12002
12,3,84,27,32.14,57,67.86,12003
12,4,92,19,20.65,73,79.35,12004
12,5,39,10,25.64,29,74.36,12005
12,6,93,29,31.18,64,68.82,12006
12,7,103,35,33.98,68,66.02,12007
12,8,112,24,21.43,88,78.57,12008
12,9,62,27,43.55,35,56.45,12009
12,10,68,24,35.29,44,64.71,12010
12,11,104,32,30.77,72,69.23,12011
12,12,70,24,34.29,46,65.71,12012
12,13,63,13,20.63,50,79.37,12013
12,14,127,37,29.13,90,70.87,12014
12,15,126,37,29.37,89,70.63,12015
12,16,100,29,29.0,71,71.0,12016
12,17,33,8,24.24,25,75.76,12017
12,18,7,2,28.57,5,71.43,12018
12,19,18,5,27.78,13,72.22,12019
12,20,123,34,27.64,89,72.36,12020
12,21,112,32,28.57,80,71.43,12021
12,22,107,39,36.45,68,63.55,12022
12,23,95,33,34.74,62,65.26,12023
12,24,32,7,21.88,25,78.13,12024
12,25,144,28,19.44,116,80.56,12025
12,26,60,13,21.67,47,78.33,12026
12,27,45,15,33.33,30,66.67,12027
12,28,88,19,21.59,69,78.41,12028
12,29,139,31,22.3,108,77.7,12029
12,30,103,26,25.24,77,74.76,12030
14,3,141,36,25.53,105,74.47,14003
14,4,98,34,34.69,64,65.31,14004
14,5,130,46,35.38,84,64.62,14005
14,6,120,34,28.33,86,71.67,14006
14,7,120,21,17.5,99,82.5,14007
14,8,135,30,22.22,105,77.78,14008
14,9,120,43,35.83,77,64.17,14009
14,11,113,43,38.05,70,61.95,14011
14,12,78,16,20.51,62,79.49,14012
14,13,140,50,35.71,90,64.29,14013
14,14,87,30,34.48,57,65.52,14014
14,16,117,35,29.91,82,70.09,14016
14,18,100,30,30.0,70,70.0,14018
14,19,166,32,19.28,134,80.72,14019
14,22,113,25,22.12,88,77.88,14022
14,23,88,25,28.41,63,71.59,14023
14,24,128,43,33.59,85,66.41,14024
14,26,104,32,30.77,72,69.23,14026
14,28,17,3,17.65,14,82.35,14028
14,29,156,54,34.62,102,65.38,14029
14,30,117,39,33.33,78,66.67,14030
14,31,94,17,18.09,77,81.91,14031
14,32,88,33,37.5,55,62.5,14032
14,33,87,30,34.48,57,65.52,14033
14,34,74,30,40.54,44,59.46,14034
14,35,58,19,32.76,39,67.24,14035
14,36,160,53,33.13,107,66.88,14036
14,37,106,27,25.47,79,74.53,14037
14,39,125,37,29.6,88,70.4,14039
14,40,91,27,29.67,64,70.33,14040
14,41,132,42,31.82,90,68.18,14041
14,42,98,24,24.49,74,75.51,14042
14,46,126,37,29.37,89,70.63,14046
14,47,189,53,28.04,136,71.96,14047
16,1,79,23,29.11,56,70.89,16001
16,13,2,0,0.0,2,100.0,16013
16,21,111,47,42.34,64,57.66,16021
16,41,3,1,33.33,2,66.67,16041
16,42,19,4,21.05,15,78.95,16042
22,2,104,22,21.15,82,78.85,22002
22,3,162,48,29.63,114,70.37,22003
22,4,140,47,33.57,93,66.43,22004
22,5,169,58,34.32,111,65.68,22005
22,6,135,51,37.78,84,62.22,22006
22,9,131,40,30.53,91,69.47,22009
22,10,184,44,23.91,140,76.09,22010
22,11,143,43,30.07,100,69.93,22011
22,13,137,39,28.47,98,71.53,22013
22,14,89,32,35.96,57,64.04,22014
22,16,151,43,28.48,108,71.52,22016
22,17,149,48,32.21,101,67.79,22017
22,18,114,41,35.96,73,64.04,22018
22,23,155,51,32.9,104,67.1,22023
22,24,127,28,22.05,99,77.95,22024
22,25,130,42,32.31,88,67.69,22025
22,26,94,30,31.91,64,68.09,22026
22,27,191,52,27.23,139,72.77,22027
22,29,86,26,30.23,60,69.77,22029
23,7,150,47,31.33,103,68.67,23007
23,9,140,44,31.43,96,68.57,23009
23,22,140,54,38.57,86,61.43,23022
23,24,127,48,37.8,79,62.2,23024
23,25,173,75,43.35,98,56.65,23025
23,29,130,50,38.46,80,61.54,23029
23,49,81,28,34.57,53,65.43,23049
24,53,1,0,0.0,1,100.0,24053
25,1,169,31,18.34,138,81.66,25001
25,2,184,51,27.72,133,72.28,25002
25,5,181,41,22.65,140,77.35,25005
25,6,188,68,36.17,120,63.83,25006
25,7,162,55,33.95,107,66.05,25007
25,8,165,40,24.24,125,75.76,25008
25,9,237,67,28.27,170,71.73,25009
25,11,213,79,37.09,134,62.91,25011
25,12,150,48,32.0,102,68.0,25012
25,13,178,58,32.58,120,67.42,25013
25,15,183,28,15.3,155,84.7,25015
25,17,272,63,23.16,209,76.84,25017
25,19,179,58,32.4,121,67.6,25019
25,20,243,52,21.4,191,78.6,25020
25,22,141,26,18.44,115,81.56,25022
25,23,175,60,34.29,115,65.71,25023
25,24,167,59,35.33,108,64.67,25024
26,1,84,27,32.14,57,67.86,26001
26,2,121,52,42.98,69,57.02,26002
26,3,97,42,43.3,55,56.7,26003
26,4,141,62,43.97,79,56.03,26004
26,5,127,57,44.88,70,55.12,26005
