ward,precinct,total,JOSEPH G. GEBHART,JOSEPH G. GEBHART Percent,ERIN KATHLEEN FARRELL,ERIN KATHLEEN FARRELL Percent,JOSEPH E. KEATING,JOSEPH E. KEATING Percent,ANTHONY LYNN BURRELL,ANTHONY LYNN BURRELL Percent,SUSAN SALITA,SUSAN SALITA Percent,precinct_id
1,35,35,3,8.57,8,22.86,6,17.14,3,8.57,15,42.86,01035
2,4,64,12,18.75,7,10.94,8,12.5,25,39.06,12,18.75,02004
2,9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02009
2,10,83,12,14.46,8,9.64,15,18.07,39,46.99,9,10.84,02010
2,15,53,6,11.32,7,13.21,7,13.21,25,47.17,8,15.09,02015
2,17,119,11,9.24,23,19.33,20,16.81,40,33.61,25,21.01,02017
2,19,71,9,12.68,14,19.72,12,16.9,22,30.99,14,19.72,02019
2,23,112,11,9.82,19,16.96,18,16.07,45,40.18,19,16.96,02023
2,25,65,11,16.92,15,23.08,8,12.31,17,26.15,14,21.54,02025
2,27,23,3,13.04,5,21.74,1,4.35,9,39.13,5,21.74,02027
2,28,155,20,12.9,29,18.71,12,7.74,61,39.35,33,21.29,02028
2,30,106,14,13.21,17,16.04,9,8.49,50,47.17,16,15.09,02030
2,32,93,7,7.53,12,12.9,12,12.9,39,41.94,23,24.73,02032
2,34,131,19,14.5,15,11.45,21,16.03,57,43.51,19,14.5,02034
2,36,52,6,11.54,12,23.08,9,17.31,15,28.85,10,19.23,02036
2,38,134,17,12.69,19,14.18,19,14.18,44,32.84,35,26.12,02038
2,39,170,28,16.47,24,14.12,16,9.41,51,30.0,51,30.0,02039
2,41,40,3,7.5,7,17.5,10,25.0,16,40.0,4,10.0,02041
2,42,51,8,15.69,11,21.57,4,7.84,12,23.53,16,31.37,02042
2,50,97,9,9.28,10,10.31,11,11.34,12,12.37,55,56.7,02050
2,51,146,19,13.01,16,10.96,18,12.33,55,37.67,38,26.03,02051
2,53,75,9,12.0,12,16.0,13,17.33,29,38.67,12,16.0,02053
22,7,94,15,15.96,8,8.51,13,13.83,38,40.43,20,21.28,22007
22,8,179,20,11.17,24,13.41,18,10.06,85,47.49,32,17.88,22008
22,12,142,14,9.86,12,8.45,10,7.04,85,59.86,21,14.79,22012
22,20,101,13,12.87,16,15.84,13,12.87,40,39.6,19,18.81,22020
22,21,182,16,8.79,32,17.58,24,13.19,73,40.11,37,20.33,22021
22,28,168,22,13.1,23,13.69,20,11.9,83,49.4,20,11.9,22028
24,1,156,18,11.54,17,10.9,19,12.18,75,48.08,27,17.31,24001
24,2,146,15,10.27,20,13.7,18,12.33,73,50.0,20,13.7,24002
24,3,133,13,9.77,18,13.53,11,8.27,77,57.89,14,10.53,24003
24,4,135,15,11.11,22,16.3,19,14.07,67,49.63,12,8.89,24004
24,5,137,15,10.95,9,6.57,10,7.3,81,59.12,22,16.06,24005
24,6,169,17,10.06,20,11.83,15,8.88,88,52.07,29,17.16,24006
24,7,122,10,8.2,10,8.2,16,13.11,75,61.48,11,9.02,24007
24,8,148,13,8.78,8,5.41,12,8.11,92,62.16,23,15.54,24008
24,9,134,9,6.72,22,16.42,3,2.24,83,61.94,17,12.69,24009
24,10,126,14,11.11,16,12.7,15,11.9,59,46.83,22,17.46,24010
24,11,34,3,8.82,3,8.82,4,11.76,20,58.82,4,11.76,24011
24,12,109,7,6.42,9,8.26,14,12.84,57,52.29,22,20.18,24012
