ward,precinct,total,BARBARA FLYNN CURRIE,BARBARA FLYNN CURRIE Percent,precinct_id
4,1,179,179,100.0,04001
4,9,429,429,100.0,04009
4,17,232,232,100.0,04017
4,21,225,225,100.0,04021
4,22,268,268,100.0,04022
4,28,178,178,100.0,04028
4,29,178,178,100.0,04029
4,32,220,220,100.0,04032
4,34,162,162,100.0,04034
4,38,286,286,100.0,04038
4,41,147,147,100.0,04041
4,43,126,126,100.0,04043
4,44,116,116,100.0,04044
4,45,372,372,100.0,04045
4,47,255,255,100.0,04047
4,48,297,297,100.0,04048
4,51,246,246,100.0,04051
4,54,101,101,100.0,04054
4,55,119,119,100.0,04055
5,1,208,208,100.0,05001
5,3,148,148,100.0,05003
5,4,43,43,100.0,05004
5,5,143,143,100.0,05005
5,6,0,0,0.0,05006
5,7,181,181,100.0,05007
5,8,241,241,100.0,05008
5,10,33,33,100.0,05010
5,11,84,84,100.0,05011
5,14,163,163,100.0,05014
5,17,132,132,100.0,05017
5,18,126,126,100.0,05018
5,21,273,273,100.0,05021
5,24,193,193,100.0,05024
5,25,151,151,100.0,05025
5,26,122,122,100.0,05026
5,27,42,42,100.0,05027
5,28,234,234,100.0,05028
5,29,140,140,100.0,05029
5,30,166,166,100.0,05030
5,31,167,167,100.0,05031
5,32,301,301,100.0,05032
5,33,210,210,100.0,05033
5,34,101,101,100.0,05034
5,35,147,147,100.0,05035
5,36,201,201,100.0,05036
5,37,117,117,100.0,05037
5,38,236,236,100.0,05038
5,39,176,176,100.0,05039
5,40,145,145,100.0,05040
5,41,140,140,100.0,05041
5,42,151,151,100.0,05042
5,43,227,227,100.0,05043
5,44,176,176,100.0,05044
5,46,192,192,100.0,05046
5,47,157,157,100.0,05047
5,48,143,143,100.0,05048
5,49,164,164,100.0,05049
5,53,129,129,100.0,05053
5,54,122,122,100.0,05054
5,55,185,185,100.0,05055
5,56,114,114,100.0,05056
5,57,196,196,100.0,05057
5,59,99,99,100.0,05059
7,3,156,156,100.0,07003
7,7,55,55,100.0,07007
7,8,148,148,100.0,07008
7,9,1,1,100.0,07009
7,10,277,277,100.0,07010
7,11,199,199,100.0,07011
7,14,196,196,100.0,07014
7,15,240,240,100.0,07015
7,16,197,197,100.0,07016
7,17,43,43,100.0,07017
7,18,190,190,100.0,07018
7,20,63,63,100.0,07020
7,22,221,221,100.0,07022
7,23,187,187,100.0,07023
7,28,172,172,100.0,07028
7,32,185,185,100.0,07032
7,34,2,2,100.0,07034
7,35,278,278,100.0,07035
7,39,192,192,100.0,07039
7,40,123,123,100.0,07040
7,42,23,23,100.0,07042
7,44,242,242,100.0,07044
7,45,313,313,100.0,07045
7,46,48,48,100.0,07046
10,1,115,115,100.0,10001
10,4,110,110,100.0,10004
10,7,35,35,100.0,10007
10,13,13,13,100.0,10013
10,18,85,85,100.0,10018
10,23,9,9,100.0,10023
10,25,156,156,100.0,10025
10,37,101,101,100.0,10037
10,43,118,118,100.0,10043
10,45,142,142,100.0,10045
20,26,259,259,100.0,20026
20,34,198,198,100.0,20034
20,38,200,200,100.0,20038
