ward,precinct,total,LAURA BERTUCCI SMITH,LAURA BERTUCCI SMITH Percent,RAUL VEGA,RAUL VEGA Percent,precinct_id
1,1,129,61,47.29,68,52.71,01001
1,2,162,91,56.17,71,43.83,01002
1,3,90,58,64.44,32,35.56,01003
1,4,111,70,63.06,41,36.94,01004
1,5,119,66,55.46,53,44.54,01005
1,6,37,22,59.46,15,40.54,01006
1,7,142,75,52.82,67,47.18,01007
1,8,84,57,67.86,27,32.14,01008
1,9,136,70,51.47,66,48.53,01009
1,10,127,69,54.33,58,45.67,01010
1,11,102,51,50.0,51,50.0,01011
1,12,166,76,45.78,90,54.22,01012
1,13,150,27,18.0,123,82.0,01013
1,14,126,46,36.51,80,63.49,01014
1,15,161,38,23.6,123,76.4,01015
1,16,119,55,46.22,64,53.78,01016
1,17,92,55,59.78,37,40.22,01017
1,18,166,49,29.52,117,70.48,01018
1,19,155,51,32.9,104,67.1,01019
1,20,127,41,32.28,86,67.72,01020
1,21,114,66,57.89,48,42.11,01021
1,22,89,29,32.58,60,67.42,01022
1,23,194,112,57.73,82,42.27,01023
1,24,102,47,46.08,55,53.92,01024
1,25,104,55,52.88,49,47.12,01025
1,26,117,69,58.97,48,41.03,01026
1,27,110,39,35.45,71,64.55,01027
1,28,26,4,15.38,22,84.62,01028
1,29,219,102,46.58,117,53.42,01029
1,30,136,41,30.15,95,69.85,01030
1,31,79,60,75.95,19,24.05,01031
1,32,156,81,51.92,75,48.08,01032
1,33,143,63,44.06,80,55.94,01033
1,34,30,21,70.0,9,30.0,01034
1,36,111,66,59.46,45,40.54,01036
1,37,158,74,46.84,84,53.16,01037
26,1,124,53,42.74,71,57.26,26001
26,3,105,24,22.86,81,77.14,26003
26,4,191,32,16.75,159,83.25,26004
26,5,168,38,22.62,130,77.38,26005
26,6,160,76,47.5,84,52.5,26006
26,8,85,58,68.24,27,31.76,26008
26,9,132,25,18.94,107,81.06,26009
26,10,143,38,26.57,105,73.43,26010
26,11,158,72,45.57,86,54.43,26011
26,12,145,39,26.9,106,73.1,26012
26,13,167,78,46.71,89,53.29,26013
26,14,226,50,22.12,176,77.88,26014
26,15,107,17,15.89,90,84.11,26015
26,16,149,45,30.2,104,69.8,26016
26,17,149,42,28.19,107,71.81,26017
26,18,168,40,23.81,128,76.19,26018
26,19,180,67,37.22,113,62.78,26019
26,20,103,36,34.95,67,65.05,26020
26,21,139,28,20.14,111,79.86,26021
26,22,82,25,30.49,57,69.51,26022
26,23,131,43,32.82,88,67.18,26023
26,24,197,82,41.62,115,58.38,26024
26,25,174,91,52.3,83,47.7,26025
26,26,86,16,18.6,70,81.4,26026
26,27,101,23,22.77,78,77.23,26027
26,28,188,51,27.13,137,72.87,26028
26,29,148,37,25.0,111,75.0,26029
26,30,140,77,55.0,63,45.0,26030
26,31,48,19,39.58,29,60.42,26031
26,32,176,54,30.68,122,69.32,26032
26,33,138,52,37.68,86,62.32,26033
26,34,153,64,41.83,89,58.17,26034
26,35,150,23,15.33,127,84.67,26035
26,36,175,52,29.71,123,70.29,26036
26,37,141,79,56.03,62,43.97,26037
26,38,113,63,55.75,50,44.25,26038
27,4,78,34,43.59,44,56.41,27004
27,10,205,134,65.37,71,34.63,27010
27,18,52,32,61.54,20,38.46,27018
27,30,58,37,63.79,21,36.21,27030
27,32,102,58,56.86,44,43.14,27032
27,35,76,49,64.47,27,35.53,27035
27,50,2,1,50.0,1,50.0,27050
27,54,89,58,65.17,31,34.83,27054
27,55,40,34,85.0,6,15.0,27055
29,2,84,41,48.81,43,51.19,29002
29,17,143,50,34.97,93,65.03,29017
29,30,25,5,20.0,20,80.0,29030
