ward,precinct,total,"LOVANA S. """"LOU"""" JONES","LOVANA S. """"LOU"""" JONES Percent",precinct_id
2,2,260,260,100.0,02002
2,3,0,0,0.0,02003
2,7,207,207,100.0,02007
2,8,159,159,100.0,02008
2,12,201,201,100.0,02012
2,13,226,226,100.0,02013
2,18,240,240,100.0,02018
2,20,149,149,100.0,02020
2,21,160,160,100.0,02021
2,24,5,5,100.0,02024
2,26,101,101,100.0,02026
2,29,65,65,100.0,02029
2,31,36,36,100.0,02031
2,33,258,258,100.0,02033
2,37,3,3,100.0,02037
2,40,41,41,100.0,02040
2,44,187,187,100.0,02044
2,45,79,79,100.0,02045
2,46,326,326,100.0,02046
2,47,109,109,100.0,02047
2,48,192,192,100.0,02048
2,52,62,62,100.0,02052
2,55,3,3,100.0,02055
3,2,264,264,100.0,03002
3,9,29,29,100.0,03009
3,11,7,7,100.0,03011
3,16,216,216,100.0,03016
3,28,139,139,100.0,03028
3,30,152,152,100.0,03030
3,31,171,171,100.0,03031
3,32,48,48,100.0,03032
3,34,48,48,100.0,03034
3,38,152,152,100.0,03038
3,39,267,267,100.0,03039
4,2,54,54,100.0,04002
4,3,252,252,100.0,04003
4,4,241,241,100.0,04004
4,5,219,219,100.0,04005
4,6,0,0,0.0,04006
4,7,159,159,100.0,04007
4,8,116,116,100.0,04008
4,10,316,316,100.0,04010
4,11,196,196,100.0,04011
4,12,155,155,100.0,04012
4,13,241,241,100.0,04013
4,14,114,114,100.0,04014
4,15,88,88,100.0,04015
4,16,205,205,100.0,04016
4,18,155,155,100.0,04018
4,19,38,38,100.0,04019
4,20,82,82,100.0,04020
4,23,149,149,100.0,04023
4,24,200,200,100.0,04024
4,25,238,238,100.0,04025
4,26,187,187,100.0,04026
4,27,210,210,100.0,04027
4,30,61,61,100.0,04030
4,31,55,55,100.0,04031
4,33,73,73,100.0,04033
4,35,104,104,100.0,04035
4,36,200,200,100.0,04036
4,37,106,106,100.0,04037
4,39,92,92,100.0,04039
4,40,169,169,100.0,04040
4,42,135,135,100.0,04042
4,46,194,194,100.0,04046
4,49,53,53,100.0,04049
4,50,177,177,100.0,04050
4,52,47,47,100.0,04052
4,53,29,29,100.0,04053
5,2,0,0,0.0,05002
5,9,186,186,100.0,05009
5,10,87,87,100.0,05010
5,13,161,161,100.0,05013
5,16,139,139,100.0,05016
5,19,73,73,100.0,05019
5,20,76,76,100.0,05020
5,23,136,136,100.0,05023
5,27,0,0,0.0,05027
5,45,111,111,100.0,05045
5,51,122,122,100.0,05051
5,52,0,0,0.0,05052
5,58,104,104,100.0,05058
20,2,122,122,100.0,20002
20,5,102,102,100.0,20005
20,9,118,118,100.0,20009
20,18,176,176,100.0,20018
20,22,128,128,100.0,20022
20,24,186,186,100.0,20024
20,29,114,114,100.0,20029
20,32,212,212,100.0,20032
20,34,4,4,100.0,20034
20,36,134,134,100.0,20036
20,47,96,96,100.0,20047
42,1,111,111,100.0,42001
42,2,63,63,100.0,42002
42,5,98,98,100.0,42005
42,6,212,212,100.0,42006
42,7,95,95,100.0,42007
42,9,40,40,100.0,42009
42,11,90,90,100.0,42011
42,13,212,212,100.0,42013
42,18,222,222,100.0,42018
42,19,44,44,100.0,42019
42,22,2,2,100.0,42022
42,23,105,105,100.0,42023
42,24,100,100,100.0,42024
42,25,93,93,100.0,42025
42,29,105,105,100.0,42029
42,30,69,69,100.0,42030
42,31,41,41,100.0,42031
42,35,77,77,100.0,42035
42,37,82,82,100.0,42037
42,38,93,93,100.0,42038
42,40,53,53,100.0,42040
42,41,76,76,100.0,42041
42,42,86,86,100.0,42042
42,43,97,97,100.0,42043
42,44,92,92,100.0,42044
42,47,66,66,100.0,42047
42,50,97,97,100.0,42050
42,51,83,83,100.0,42051
42,52,75,75,100.0,42052
42,53,70,70,100.0,42053
42,54,62,62,100.0,42054
42,55,0,0,0.0,42055
42,61,21,21,100.0,42061
42,62,58,58,100.0,42062
42,63,80,80,100.0,42063
42,64,42,42,100.0,42064
42,65,66,66,100.0,42065
42,66,58,58,100.0,42066
42,67,170,170,100.0,42067
