ward,precinct,total,"F. MICHAEL KELLEHER, JR.","F. MICHAEL KELLEHER, JR. Percent",PAT QUINN,PAT QUINN Percent,JOYCE W. WASHINGTON,JOYCE W. WASHINGTON Percent,precinct_id
1,1,145,58,40.0,69,47.59,18,12.41,01001
1,2,164,48,29.27,71,43.29,45,27.44,01002
1,3,106,19,17.92,51,48.11,36,33.96,01003
1,4,127,34,26.77,59,46.46,34,26.77,01004
1,5,131,25,19.08,65,49.62,41,31.3,01005
1,6,51,5,9.8,11,21.57,35,68.63,01006
1,7,143,38,26.57,75,52.45,30,20.98,01007
1,8,88,19,21.59,32,36.36,37,42.05,01008
1,9,144,28,19.44,80,55.56,36,25.0,01009
1,10,130,35,26.92,52,40.0,43,33.08,01010
1,11,119,35,29.41,60,50.42,24,20.17,01011
1,12,156,30,19.23,74,47.44,52,33.33,01012
1,13,111,19,17.12,49,44.14,43,38.74,01013
1,14,106,12,11.32,33,31.13,61,57.55,01014
1,15,134,38,28.36,49,36.57,47,35.07,01015
1,16,106,15,14.15,38,35.85,53,50.0,01016
1,17,101,26,25.74,48,47.52,27,26.73,01017
1,18,134,26,19.4,60,44.78,48,35.82,01018
1,19,134,24,17.91,51,38.06,59,44.03,01019
1,20,100,16,16.0,35,35.0,49,49.0,01020
1,21,120,35,29.17,61,50.83,24,20.0,01021
1,22,75,9,12.0,33,44.0,33,44.0,01022
1,23,214,55,25.7,97,45.33,62,28.97,01023
1,24,106,41,38.68,47,44.34,18,16.98,01024
1,25,114,35,30.7,51,44.74,28,24.56,01025
1,26,143,43,30.07,70,48.95,30,20.98,01026
1,27,96,24,25.0,32,33.33,40,41.67,01027
1,28,19,4,21.05,10,52.63,5,26.32,01028
1,29,211,46,21.8,105,49.76,60,28.44,01029
1,30,111,26,23.42,50,45.05,35,31.53,01030
1,31,96,32,33.33,45,46.88,19,19.79,01031
1,32,161,23,14.29,68,42.24,70,43.48,01032
1,33,143,43,30.07,68,47.55,32,22.38,01033
1,34,29,12,41.38,10,34.48,7,24.14,01034
1,35,45,16,35.56,22,48.89,7,15.56,01035
1,36,105,23,21.9,60,57.14,22,20.95,01036
1,37,166,47,28.31,72,43.37,47,28.31,01037
2,1,154,28,18.18,49,31.82,77,50.0,02001
2,2,277,9,3.25,58,20.94,210,75.81,02002
2,3,107,12,11.21,30,28.04,65,60.75,02003
2,4,83,3,3.61,16,19.28,64,77.11,02004
2,5,77,7,9.09,24,31.17,46,59.74,02005
2,6,81,5,6.17,24,29.63,52,64.2,02006
2,7,232,6,2.59,60,25.86,166,71.55,02007
2,8,196,33,16.84,61,31.12,102,52.04,02008
2,9,0,0,0.0,0,0.0,0,0.0,02009
2,10,96,4,4.17,18,18.75,74,77.08,02010
2,11,328,78,23.78,110,33.54,140,42.68,02011
2,12,215,11,5.12,67,31.16,137,63.72,02012
2,13,246,6,2.44,45,18.29,195,79.27,02013
2,14,278,4,1.44,44,15.83,230,82.73,02014
2,15,54,2,3.7,10,18.52,42,77.78,02015
2,16,105,5,4.76,36,34.29,64,60.95,02016
2,17,144,8,5.56,43,29.86,93,64.58,02017
2,18,248,10,4.03,55,22.18,183,73.79,02018
2,19,77,8,10.39,25,32.47,44,57.14,02019
2,20,161,7,4.35,30,18.63,124,77.02,02020
2,21,156,4,2.56,30,19.23,122,78.21,02021
2,22,394,85,21.57,128,32.49,181,45.94,02022
2,23,132,9,6.82,27,20.45,96,72.73,02023
2,24,83,1,1.2,25,30.12,57,68.67,02024
2,25,80,12,15.0,28,35.0,40,50.0,02025
2,26,112,9,8.04,29,25.89,74,66.07,02026
2,27,26,3,11.54,8,30.77,15,57.69,02027
2,28,230,5,2.17,54,23.48,171,74.35,02028
2,29,75,11,14.67,29,38.67,35,46.67,02029
2,30,115,7,6.09,25,21.74,83,72.17,02030
2,31,196,7,3.57,49,25.0,140,71.43,02031
2,32,103,4,3.88,18,17.48,81,78.64,02032
2,33,275,14,5.09,65,23.64,196,71.27,02033
2,34,174,9,5.17,45,25.86,120,68.97,02034
2,35,37,7,18.92,9,24.32,21,56.76,02035
2,36,62,8,12.9,14,22.58,40,64.52,02036
2,37,215,41,19.07,57,26.51,117,54.42,02037
2,38,159,14,8.81,38,23.9,107,67.3,02038
2,39,198,14,7.07,75,37.88,109,55.05,02039
2,40,192,25,13.02,63,32.81,104,54.17,02040
2,41,42,1,2.38,10,23.81,31,73.81,02041
2,42,61,7,11.48,24,39.34,30,49.18,02042
2,43,216,53,24.54,64,29.63,99,45.83,02043
2,44,190,5,2.63,36,18.95,149,78.42,02044
2,45,82,3,3.66,11,13.41,68,82.93,02045
2,46,346,6,1.73,74,21.39,266,76.88,02046
2,47,119,10,8.4,26,21.85,83,69.75,02047
