ward,precinct,total,JOSEPH MARIO MORENO,JOSEPH MARIO MORENO Percent,precinct_id
2,28,2,2,100.0,02028
3,51,0,0,0.0,03051
11,2,168,168,100.0,11002
11,3,103,103,100.0,11003
11,6,253,253,100.0,11006
11,14,71,71,100.0,11014
11,17,214,214,100.0,11017
11,22,116,116,100.0,11022
11,23,129,129,100.0,11023
11,27,41,41,100.0,11027
11,30,0,0,0.0,11030
11,31,51,51,100.0,11031
11,36,97,97,100.0,11036
12,1,61,61,100.0,12001
12,2,85,85,100.0,12002
12,3,82,82,100.0,12003
12,4,97,97,100.0,12004
12,5,39,39,100.0,12005
12,6,80,80,100.0,12006
12,7,94,94,100.0,12007
12,8,95,95,100.0,12008
12,9,66,66,100.0,12009
12,10,67,67,100.0,12010
12,11,95,95,100.0,12011
12,12,60,60,100.0,12012
12,13,65,65,100.0,12013
12,14,118,118,100.0,12014
12,15,106,106,100.0,12015
12,16,100,100,100.0,12016
12,17,32,32,100.0,12017
12,18,5,5,100.0,12018
12,19,27,27,100.0,12019
12,20,117,117,100.0,12020
12,21,109,109,100.0,12021
12,22,90,90,100.0,12022
12,23,81,81,100.0,12023
12,24,33,33,100.0,12024
12,25,143,143,100.0,12025
12,26,55,55,100.0,12026
12,27,48,48,100.0,12027
12,28,88,88,100.0,12028
12,29,128,128,100.0,12029
12,30,94,94,100.0,12030
13,5,36,36,100.0,13005
13,11,153,153,100.0,13011
13,15,217,217,100.0,13015
13,16,60,60,100.0,13016
13,18,175,175,100.0,13018
13,20,184,184,100.0,13020
13,21,145,145,100.0,13021
13,26,33,33,100.0,13026
13,28,153,153,100.0,13028
13,30,189,189,100.0,13030
13,31,174,174,100.0,13031
13,33,163,163,100.0,13033
13,34,28,28,100.0,13034
13,35,43,43,100.0,13035
13,39,17,17,100.0,13039
13,40,161,161,100.0,13040
13,44,132,132,100.0,13044
13,50,215,215,100.0,13050
13,54,35,35,100.0,13054
14,1,152,152,100.0,14001
14,3,199,199,100.0,14003
14,4,126,126,100.0,14004
14,5,194,194,100.0,14005
14,6,143,143,100.0,14006
14,7,135,135,100.0,14007
14,8,142,142,100.0,14008
14,9,147,147,100.0,14009
14,11,139,139,100.0,14011
14,12,99,99,100.0,14012
14,13,167,167,100.0,14013
14,14,91,91,100.0,14014
14,15,64,64,100.0,14015
14,16,125,125,100.0,14016
14,17,119,119,100.0,14017
14,18,123,123,100.0,14018
14,19,213,213,100.0,14019
14,20,2,2,100.0,14020
14,21,7,7,100.0,14021
14,22,150,150,100.0,14022
14,23,117,117,100.0,14023
14,24,145,145,100.0,14024
14,25,144,144,100.0,14025
14,26,131,131,100.0,14026
14,27,234,234,100.0,14027
14,28,25,25,100.0,14028
14,29,181,181,100.0,14029
14,30,122,122,100.0,14030
14,31,138,138,100.0,14031
14,32,172,172,100.0,14032
14,33,120,120,100.0,14033
14,34,142,142,100.0,14034
14,35,74,74,100.0,14035
14,36,165,165,100.0,14036
14,37,146,146,100.0,14037
14,38,50,50,100.0,14038
14,39,144,144,100.0,14039
14,40,114,114,100.0,14040
14,41,209,209,100.0,14041
14,42,104,104,100.0,14042
14,44,166,166,100.0,14044
14,45,145,145,100.0,14045
14,46,198,198,100.0,14046
14,47,225,225,100.0,14047
14,48,102,102,100.0,14048
15,49,47,47,100.0,15049
16,1,89,89,100.0,16001
16,4,34,34,100.0,16004
16,13,70,70,100.0,16013
16,21,114,114,100.0,16021
16,23,4,4,100.0,16023
16,32,36,36,100.0,16032
16,41,69,69,100.0,16041
16,42,156,156,100.0,16042
22,2,89,89,100.0,22002
22,3,148,148,100.0,22003
22,4,122,122,100.0,22004
22,5,151,151,100.0,22005
22,6,116,116,100.0,22006
22,9,127,127,100.0,22009
22,10,169,169,100.0,22010
22,11,123,123,100.0,22011
22,13,124,124,100.0,22013
22,14,80,80,100.0,22014
22,16,137,137,100.0,22016
22,17,148,148,100.0,22017
22,18,104,104,100.0,22018
22,23,145,145,100.0,22023
22,24,132,132,100.0,22024
22,25,119,119,100.0,22025
22,26,90,90,100.0,22026
22,27,161,161,100.0,22027
22,29,72,72,100.0,22029
23,6,43,43,100.0,23006
23,7,154,154,100.0,23007
23,9,144,144,100.0,23009
23,22,137,137,100.0,23022
23,24,131,131,100.0,23024
23,25,178,178,100.0,23025
23,29,131,131,100.0,23029
23,49,87,87,100.0,23049
24,53,1,1,100.0,24053
25,1,138,138,100.0,25001
25,2,148,148,100.0,25002
25,5,151,151,100.0,25005
25,6,103,103,100.0,25006
25,7,142,142,100.0,25007
25,8,143,143,100.0,25008
25,9,199,199,100.0,25009
25,11,182,182,100.0,25011
25,12,139,139,100.0,25012
25,13,158,158,100.0,25013
25,15,142,142,100.0,25015
25,17,169,169,100.0,25017
25,19,140,140,100.0,25019
25,20,211,211,100.0,25020
25,22,111,111,100.0,25022
25,23,148,148,100.0,25023
25,24,144,144,100.0,25024
