ward,precinct,total,CYNTHIA SOTO,CYNTHIA SOTO Percent,precinct_id
1,1,141,141,100.0,01001
1,2,158,158,100.0,01002
1,3,98,98,100.0,01003
1,4,123,123,100.0,01004
1,5,123,123,100.0,01005
1,7,121,121,100.0,01007
1,9,161,161,100.0,01009
1,10,120,120,100.0,01010
1,11,121,121,100.0,01011
1,12,143,143,100.0,01012
1,13,150,150,100.0,01013
1,14,136,136,100.0,01014
1,15,178,178,100.0,01015
1,16,113,113,100.0,01016
1,17,97,97,100.0,01017
1,18,153,153,100.0,01018
1,19,174,174,100.0,01019
1,20,153,153,100.0,01020
1,21,104,104,100.0,01021
1,22,92,92,100.0,01022
1,23,202,202,100.0,01023
1,24,115,115,100.0,01024
1,25,116,116,100.0,01025
1,26,119,119,100.0,01026
1,27,109,109,100.0,01027
1,28,13,13,100.0,01028
1,29,240,240,100.0,01029
1,30,139,139,100.0,01030
1,32,178,178,100.0,01032
1,33,173,173,100.0,01033
1,34,28,28,100.0,01034
1,36,121,121,100.0,01036
1,37,154,154,100.0,01037
26,2,136,136,100.0,26002
26,3,67,67,100.0,26003
26,4,190,190,100.0,26004
26,5,159,159,100.0,26005
26,6,172,172,100.0,26006
26,9,126,126,100.0,26009
26,10,137,137,100.0,26010
26,12,147,147,100.0,26012
26,14,213,213,100.0,26014
26,15,106,106,100.0,26015
26,18,162,162,100.0,26018
26,20,104,104,100.0,26020
26,21,148,148,100.0,26021
26,22,81,81,100.0,26022
26,23,60,60,100.0,26023
26,26,83,83,100.0,26026
26,27,108,108,100.0,26027
26,29,156,156,100.0,26029
26,31,47,47,100.0,26031
26,35,145,145,100.0,26035
27,4,79,79,100.0,27004
27,10,15,15,100.0,27010
27,15,0,0,0.0,27015
27,32,64,64,100.0,27032
27,35,91,91,100.0,27035
31,1,94,94,100.0,31001
31,3,119,119,100.0,31003
31,15,118,118,100.0,31015
31,20,103,103,100.0,31020
31,26,65,65,100.0,31026
31,35,74,74,100.0,31035
31,41,91,91,100.0,31041
31,45,89,89,100.0,31045
32,1,131,131,100.0,32001
32,3,105,105,100.0,32003
32,11,144,144,100.0,32011
32,12,84,84,100.0,32012
32,17,116,116,100.0,32017
32,47,0,0,0.0,32047
35,22,14,14,100.0,35022
