ward,precinct,total,RALPH C. CAPPARELLI,RALPH C. CAPPARELLI Percent,precinct_id
30,1,44,44,100.0,30001
30,2,111,111,100.0,30002
30,12,144,144,100.0,30012
30,22,109,109,100.0,30022
30,32,71,71,100.0,30032
30,44,168,168,100.0,30044
33,18,0,0,0.0,33018
38,5,188,188,100.0,38005
38,9,27,27,100.0,38009
38,20,138,138,100.0,38020
39,1,139,139,100.0,39001
39,2,232,232,100.0,39002
39,3,157,157,100.0,39003
39,4,101,101,100.0,39004
39,5,143,143,100.0,39005
39,6,157,157,100.0,39006
39,7,159,159,100.0,39007
39,8,138,138,100.0,39008
39,9,233,233,100.0,39009
39,10,126,126,100.0,39010
39,11,189,189,100.0,39011
39,12,80,80,100.0,39012
39,14,135,135,100.0,39014
39,15,109,109,100.0,39015
39,16,95,95,100.0,39016
39,17,101,101,100.0,39017
39,18,161,161,100.0,39018
39,19,101,101,100.0,39019
39,20,127,127,100.0,39020
39,21,103,103,100.0,39021
39,23,95,95,100.0,39023
39,26,163,163,100.0,39026
39,28,78,78,100.0,39028
39,32,271,271,100.0,39032
39,33,165,165,100.0,39033
39,34,158,158,100.0,39034
39,35,129,129,100.0,39035
39,36,315,315,100.0,39036
39,37,194,194,100.0,39037
39,38,240,240,100.0,39038
39,39,81,81,100.0,39039
39,40,106,106,100.0,39040
39,41,30,30,100.0,39041
39,42,131,131,100.0,39042
39,43,120,120,100.0,39043
39,45,146,146,100.0,39045
39,47,103,103,100.0,39047
39,48,108,108,100.0,39048
39,49,83,83,100.0,39049
39,50,150,150,100.0,39050
40,1,64,64,100.0,40001
40,2,24,24,100.0,40002
40,10,55,55,100.0,40010
40,17,72,72,100.0,40017
40,20,20,20,100.0,40020
40,24,69,69,100.0,40024
40,29,179,179,100.0,40029
40,30,181,181,100.0,40030
40,31,130,130,100.0,40031
40,32,83,83,100.0,40032
40,34,102,102,100.0,40034
40,38,60,60,100.0,40038
41,10,179,179,100.0,41010
41,14,204,204,100.0,41014
41,23,183,183,100.0,41023
41,47,168,168,100.0,41047
41,54,147,147,100.0,41054
41,59,156,156,100.0,41059
41,66,167,167,100.0,41066
45,1,147,147,100.0,45001
45,4,145,145,100.0,45004
45,5,100,100,100.0,45005
45,10,211,211,100.0,45010
45,12,169,169,100.0,45012
45,14,208,208,100.0,45014
45,24,221,221,100.0,45024
45,36,209,209,100.0,45036
45,37,0,0,0.0,45037
45,41,0,0,0.0,45041
45,58,106,106,100.0,45058
50,25,11,11,100.0,50025
