ward,precinct,total,EARLEAN COLLINS,EARLEAN COLLINS Percent,IVAN V. WILLIAMS,IVAN V. WILLIAMS Percent,LUTHER FRANKLIN SPENCE,LUTHER FRANKLIN SPENCE Percent,IOLA McGOWAN,IOLA McGOWAN Percent,precinct_id
1,2,133,53,39.85,28,21.05,13,9.77,39,29.32,01002
1,3,80,31,38.75,13,16.25,12,15.0,24,30.0,01003
1,4,105,49,46.67,19,18.1,16,15.24,21,20.0,01004
1,5,109,38,34.86,18,16.51,16,14.68,37,33.94,01005
1,6,43,21,48.84,2,4.65,5,11.63,15,34.88,01006
1,7,99,39,39.39,21,21.21,7,7.07,32,32.32,01007
1,8,72,34,47.22,11,15.28,9,12.5,18,25.0,01008
1,10,106,42,39.62,21,19.81,13,12.26,30,28.3,01010
1,11,76,35,46.05,8,10.53,5,6.58,28,36.84,01011
1,12,30,11,36.67,9,30.0,0,0.0,10,33.33,01012
1,17,70,30,42.86,16,22.86,9,12.86,15,21.43,01017
1,21,93,30,32.26,27,29.03,10,10.75,26,27.96,01021
1,23,0,0,0.0,0,0.0,0,0.0,0,0.0,01023
1,25,90,41,45.56,13,14.44,8,8.89,28,31.11,01025
1,26,113,47,41.59,24,21.24,6,5.31,36,31.86,01026
1,29,33,10,30.3,9,27.27,3,9.09,11,33.33,01029
1,31,89,31,34.83,13,14.61,7,7.87,38,42.7,01031
1,32,0,0,0.0,0,0.0,0,0.0,0,0.0,01032
1,33,0,0,0.0,0,0.0,0,0.0,0,0.0,01033
1,34,24,13,54.17,5,20.83,3,12.5,3,12.5,01034
1,36,90,29,32.22,23,25.56,10,11.11,28,31.11,01036
1,37,140,61,43.57,30,21.43,21,15.0,28,20.0,01037
2,15,55,44,80.0,6,10.91,1,1.82,4,7.27,02015
2,23,125,79,63.2,7,5.6,10,8.0,29,23.2,02023
2,53,83,54,65.06,5,6.02,9,10.84,15,18.07,02053
27,2,114,69,60.53,7,6.14,13,11.4,25,21.93,27002
27,3,127,94,74.02,4,3.15,8,6.3,21,16.54,27003
27,4,0,0,0.0,0,0.0,0,0.0,0,0.0,27004
27,7,92,42,45.65,16,17.39,4,4.35,30,32.61,27007
27,8,67,39,58.21,4,5.97,2,2.99,22,32.84,27008
27,10,231,137,59.31,23,9.96,22,9.52,49,21.21,27010
27,11,104,67,64.42,4,3.85,5,4.81,28,26.92,27011
27,15,103,57,55.34,9,8.74,9,8.74,28,27.18,27015
27,18,45,20,44.44,3,6.67,6,13.33,16,35.56,27018
27,19,125,81,64.8,3,2.4,4,3.2,37,29.6,27019
27,22,138,78,56.52,4,2.9,3,2.17,53,38.41,27022
27,23,114,84,73.68,6,5.26,10,8.77,14,12.28,27023
27,24,163,78,47.85,7,4.29,15,9.2,63,38.65,27024
27,25,109,79,72.48,9,8.26,5,4.59,16,14.68,27025
