ward,precinct,total,NOREEN VALERIA LOVE,NOREEN VALERIA LOVE Percent,"JAMES C. MURRAY, JR.","JAMES C. MURRAY, JR. Percent",precinct_id
1,1,116,50,43.1,66,56.9,01001
1,2,141,84,59.57,57,40.43,01002
1,3,74,45,60.81,29,39.19,01003
1,4,107,67,62.62,40,37.38,01004
1,5,104,58,55.77,46,44.23,01005
1,6,36,24,66.67,12,33.33,01006
1,7,110,65,59.09,45,40.91,01007
1,8,66,38,57.58,28,42.42,01008
1,9,95,49,51.58,46,48.42,01009
1,10,101,45,44.55,56,55.45,01010
1,11,87,36,41.38,51,58.62,01011
1,12,138,86,62.32,52,37.68,01012
1,13,67,40,59.7,27,40.3,01013
1,14,90,55,61.11,35,38.89,01014
1,15,111,67,60.36,44,39.64,01015
1,16,88,53,60.23,35,39.77,01016
1,17,73,38,52.05,35,47.95,01017
1,18,109,62,56.88,47,43.12,01018
1,19,103,68,66.02,35,33.98,01019
1,20,74,48,64.86,26,35.14,01020
1,21,95,58,61.05,37,38.95,01021
1,22,63,38,60.32,25,39.68,01022
1,23,170,100,58.82,70,41.18,01023
1,24,80,41,51.25,39,48.75,01024
1,25,88,51,57.95,37,42.05,01025
1,26,112,58,51.79,54,48.21,01026
1,27,90,47,52.22,43,47.78,01027
1,28,15,10,66.67,5,33.33,01028
1,29,167,103,61.68,64,38.32,01029
1,30,99,63,63.64,36,36.36,01030
1,31,69,31,44.93,38,55.07,01031
1,32,113,69,61.06,44,38.94,01032
1,33,118,65,55.08,53,44.92,01033
1,34,28,12,42.86,16,57.14,01034
1,35,31,19,61.29,12,38.71,01035
1,36,92,49,53.26,43,46.74,01036
1,37,136,76,55.88,60,44.12,01037
2,1,122,68,55.74,54,44.26,02001
2,2,227,165,72.69,62,27.31,02002
2,3,87,61,70.11,26,29.89,02003
2,4,57,37,64.91,20,35.09,02004
2,5,71,42,59.15,29,40.85,02005
2,6,67,43,64.18,24,35.82,02006
2,7,194,141,72.68,53,27.32,02007
2,8,164,95,57.93,69,42.07,02008
2,9,0,0,0.0,0,0.0,02009
2,10,80,53,66.25,27,33.75,02010
2,11,231,111,48.05,120,51.95,02011
2,12,149,102,68.46,47,31.54,02012
2,13,196,139,70.92,57,29.08,02013
2,14,235,197,83.83,38,16.17,02014
2,15,53,38,71.7,15,28.3,02015
2,16,82,55,67.07,27,32.93,02016
2,17,115,77,66.96,38,33.04,02017
2,18,190,140,73.68,50,26.32,02018
2,19,65,34,52.31,31,47.69,02019
2,20,114,69,60.53,45,39.47,02020
2,21,128,95,74.22,33,25.78,02021
2,22,309,181,58.58,128,41.42,02022
2,23,106,77,72.64,29,27.36,02023
2,24,54,35,64.81,19,35.19,02024
2,25,65,34,52.31,31,47.69,02025
2,26,93,69,74.19,24,25.81,02026
2,27,16,9,56.25,7,43.75,02027
2,28,195,148,75.9,47,24.1,02028
2,29,63,34,53.97,29,46.03,02029
2,30,102,77,75.49,25,24.51,02030
2,31,150,113,75.33,37,24.67,02031
2,32,84,57,67.86,27,32.14,02032
2,33,216,147,68.06,69,31.94,02033
2,34,133,83,62.41,50,37.59,02034
2,35,28,16,57.14,12,42.86,02035
2,36,51,22,43.14,29,56.86,02036
2,37,159,88,55.35,71,44.65,02037
2,38,119,74,62.18,45,37.82,02038
2,39,148,107,72.3,41,27.7,02039
2,40,149,92,61.74,57,38.26,02040
2,41,33,21,63.64,12,36.36,02041
2,42,47,34,72.34,13,27.66,02042
2,43,166,88,53.01,78,46.99,02043
2,44,140,99,70.71,41,29.29,02044
2,45,59,48,81.36,11,18.64,02045
2,46,270,219,81.11,51,18.89,02046
2,47,101,72,71.29,29,28.71,02047
2,48,174,133,76.44,41,23.56,02048
2,49,58,34,58.62,24,41.38,02049
2,50,68,44,64.71,24,35.29,02050
2,51,130,93,71.54,37,28.46,02051
2,52,110,65,59.09,45,40.91,02052
2,53,69,49,71.01,20,28.99,02053
2,54,138,87,63.04,51,36.96,02054
2,55,111,73,65.77,38,34.23,02055
2,56,38,20,52.63,18,47.37,02056
3,1,97,68,70.1,29,29.9,03001
3,2,175,125,71.43,50,28.57,03002
3,3,18,8,44.44,10,55.56,03003
3,4,45,32,71.11,13,28.89,03004
3,5,0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,03007
3,8,72,38,52.78,34,47.22,03008
3,9,82,55,67.07,27,32.93,03009
3,10,65,43,66.15,22,33.85,03010
3,11,91,65,71.43,26,28.57,03011
3,12,106,75,70.75,31,29.25,03012
3,13,5,4,80.0,1,20.0,03013
3,14,54,31,57.41,23,42.59,03014
3,15,88,56,63.64,32,36.36,03015
3,16,165,131,79.39,34,20.61,03016
3,17,97,57,58.76,40,41.24,03017
3,18,95,57,60.0,38,40.0,03018
3,19,57,33,57.89,24,42.11,03019
3,20,34,19,55.88,15,44.12,03020
3,21,57,43,75.44,14,24.56,03021
3,22,99,66,66.67,33,33.33,03022
3,23,39,25,64.1,14,35.9,03023
3,24,108,68,62.96,40,37.04,03024
3,25,26,15,57.69,11,42.31,03025
3,26,75,52,69.33,23,30.67,03026
3,27,22,16,72.73,6,27.27,03027
3,28,122,84,68.85,38,31.15,03028
3,29,0,0,0.0,0,0.0,03029
3,30,98,71,72.45,27,27.55,03030
3,31,110,76,69.09,34,30.91,03031
3,32,128,94,73.44,34,26.56,03032
3,33,132,79,59.85,53,40.15,03033
3,34,34,21,61.76,13,38.24,03034
3,35,84,69,82.14,15,17.86,03035
3,36,38,23,60.53,15,39.47,03036
3,37,83,59,71.08,24,28.92,03037
3,38,135,96,71.11,39,28.89,03038
3,39,187,129,68.98,58,31.02,03039
3,40,90,64,71.11,26,28.89,03040
3,41,84,52,61.9,32,38.1,03041
3,42,58,38,65.52,20,34.48,03042
3,43,0,0,0.0,0,0.0,03043
3,44,51,33,64.71,18,35.29,03044
3,45,45,21,46.67,24,53.33,03045
3,46,18,12,66.67,6,33.33,03046
3,47,97,65,67.01,32,32.99,03047
3,48,113,79,69.91,34,30.09,03048
3,49,96,66,68.75,30,31.25,03049
3,50,102,60,58.82,42,41.18,03050
3,51,53,33,62.26,20,37.74,03051
3,52,143,100,69.93,43,30.07,03052
4,1,165,128,77.58,37,22.42,04001
4,2,41,28,68.29,13,31.71,04002
4,3,229,179,78.17,50,21.83,04003
4,4,217,175,80.65,42,19.35,04004
4,5,167,129,77.25,38,22.75,04005
4,6,0,0,0.0,0,0.0,04006
4,7,128,105,82.03,23,17.97,04007
4,8,238,187,78.57,51,21.43,04008
4,9,373,305,81.77,68,18.23,04009
4,10,282,235,83.33,47,16.67,04010
4,11,173,135,78.03,38,21.97,04011
4,12,132,113,85.61,19,14.39,04012
4,13,224,180,80.36,44,19.64,04013
4,14,96,79,82.29,17,17.71,04014
4,15,73,59,80.82,14,19.18,04015
4,16,170,133,78.24,37,21.76,04016
4,17,203,155,76.35,48,23.65,04017
4,18,134,93,69.4,41,30.6,04018
4,19,34,26,76.47,8,23.53,04019
4,20,53,38,71.7,15,28.3,04020
4,21,195,159,81.54,36,18.46,04021
4,22,218,171,78.44,47,21.56,04022
4,23,135,108,80.0,27,20.0,04023
4,24,188,137,72.87,51,27.13,04024
4,25,205,170,82.93,35,17.07,04025
4,26,164,130,79.27,34,20.73,04026
4,27,176,140,79.55,36,20.45,04027
4,28,153,120,78.43,33,21.57,04028
4,29,135,102,75.56,33,24.44,04029
4,30,41,26,63.41,15,36.59,04030
4,31,44,25,56.82,19,43.18,04031
4,32,187,145,77.54,42,22.46,04032
4,33,58,44,75.86,14,24.14,04033
4,34,122,92,75.41,30,24.59,04034
4,35,95,53,55.79,42,44.21,04035
4,36,174,133,76.44,41,23.56,04036
4,37,89,50,56.18,39,43.82,04037
