ward,precinct,total,ROBERT SHAW,ROBERT SHAW Percent,STEVEN BURRIS,STEVEN BURRIS Percent,precinct_id
2,2,254,104,40.94,150,59.06,02002
2,3,104,64,61.54,40,38.46,02003
2,4,63,32,50.79,31,49.21,02004
2,5,75,41,54.67,34,45.33,02005
2,6,87,52,59.77,35,40.23,02006
2,7,229,120,52.4,109,47.6,02007
2,9,0,0,0.0,0,0.0,02009
2,10,75,30,40.0,45,60.0,02010
2,12,185,93,50.27,92,49.73,02012
2,13,225,98,43.56,127,56.44,02013
2,14,249,133,53.41,116,46.59,02014
2,15,42,23,54.76,19,45.24,02015
2,16,108,64,59.26,44,40.74,02016
2,17,133,67,50.38,66,49.62,02017
2,18,205,117,57.07,88,42.93,02018
2,19,62,33,53.23,29,46.77,02019
2,20,149,59,39.6,90,60.4,02020
2,21,147,82,55.78,65,44.22,02021
2,23,112,55,49.11,57,50.89,02023
2,24,72,51,70.83,21,29.17,02024
2,25,69,37,53.62,32,46.38,02025
2,26,113,60,53.1,53,46.9,02026
2,27,25,11,44.0,14,56.0,02027
2,28,163,97,59.51,66,40.49,02028
2,29,67,33,49.25,34,50.75,02029
2,30,90,53,58.89,37,41.11,02030
2,31,179,93,51.96,86,48.04,02031
2,32,0,0,0.0,0,0.0,02032
2,33,246,118,47.97,128,52.03,02033
2,34,147,59,40.14,88,59.86,02034
2,36,53,32,60.38,21,39.62,02036
2,38,144,80,55.56,64,44.44,02038
2,39,131,58,44.27,73,55.73,02039
2,40,13,8,61.54,5,38.46,02040
2,41,32,19,59.38,13,40.63,02041
2,42,15,6,40.0,9,60.0,02042
2,44,158,94,59.49,64,40.51,02044
2,45,70,30,42.86,40,57.14,02045
2,46,305,172,56.39,133,43.61,02046
2,47,104,42,40.38,62,59.62,02047
2,48,191,91,47.64,100,52.36,02048
2,50,16,11,68.75,5,31.25,02050
2,51,146,81,55.48,65,44.52,02051
2,53,79,42,53.16,37,46.84,02053
2,56,45,24,53.33,21,46.67,02056
3,1,117,70,59.83,47,40.17,03001
3,2,245,136,55.51,109,44.49,03002
3,3,25,21,84.0,4,16.0,03003
3,4,52,29,55.77,23,44.23,03004
3,5,0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,03007
3,8,77,46,59.74,31,40.26,03008
3,9,81,48,59.26,33,40.74,03009
3,10,80,52,65.0,28,35.0,03010
3,11,106,67,63.21,39,36.79,03011
3,12,154,83,53.9,71,46.1,03012
3,13,4,1,25.0,3,75.0,03013
3,14,64,40,62.5,24,37.5,03014
3,15,111,73,65.77,38,34.23,03015
3,16,206,133,64.56,73,35.44,03016
3,17,137,96,70.07,41,29.93,03017
3,18,118,69,58.47,49,41.53,03018
3,19,64,29,45.31,35,54.69,03019
3,20,40,20,50.0,20,50.0,03020
3,21,85,57,67.06,28,32.94,03021
3,22,116,71,61.21,45,38.79,03022
3,23,49,28,57.14,21,42.86,03023
3,24,143,90,62.94,53,37.06,03024
3,25,31,19,61.29,12,38.71,03025
3,26,94,55,58.51,39,41.49,03026
3,27,24,16,66.67,8,33.33,03027
3,28,143,74,51.75,69,48.25,03028
3,29,0,0,0.0,0,0.0,03029
3,30,128,69,53.91,59,46.09,03030
3,31,146,86,58.9,60,41.1,03031
3,32,135,82,60.74,53,39.26,03032
3,33,159,91,57.23,68,42.77,03033
3,34,47,29,61.7,18,38.3,03034
3,35,106,68,64.15,38,35.85,03035
3,36,53,31,58.49,22,41.51,03036
3,37,87,47,54.02,40,45.98,03037
3,38,198,111,56.06,87,43.94,03038
3,39,220,103,46.82,117,53.18,03039
3,40,123,81,65.85,42,34.15,03040
3,41,107,71,66.36,36,33.64,03041
3,42,74,42,56.76,32,43.24,03042
3,43,0,0,0.0,0,0.0,03043
3,44,87,54,62.07,33,37.93,03044
3,45,64,40,62.5,24,37.5,03045
3,46,19,11,57.89,8,42.11,03046
3,47,107,63,58.88,44,41.12,03047
3,48,130,81,62.31,49,37.69,03048
3,49,130,74,56.92,56,43.08,03049
3,50,152,110,72.37,42,27.63,03050
3,51,1,0,0.0,1,100.0,03051
3,52,183,104,56.83,79,43.17,03052
4,1,163,90,55.21,73,44.79,04001
4,2,46,28,60.87,18,39.13,04002
4,3,243,119,48.97,124,51.03,04003
4,4,228,146,64.04,82,35.96,04004
4,5,199,90,45.23,109,54.77,04005
4,6,0,0,0.0,0,0.0,04006
4,7,141,84,59.57,57,40.43,04007
4,8,224,115,51.34,109,48.66,04008
4,9,393,200,50.89,193,49.11,04009
4,10,303,164,54.13,139,45.87,04010
4,11,182,102,56.04,80,43.96,04011
4,12,149,79,53.02,70,46.98,04012
