ward,precinct,total,"JESUS """"JESSE"""" MARTINEZ","JESUS """"JESSE"""" MARTINEZ Percent",DEBORAH L. GRAHAM,DEBORAH L. GRAHAM Percent,TED E. LEVERENZ,TED E. LEVERENZ Percent,precinct_id
29,4,219,7,3.2,145,66.21,1,0.46,29004
29,5,216,6,2.78,142,65.74,1,0.46,29005
29,8,235,7,2.98,175,74.47,3,1.28,29008
29,9,153,9,5.88,73,47.71,0,0.0,29009
29,11,200,6,3.0,146,73.0,0,0.0,29011
29,13,231,15,6.49,123,53.25,2,0.87,29013
29,18,222,8,3.6,128,57.66,2,0.9,29018
29,20,116,3,2.59,75,64.66,1,0.86,29020
29,23,51,1,1.96,34,66.67,0,0.0,29023
29,29,279,15,5.38,188,67.38,4,1.43,29029
29,32,190,6,3.16,101,53.16,1,0.53,29032
29,33,184,12,6.52,88,47.83,2,1.09,29033
29,35,267,5,1.87,207,77.53,1,0.37,29035
29,37,194,9,4.64,121,62.37,1,0.52,29037
29,40,294,11,3.74,190,64.63,1,0.34,29040
29,41,272,13,4.78,188,69.12,1,0.37,29041
29,43,283,6,2.12,188,66.43,3,1.06,29043
29,44,209,7,3.35,144,68.9,1,0.48,29044
29,45,180,10,5.56,120,66.67,0,0.0,29045
29,46,168,3,1.79,106,63.1,1,0.6,29046
29,47,309,22,7.12,182,58.9,2,0.65,29047
29,50,248,11,4.44,174,70.16,0,0.0,29050
29,51,189,18,9.52,104,55.03,0,0.0,29051
36,2,118,43,36.44,18,15.25,21,17.8,36002
36,16,200,71,35.5,38,19.0,40,20.0,36016
36,22,230,54,23.48,74,32.17,49,21.3,36022
36,23,104,33,31.73,33,31.73,11,10.58,36023
36,24,162,30,18.52,46,28.4,10,6.17,36024
36,33,172,49,28.49,37,21.51,43,25.0,36033
36,44,182,25,13.74,59,32.42,38,20.88,36044
36,45,151,45,29.8,29,19.21,31,20.53,36045
36,54,242,61,25.21,70,28.93,22,9.09,36054
36,55,213,37,17.37,65,30.52,50,23.47,36055
37,1,4,1,25.0,0,0.0,0,0.0,37001
37,6,296,14,4.73,207,69.93,0,0.0,37006
37,7,207,24,11.59,125,60.39,3,1.45,37007
37,9,156,20,12.82,40,25.64,2,1.28,37009
37,18,168,25,14.88,59,35.12,0,0.0,37018
37,23,106,13,12.26,35,33.02,2,1.89,37023
37,24,118,12,10.17,67,56.78,1,0.85,37024
37,25,0,0,0.0,0,0.0,0,0.0,37025
37,29,141,15,10.64,61,43.26,0,0.0,37029
37,36,146,11,7.53,82,56.16,2,1.37,37036
37,37,188,11,5.85,74,39.36,3,1.6,37037
37,38,163,11,6.75,78,47.85,1,0.61,37038
37,41,45,1,2.22,30,66.67,1,2.22,37041
37,45,43,4,9.3,17,39.53,1,2.33,37045
37,46,152,10,6.58,69,45.39,2,1.32,37046
37,50,54,11,20.37,21,38.89,0,0.0,37050
