ward,precinct,total,DANIEL J. BURKE,DANIEL J. BURKE Percent,precinct_id
13,11,155,155,100.0,13011
13,18,170,170,100.0,13018
13,20,183,183,100.0,13020
13,31,173,173,100.0,13031
13,44,125,125,100.0,13044
14,1,136,136,100.0,14001
14,2,142,142,100.0,14002
14,3,204,204,100.0,14003
14,4,133,133,100.0,14004
14,5,198,198,100.0,14005
14,9,159,159,100.0,14009
14,11,142,142,100.0,14011
14,13,180,180,100.0,14013
14,15,1,1,100.0,14015
14,17,28,28,100.0,14017
14,24,105,105,100.0,14024
14,27,154,154,100.0,14027
14,28,133,133,100.0,14028
14,32,157,157,100.0,14032
14,34,129,129,100.0,14034
14,35,77,77,100.0,14035
14,41,16,16,100.0,14041
14,43,171,171,100.0,14043
14,44,4,4,100.0,14044
14,47,226,226,100.0,14047
22,1,0,0,0.0,22001
22,2,68,68,100.0,22002
22,3,117,117,100.0,22003
22,4,107,107,100.0,22004
22,5,136,136,100.0,22005
22,6,96,96,100.0,22006
22,10,136,136,100.0,22010
22,13,110,110,100.0,22013
22,14,79,79,100.0,22014
22,16,117,117,100.0,22016
22,17,117,117,100.0,22017
22,18,90,90,100.0,22018
22,22,46,46,100.0,22022
22,23,126,126,100.0,22023
22,24,105,105,100.0,22024
22,25,100,100,100.0,22025
22,27,128,128,100.0,22027
23,5,173,173,100.0,23005
23,6,222,222,100.0,23006
23,7,158,158,100.0,23007
23,9,146,146,100.0,23009
23,10,294,294,100.0,23010
23,22,140,140,100.0,23022
23,23,153,153,100.0,23023
23,24,139,139,100.0,23024
23,25,185,185,100.0,23025
23,29,157,157,100.0,23029
23,32,251,251,100.0,23032
23,33,73,73,100.0,23033
23,37,1,1,100.0,23037
23,41,185,185,100.0,23041
23,49,149,149,100.0,23049
23,50,144,144,100.0,23050
23,51,194,194,100.0,23051
23,53,156,156,100.0,23053
23,59,148,148,100.0,23059
