ward,precinct,total,JAMES FITZGERALD SMITH,JAMES FITZGERALD SMITH Percent,ROGER G. FEIN,ROGER G. FEIN Percent,WILLIAM D. O'NEAL,WILLIAM D. O'NEAL Percent,THOMAS H. FEGAN,THOMAS H. FEGAN Percent,precinct_id
1,1,117,41,35.04,33,28.21,30,25.64,13,11.11,01001
1,2,141,42,29.79,34,24.11,31,21.99,34,24.11,01002
1,3,81,31,38.27,20,24.69,13,16.05,17,20.99,01003
1,4,105,30,28.57,23,21.9,24,22.86,28,26.67,01004
1,5,105,34,32.38,16,15.24,24,22.86,31,29.52,01005
1,6,34,15,44.12,4,11.76,10,29.41,5,14.71,01006
1,7,118,49,41.53,20,16.95,24,20.34,25,21.19,01007
1,8,70,34,48.57,8,11.43,17,24.29,11,15.71,01008
1,9,98,41,41.84,22,22.45,16,16.33,19,19.39,01009
1,10,112,37,33.04,31,27.68,18,16.07,26,23.21,01010
1,11,102,29,28.43,39,38.24,17,16.67,17,16.67,01011
1,12,141,57,40.43,26,18.44,30,21.28,28,19.86,01012
1,13,73,46,63.01,6,8.22,16,21.92,5,6.85,01013
1,14,96,48,50.0,16,16.67,23,23.96,9,9.38,01014
1,15,114,47,41.23,32,28.07,18,15.79,17,14.91,01015
1,16,92,38,41.3,11,11.96,31,33.7,12,13.04,01016
1,17,74,23,31.08,16,21.62,15,20.27,20,27.03,01017
1,18,105,50,47.62,11,10.48,31,29.52,13,12.38,01018
1,19,111,56,50.45,11,9.91,26,23.42,18,16.22,01019
1,20,74,40,54.05,5,6.76,17,22.97,12,16.22,01020
1,21,104,39,37.5,22,21.15,23,22.12,20,19.23,01021
1,22,66,26,39.39,7,10.61,20,30.3,13,19.7,01022
1,23,171,62,36.26,26,15.2,46,26.9,37,21.64,01023
1,24,79,27,34.18,23,29.11,13,16.46,16,20.25,01024
1,25,89,35,39.33,19,21.35,16,17.98,19,21.35,01025
1,26,110,42,38.18,21,19.09,28,25.45,19,17.27,01026
1,27,93,46,49.46,11,11.83,26,27.96,10,10.75,01027
1,28,16,4,25.0,4,25.0,7,43.75,1,6.25,01028
1,29,172,71,41.28,29,16.86,32,18.6,40,23.26,01029
1,30,98,51,52.04,14,14.29,23,23.47,10,10.2,01030
1,31,88,27,30.68,37,42.05,18,20.45,6,6.82,01031
1,32,120,61,50.83,15,12.5,29,24.17,15,12.5,01032
1,33,124,45,36.29,27,21.77,24,19.35,28,22.58,01033
1,34,29,7,24.14,10,34.48,4,13.79,8,27.59,01034
1,35,32,9,28.13,10,31.25,9,28.13,4,12.5,01035
1,36,91,31,34.07,24,26.37,15,16.48,21,23.08,01036
1,37,145,52,35.86,35,24.14,37,25.52,21,14.48,01037
2,1,111,37,33.33,14,12.61,36,32.43,24,21.62,02001
2,2,230,90,39.13,32,13.91,91,39.57,17,7.39,02002
2,3,89,40,44.94,14,15.73,25,28.09,10,11.24,02003
2,4,64,27,42.19,7,10.94,22,34.38,8,12.5,02004
2,5,74,34,45.95,5,6.76,22,29.73,13,17.57,02005
2,6,66,42,63.64,6,9.09,14,21.21,4,6.06,02006
2,7,197,85,43.15,30,15.23,72,36.55,10,5.08,02007
2,8,158,49,31.01,27,17.09,36,22.78,46,29.11,02008
2,9,0,0,0.0,0,0.0,0,0.0,0,0.0,02009
2,10,88,27,30.68,7,7.95,49,55.68,5,5.68,02010
2,11,252,67,26.59,59,23.41,60,23.81,66,26.19,02011
2,12,150,57,38.0,25,16.67,52,34.67,16,10.67,02012
2,13,202,80,39.6,41,20.3,68,33.66,13,6.44,02013
2,14,226,72,31.86,13,5.75,127,56.19,14,6.19,02014
2,15,50,13,26.0,6,12.0,27,54.0,4,8.0,02015
2,16,96,43,44.79,17,17.71,28,29.17,8,8.33,02016
