ward,precinct,total,MARIA ANTONIA (TONI) BERRIOS,MARIA ANTONIA (TONI) BERRIOS Percent,precinct_id
26,3,28,28,100.0,26003
26,8,11,11,100.0,26008
26,11,55,55,100.0,26011
26,13,166,166,100.0,26013
26,17,155,155,100.0,26017
26,19,68,68,100.0,26019
26,23,83,83,100.0,26023
26,24,184,184,100.0,26024
26,25,172,172,100.0,26025
26,28,187,187,100.0,26028
26,32,126,126,100.0,26032
26,33,138,138,100.0,26033
26,34,148,148,100.0,26034
26,36,167,167,100.0,26036
26,37,125,125,100.0,26037
30,4,196,196,100.0,30004
30,9,233,233,100.0,30009
30,14,59,59,100.0,30014
30,16,80,80,100.0,30016
30,17,36,36,100.0,30017
30,18,160,160,100.0,30018
30,19,172,172,100.0,30019
30,23,83,83,100.0,30023
30,24,74,74,100.0,30024
30,25,133,133,100.0,30025
30,26,149,149,100.0,30026
30,33,0,0,0.0,30033
30,34,261,261,100.0,30034
30,36,116,116,100.0,30036
31,2,111,111,100.0,31002
31,5,97,97,100.0,31005
31,6,35,35,100.0,31006
31,7,49,49,100.0,31007
31,10,25,25,100.0,31010
31,11,48,48,100.0,31011
31,13,1,1,100.0,31013
31,14,144,144,100.0,31014
31,18,29,29,100.0,31018
31,23,68,68,100.0,31023
31,24,56,56,100.0,31024
31,30,108,108,100.0,31030
31,31,173,173,100.0,31031
31,32,90,90,100.0,31032
31,33,168,168,100.0,31033
32,14,71,71,100.0,32014
32,16,1,1,100.0,32016
32,29,26,26,100.0,32029
33,4,2,2,100.0,33004
33,5,135,135,100.0,33005
33,16,34,34,100.0,33016
35,1,96,96,100.0,35001
35,3,94,94,100.0,35003
35,4,69,69,100.0,35004
35,5,174,174,100.0,35005
35,6,124,124,100.0,35006
35,7,148,148,100.0,35007
35,8,43,43,100.0,35008
35,9,129,129,100.0,35009
35,10,103,103,100.0,35010
35,11,90,90,100.0,35011
35,12,134,134,100.0,35012
35,13,60,60,100.0,35013
35,14,113,113,100.0,35014
35,15,42,42,100.0,35015
35,16,134,134,100.0,35016
35,17,149,149,100.0,35017
35,18,141,141,100.0,35018
35,19,138,138,100.0,35019
35,20,72,72,100.0,35020
35,21,204,204,100.0,35021
35,22,79,79,100.0,35022
35,25,127,127,100.0,35025
35,27,196,196,100.0,35027
35,28,112,112,100.0,35028
35,29,132,132,100.0,35029
35,30,209,209,100.0,35030
35,31,149,149,100.0,35031
35,33,85,85,100.0,35033
35,34,20,20,100.0,35034
35,35,80,80,100.0,35035
