ward,precinct,total,DONNE E. TROTTER,DONNE E. TROTTER Percent,WILLIAM H. TAYLOR,WILLIAM H. TAYLOR Percent,precinct_id
5,2,193,131,67.88,62,32.12,05002
5,3,40,2,5.0,38,95.0,05003
5,4,4,4,100.0,0,0.0,05004
5,6,217,117,53.92,100,46.08,05006
5,12,186,150,80.65,36,19.35,05012
5,15,150,121,80.67,29,19.33,05015
5,19,72,16,22.22,56,77.78,05019
5,20,31,1,3.23,30,96.77,05020
5,22,217,181,83.41,36,16.59,05022
5,50,132,102,77.27,30,22.73,05050
5,52,120,70,58.33,50,41.67,05052
6,1,304,264,86.84,40,13.16,06001
6,2,275,243,88.36,32,11.64,06002
6,3,262,227,86.64,35,13.36,06003
6,6,4,2,50.0,2,50.0,06006
6,8,246,200,81.3,46,18.7,06008
6,9,274,234,85.4,40,14.6,06009
6,10,323,295,91.33,28,8.67,06010
6,13,218,172,78.9,46,21.1,06013
6,14,207,176,85.02,31,14.98,06014
6,16,263,219,83.27,44,16.73,06016
6,17,287,256,89.2,31,10.8,06017
6,21,251,218,86.85,33,13.15,06021
6,22,219,204,93.15,15,6.85,06022
6,23,184,160,86.96,24,13.04,06023
6,24,194,170,87.63,24,12.37,06024
6,25,219,196,89.5,23,10.5,06025
6,26,269,215,79.93,54,20.07,06026
6,27,327,292,89.3,35,10.7,06027
6,28,382,337,88.22,45,11.78,06028
6,29,311,271,87.14,40,12.86,06029
6,31,300,259,86.33,41,13.67,06031
6,34,220,189,85.91,31,14.09,06034
6,35,301,259,86.05,42,13.95,06035
6,37,309,270,87.38,39,12.62,06037
6,38,262,217,82.82,45,17.18,06038
6,39,140,118,84.29,22,15.71,06039
6,41,274,246,89.78,28,10.22,06041
6,43,266,220,82.71,46,17.29,06043
6,44,244,217,88.93,27,11.07,06044
6,45,126,105,83.33,21,16.67,06045
6,46,213,188,88.26,25,11.74,06046
6,47,251,221,88.05,30,11.95,06047
6,50,268,217,80.97,51,19.03,06050
6,51,174,149,85.63,25,14.37,06051
6,52,180,148,82.22,32,17.78,06052
6,53,194,159,81.96,35,18.04,06053
6,54,192,170,88.54,22,11.46,06054
6,55,161,136,84.47,25,15.53,06055
6,56,179,144,80.45,35,19.55,06056
6,57,131,113,86.26,18,13.74,06057
6,58,282,248,87.94,34,12.06,06058
6,59,212,192,90.57,20,9.43,06059
6,60,160,129,80.63,31,19.38,06060
6,62,267,206,77.15,61,22.85,06062
6,63,199,173,86.93,26,13.07,06063
6,64,293,264,90.1,29,9.9,06064
7,1,322,246,76.4,76,23.6,07001
7,2,269,217,80.67,52,19.33,07002
7,4,188,130,69.15,58,30.85,07004
7,5,153,104,67.97,49,32.03,07005
7,6,221,168,76.02,53,23.98,07006
7,7,4,4,100.0,0,0.0,07007
7,9,226,116,51.33,110,48.67,07009
7,12,273,208,76.19,65,23.81,07012
7,13,111,86,77.48,25,22.52,07013
7,17,135,98,72.59,37,27.41,07017
7,19,282,236,83.69,46,16.31,07019
7,21,225,192,85.33,33,14.67,07021
7,24,307,193,62.87,114,37.13,07024
7,25,220,120,54.55,100,45.45,07025
7,26,284,240,84.51,44,15.49,07026
7,27,249,215,86.35,34,13.65,07027
7,29,129,83,64.34,46,35.66,07029
7,30,323,249,77.09,74,22.91,07030
7,31,297,224,75.42,73,24.58,07031
7,33,267,182,68.16,85,31.84,07033
7,34,187,113,60.43,74,39.57,07034
7,36,390,237,60.77,153,39.23,07036
7,37,279,204,73.12,75,26.88,07037
7,38,301,174,57.81,127,42.19,07038
7,41,282,216,76.6,66,23.4,07041
7,42,105,81,77.14,24,22.86,07042
7,43,254,195,76.77,59,23.23,07043
7,46,17,4,23.53,13,76.47,07046
8,1,284,260,91.55,24,8.45,08001
8,2,172,160,93.02,12,6.98,08002
8,3,360,330,91.67,30,8.33,08003
8,4,257,234,91.05,23,8.95,08004
8,5,309,284,91.91,25,8.09,08005
8,6,259,232,89.58,27,10.42,08006
8,7,192,172,89.58,20,10.42,08007
8,8,318,301,94.65,17,5.35,08008
8,9,322,294,91.3,28,8.7,08009
8,10,323,300,92.88,23,7.12,08010
8,11,202,182,90.1,20,9.9,08011
8,12,224,195,87.05,29,12.95,08012
8,13,198,176,88.89,22,11.11,08013
8,14,202,175,86.63,27,13.37,08014
8,15,211,195,92.42,16,7.58,08015
8,16,279,263,94.27,16,5.73,08016
8,17,215,195,90.7,20,9.3,08017
8,18,176,155,88.07,21,11.93,08018
8,19,294,280,95.24,14,4.76,08019
8,20,184,165,89.67,19,10.33,08020
8,21,189,182,96.3,7,3.7,08021
8,22,224,197,87.95,27,12.05,08022
8,23,219,196,89.5,23,10.5,08023
8,24,267,254,95.13,13,4.87,08024
8,25,251,229,91.24,22,8.76,08025
8,26,149,136,91.28,13,8.72,08026
8,27,274,256,93.43,18,6.57,08027
8,28,197,186,94.42,11,5.58,08028
8,29,248,225,90.73,23,9.27,08029
8,30,232,197,84.91,35,15.09,08030
8,31,196,186,94.9,10,5.1,08031
8,32,405,370,91.36,35,8.64,08032
8,33,235,213,90.64,22,9.36,08033
8,34,268,234,87.31,34,12.69,08034
8,35,300,277,92.33,23,7.67,08035
8,36,250,225,90.0,25,10.0,08036
8,37,203,166,81.77,37,18.23,08037
8,38,233,209,89.7,24,10.3,08038
8,39,276,252,91.3,24,8.7,08039
8,40,244,219,89.75,25,10.25,08040
8,41,237,217,91.56,20,8.44,08041
8,42,234,209,89.32,25,10.68,08042
8,43,200,170,85.0,30,15.0,08043
8,44,277,249,89.89,28,10.11,08044
8,45,199,180,90.45,19,9.55,08045
8,46,177,159,89.83,18,10.17,08046
8,47,247,226,91.5,21,8.5,08047
8,48,242,225,92.98,17,7.02,08048
8,49,268,250,93.28,18,6.72,08049
8,50,246,227,92.28,19,7.72,08050
8,51,232,215,92.67,17,7.33,08051
8,52,265,248,93.58,17,6.42,08052
8,53,280,253,90.36,27,9.64,08053
8,54,245,224,91.43,21,8.57,08054
8,55,204,179,87.75,25,12.25,08055
8,56,190,172,90.53,18,9.47,08056
8,57,275,252,91.64,23,8.36,08057
8,58,263,235,89.35,28,10.65,08058
8,59,217,192,88.48,25,11.52,08059
8,60,274,260,94.89,14,5.11,08060
8,61,196,176,89.8,20,10.2,08061
8,62,322,304,94.41,18,5.59,08062
8,63,283,270,95.41,13,4.59,08063
8,64,128,108,84.38,20,15.63,08064
8,65,268,251,93.66,17,6.34,08065
8,66,303,273,90.1,30,9.9,08066
9,8,173,121,69.94,52,30.06,09008
9,25,109,90,82.57,19,17.43,09025
9,36,127,58,45.67,69,54.33,09036
9,37,202,151,74.75,51,25.25,09037
9,49,93,58,62.37,35,37.63,09049
10,2,115,82,71.3,33,28.7,10002
10,3,112,84,75.0,28,25.0,10003
10,5,125,94,75.2,31,24.8,10005
10,6,289,193,66.78,96,33.22,10006
10,8,142,109,76.76,33,23.24,10008
10,9,158,114,72.15,44,27.85,10009
10,10,204,169,82.84,35,17.16,10010
10,11,131,91,69.47,40,30.53,10011
10,12,119,82,68.91,37,31.09,10012
10,13,142,65,45.77,77,54.23,10013
10,14,32,24,75.0,8,25.0,10014
10,15,73,55,75.34,18,24.66,10015
10,16,171,123,71.93,48,28.07,10016
10,17,110,81,73.64,29,26.36,10017
10,19,229,154,67.25,75,32.75,10019
10,20,250,174,69.6,76,30.4,10020
10,21,106,60,56.6,46,43.4,10021
10,22,31,2,6.45,29,93.55,10022
10,23,112,75,66.96,37,33.04,10023
10,24,129,87,67.44,42,32.56,10024
10,26,110,79,71.82,31,28.18,10026
10,27,204,140,68.63,64,31.37,10027
10,28,183,122,66.67,61,33.33,10028
10,29,214,159,74.3,55,25.7,10029
10,30,155,122,78.71,33,21.29,10030
10,31,135,99,73.33,36,26.67,10031
10,32,137,99,72.26,38,27.74,10032
10,33,136,84,61.76,52,38.24,10033
10,34,123,85,69.11,38,30.89,10034
10,35,121,78,64.46,43,35.54,10035
10,36,183,134,73.22,49,26.78,10036
10,38,184,135,73.37,49,26.63,10038
10,39,130,98,75.38,32,24.62,10039
10,40,125,83,66.4,42,33.6,10040
10,41,264,172,65.15,92,34.85,10041
10,42,159,108,67.92,51,32.08,10042
10,44,134,87,64.93,47,35.07,10044
10,46,130,93,71.54,37,28.46,10046
21,23,198,173,87.37,25,12.63,21023
21,25,195,168,86.15,27,13.85,21025
21,26,177,152,85.88,25,14.12,21026
21,32,16,16,100.0,0,0.0,21032
