ward,precinct,total,MIKE QUIGLEY,MIKE QUIGLEY Percent,MARY ELLEN E. DALY,MARY ELLEN E. DALY Percent,precinct_id
39,1,153,86,56.21,67,43.79,39001
39,2,231,146,63.2,85,36.8,39002
39,3,168,98,58.33,70,41.67,39003
39,4,111,68,61.26,43,38.74,39004
39,15,116,58,50.0,58,50.0,39015
39,16,100,50,50.0,50,50.0,39016
39,17,103,55,53.4,48,46.6,39017
39,18,166,94,56.63,72,43.37,39018
39,20,137,75,54.74,62,45.26,39020
39,23,91,37,40.66,54,59.34,39023
39,26,175,100,57.14,75,42.86,39026
39,28,86,58,67.44,28,32.56,39028
39,32,272,227,83.46,45,16.54,39032
39,34,174,88,50.57,86,49.43,39034
39,36,313,238,76.04,75,23.96,39036
39,37,202,102,50.5,100,49.5,39037
39,38,261,156,59.77,105,40.23,39038
39,39,87,50,57.47,37,42.53,39039
39,40,108,62,57.41,46,42.59,39040
39,41,33,19,57.58,14,42.42,39041
39,42,148,93,62.84,55,37.16,39042
39,47,111,70,63.06,41,36.94,39047
39,49,90,56,62.22,34,37.78,39049
40,2,100,51,51.0,49,49.0,40002
40,3,99,57,57.58,42,42.42,40003
40,4,158,104,65.82,54,34.18,40004
40,7,105,64,60.95,41,39.05,40007
40,8,158,105,66.46,53,33.54,40008
40,9,75,45,60.0,30,40.0,40009
40,10,158,98,62.03,60,37.97,40010
40,11,110,63,57.27,47,42.73,40011
40,12,114,82,71.93,32,28.07,40012
40,13,110,69,62.73,41,37.27,40013
40,15,141,81,57.45,60,42.55,40015
40,16,232,183,78.88,49,21.12,40016
40,18,106,68,64.15,38,35.85,40018
40,22,77,43,55.84,34,44.16,40022
40,25,106,78,73.58,28,26.42,40025
40,26,146,101,69.18,45,30.82,40026
40,27,209,141,67.46,68,32.54,40027
40,28,128,78,60.94,50,39.06,40028
40,29,192,131,68.23,61,31.77,40029
40,30,172,72,41.86,100,58.14,40030
40,31,137,103,75.18,34,24.82,40031
40,33,119,70,58.82,49,41.18,40033
40,35,142,93,65.49,49,34.51,40035
40,37,155,81,52.26,74,47.74,40037
40,39,100,55,55.0,45,45.0,40039
40,45,216,129,59.72,87,40.28,40045
