ward,precinct,total,"WALLACE DAVIS, III","WALLACE DAVIS, III Percent",RICKEY R. HENDON,RICKEY R. HENDON Percent,JOHNNIE DAVIS,JOHNNIE DAVIS Percent,precinct_id
1,6,58,45,77.59,10,17.24,3,5.17,01006
1,7,30,15,50.0,13,43.33,2,6.67,01007
1,8,84,28,33.33,44,52.38,12,14.29,01008
1,12,22,22,100.0,0,0.0,0,0.0,01012
1,23,0,0,0.0,0,0.0,0,0.0,01023
1,28,10,3,30.0,6,60.0,1,10.0,01028
1,31,106,60,56.6,37,34.91,9,8.49,01031
1,32,9,9,100.0,0,0.0,0,0.0,01032
1,35,50,33,66.0,13,26.0,4,8.0,01035
2,4,94,26,27.66,64,68.09,4,4.26,02004
2,9,0,0,0.0,0,0.0,0,0.0,02009
2,10,104,34,32.69,59,56.73,11,10.58,02010
2,15,65,19,29.23,44,67.69,2,3.08,02015
2,17,159,79,49.69,69,43.4,11,6.92,02017
2,19,87,23,26.44,64,73.56,0,0.0,02019
2,23,141,60,42.55,69,48.94,12,8.51,02023
2,25,81,43,53.09,32,39.51,6,7.41,02025
2,27,35,22,62.86,12,34.29,1,2.86,02027
2,28,237,125,52.74,100,42.19,12,5.06,02028
2,30,131,50,38.17,73,55.73,8,6.11,02030
2,32,138,42,30.43,86,62.32,10,7.25,02032
2,34,224,61,27.23,153,68.3,10,4.46,02034
2,36,84,35,41.67,38,45.24,11,13.1,02036
2,38,172,107,62.21,55,31.98,10,5.81,02038
2,39,217,70,32.26,134,61.75,13,5.99,02039
2,41,48,21,43.75,24,50.0,3,6.25,02041
2,42,57,18,31.58,31,54.39,8,14.04,02042
2,50,114,34,29.82,76,66.67,4,3.51,02050
2,51,177,90,50.85,83,46.89,4,2.26,02051
2,53,96,40,41.67,54,56.25,2,2.08,02053
11,50,4,4,100.0,0,0.0,0,0.0,11050
12,19,87,34,39.08,38,43.68,15,17.24,12019
22,7,131,35,26.72,81,61.83,15,11.45,22007
22,8,219,92,42.01,117,53.42,10,4.57,22008
22,12,167,61,36.53,99,59.28,7,4.19,22012
22,19,120,39,32.5,71,59.17,10,8.33,22019
22,20,144,59,40.97,72,50.0,13,9.03,22020
22,21,210,74,35.24,117,55.71,19,9.05,22021
22,28,202,65,32.18,127,62.87,10,4.95,22028
24,1,184,65,35.33,109,59.24,10,5.43,24001
24,2,166,46,27.71,110,66.27,10,6.02,24002
24,3,161,43,26.71,110,68.32,8,4.97,24003
24,4,148,58,39.19,81,54.73,9,6.08,24004
24,5,162,49,30.25,106,65.43,7,4.32,24005
24,6,200,60,30.0,127,63.5,13,6.5,24006
24,7,0,0,0.0,0,0.0,0,0.0,24007
24,8,177,51,28.81,117,66.1,9,5.08,24008
24,9,167,55,32.93,109,65.27,3,1.8,24009
24,10,162,58,35.8,95,58.64,9,5.56,24010
24,11,43,17,39.53,22,51.16,4,9.3,24011
24,12,122,33,27.05,82,67.21,7,5.74,24012
24,13,129,29,22.48,92,71.32,8,6.2,24013
24,14,221,89,40.27,116,52.49,16,7.24,24014
24,15,151,43,28.48,99,65.56,9,5.96,24015
24,17,155,60,38.71,86,55.48,9,5.81,24017
24,18,102,54,52.94,43,42.16,5,4.9,24018
24,19,139,47,33.81,85,61.15,7,5.04,24019
24,20,200,65,32.5,120,60.0,15,7.5,24020
24,21,123,42,34.15,71,57.72,10,8.13,24021
24,22,189,66,34.92,102,53.97,21,11.11,24022
24,23,172,49,28.49,111,64.53,12,6.98,24023
24,24,133,43,32.33,81,60.9,9,6.77,24024
24,25,189,61,32.28,117,61.9,11,5.82,24025
24,26,187,67,35.83,109,58.29,11,5.88,24026
24,27,85,27,31.76,53,62.35,5,5.88,24027
24,28,194,40,20.62,148,76.29,6,3.09,24028
24,29,171,58,33.92,104,60.82,9,5.26,24029
24,30,161,40,24.84,111,68.94,10,6.21,24030
24,31,159,55,34.59,88,55.35,16,10.06,24031
24,32,190,62,32.63,116,61.05,12,6.32,24032
24,33,125,54,43.2,62,49.6,9,7.2,24033
24,34,132,31,23.48,87,65.91,14,10.61,24034
24,35,182,96,52.75,75,41.21,11,6.04,24035
24,36,141,28,19.86,105,74.47,8,5.67,24036
24,37,177,56,31.64,114,64.41,7,3.95,24037
24,38,173,56,32.37,103,59.54,14,8.09,24038
24,39,171,54,31.58,105,61.4,12,7.02,24039
24,40,222,78,35.14,137,61.71,7,3.15,24040
24,42,164,55,33.54,95,57.93,14,8.54,24042
24,43,165,61,36.97,95,57.58,9,5.45,24043
24,44,59,12,20.34,46,77.97,1,1.69,24044
24,45,126,45,35.71,69,54.76,12,9.52,24045
24,47,144,58,40.28,70,48.61,16,11.11,24047
24,48,34,19,55.88,13,38.24,2,5.88,24048
24,49,199,75,37.69,115,57.79,9,4.52,24049
24,50,252,119,47.22,124,49.21,9,3.57,24050
24,51,250,115,46.0,126,50.4,9,3.6,24051
24,52,186,75,40.32,96,51.61,15,8.06,24052
24,53,123,61,49.59,44,35.77,18,14.63,24053
25,4,325,200,61.54,103,31.69,22,6.77,25004
25,6,184,84,45.65,78,42.39,22,11.96,25006
25,10,60,27,45.0,30,50.0,3,5.0,25010
25,12,134,52,38.81,54,40.3,28,20.9,25012
25,18,87,44,50.57,37,42.53,6,6.9,25018
26,8,48,19,39.58,23,47.92,6,12.5,26008
26,38,107,47,43.93,42,39.25,18,16.82,26038
27,1,50,19,38.0,29,58.0,2,4.0,27001
27,2,125,67,53.6,48,38.4,10,8.0,27002
27,3,152,59,38.82,86,56.58,7,4.61,27003
27,7,99,38,38.38,55,55.56,6,6.06,27007
27,8,86,42,48.84,43,50.0,1,1.16,27008
27,10,210,180,85.71,22,10.48,8,3.81,27010
27,11,116,57,49.14,55,47.41,4,3.45,27011
27,15,122,58,47.54,60,49.18,4,3.28,27015
27,17,192,67,34.9,106,55.21,19,9.9,27017
27,18,61,39,63.93,15,24.59,7,11.48,27018
27,19,136,61,44.85,67,49.26,8,5.88,27019
27,22,156,85,54.49,66,42.31,5,3.21,27022
27,23,139,72,51.8,60,43.17,7,5.04,27023
27,24,179,113,63.13,54,30.17,12,6.7,27024
27,25,119,58,48.74,54,45.38,7,5.88,27025
27,26,296,126,42.57,162,54.73,8,2.7,27026
27,27,82,42,51.22,38,46.34,2,2.44,27027
27,29,115,47,40.87,57,49.57,11,9.57,27029
27,30,80,56,70.0,21,26.25,3,3.75,27030
27,31,121,63,52.07,49,40.5,9,7.44,27031
27,32,48,32,66.67,12,25.0,4,8.33,27032
27,33,113,57,50.44,51,45.13,5,4.42,27033
27,34,169,98,57.99,64,37.87,7,4.14,27034
27,35,0,0,0.0,0,0.0,0,0.0,27035
27,36,184,77,41.85,98,53.26,9,4.89,27036
27,37,1,0,0.0,1,100.0,0,0.0,27037
27,40,116,71,61.21,40,34.48,5,4.31,27040
27,41,164,108,65.85,44,26.83,12,7.32,27041
27,44,192,76,39.58,107,55.73,9,4.69,27044
27,45,202,113,55.94,85,42.08,4,1.98,27045
27,46,164,131,79.88,31,18.9,2,1.22,27046
27,47,125,73,58.4,47,37.6,5,4.0,27047
27,48,198,78,39.39,111,56.06,9,4.55,27048
27,49,128,50,39.06,72,56.25,6,4.69,27049
27,50,158,64,40.51,79,50.0,15,9.49,27050
27,53,136,63,46.32,57,41.91,16,11.76,27053
27,54,96,44,45.83,38,39.58,14,14.58,27054
27,55,56,42,75.0,11,19.64,3,5.36,27055
27,56,81,27,33.33,45,55.56,9,11.11,27056
27,57,76,32,42.11,36,47.37,8,10.53,27057
27,58,125,40,32.0,66,52.8,19,15.2,27058
