ward,precinct,total,RICHARD T. BRADLEY,RICHARD T. BRADLEY Percent,precinct_id
26,1,108,108,100.0,26001
26,11,103,103,100.0,26011
26,16,124,124,100.0,26016
26,19,95,95,100.0,26019
26,30,73,73,100.0,26030
26,32,38,38,100.0,26032
30,1,140,140,100.0,30001
30,2,9,9,100.0,30002
30,3,198,198,100.0,30003
30,6,145,145,100.0,30006
30,7,135,135,100.0,30007
30,8,165,165,100.0,30008
30,13,108,108,100.0,30013
30,14,43,43,100.0,30014
30,15,185,185,100.0,30015
30,16,25,25,100.0,30016
30,22,5,5,100.0,30022
30,28,152,152,100.0,30028
30,29,155,155,100.0,30029
30,30,142,142,100.0,30030
30,32,84,84,100.0,30032
30,38,160,160,100.0,30038
30,39,124,124,100.0,30039
30,40,113,113,100.0,30040
33,1,165,165,100.0,33001
33,2,235,235,100.0,33002
33,3,138,138,100.0,33003
33,4,186,186,100.0,33004
33,5,0,0,0.0,33005
33,6,197,197,100.0,33006
33,7,14,14,100.0,33007
33,10,180,180,100.0,33010
33,12,214,214,100.0,33012
33,13,202,202,100.0,33013
33,14,112,112,100.0,33014
33,15,45,45,100.0,33015
33,16,130,130,100.0,33016
33,17,196,196,100.0,33017
33,18,48,48,100.0,33018
33,19,144,144,100.0,33019
33,20,163,163,100.0,33020
33,21,153,153,100.0,33021
33,22,238,238,100.0,33022
33,23,182,182,100.0,33023
33,25,243,243,100.0,33025
33,26,134,134,100.0,33026
33,29,167,167,100.0,33029
33,30,148,148,100.0,33030
33,31,142,142,100.0,33031
33,32,43,43,100.0,33032
33,33,170,170,100.0,33033
33,34,153,153,100.0,33034
33,35,180,180,100.0,33035
33,36,200,200,100.0,33036
33,37,138,138,100.0,33037
38,2,3,3,100.0,38002
38,13,145,145,100.0,38013
38,24,85,85,100.0,38024
38,34,52,52,100.0,38034
39,12,0,0,0.0,39012
39,13,66,66,100.0,39013
39,22,70,70,100.0,39022
39,24,131,131,100.0,39024
39,25,60,60,100.0,39025
39,27,76,76,100.0,39027
39,29,86,86,100.0,39029
39,30,139,139,100.0,39030
39,31,92,92,100.0,39031
39,44,165,165,100.0,39044
39,46,134,134,100.0,39046
