ward,precinct,total,SHERYL E. TILLMAN,SHERYL E. TILLMAN Percent,"ROBERT L. RYAN, JR.","ROBERT L. RYAN, JR. Percent",precinct_id
9,3,175,87,49.71,8,4.57,09003
9,7,221,79,35.75,13,5.88,09007
9,11,153,68,44.44,20,13.07,09011
9,15,103,64,62.14,3,2.91,09015
9,16,238,125,52.52,12,5.04,09016
9,24,114,62,54.39,6,5.26,09024
9,26,146,66,45.21,6,4.11,09026
9,28,149,62,41.61,26,17.45,09028
9,33,173,60,34.68,13,7.51,09033
9,41,315,171,54.29,9,2.86,09041
9,42,172,97,56.4,10,5.81,09042
9,44,46,24,52.17,2,4.35,09044
9,47,142,54,38.03,12,8.45,09047
9,50,8,8,100.0,0,0.0,09050
