ward,precinct,total,"EMIL JONES, JR.","EMIL JONES, JR. Percent",MARK A. MYERS,MARK A. MYERS Percent,precinct_id
5,1,208,186,89.42,22,10.58,05001
5,3,221,201,90.95,20,9.05,05003
5,4,265,235,88.68,30,11.32,05004
5,6,212,185,87.26,27,12.74,05006
5,7,186,160,86.02,26,13.98,05007
5,11,48,26,54.17,22,45.83,05011
5,14,139,103,74.1,36,25.9,05014
5,18,128,114,89.06,14,10.94,05018
5,21,278,239,85.97,39,14.03,05021
5,24,172,136,79.07,36,20.93,05024
5,26,124,103,83.06,21,16.94,05026
5,28,247,219,88.66,28,11.34,05028
5,29,147,131,89.12,16,10.88,05029
5,31,178,162,91.01,16,8.99,05031
5,32,313,285,91.05,28,8.95,05032
5,34,114,97,85.09,17,14.91,05034
5,36,209,166,79.43,43,20.57,05036
5,37,103,85,82.52,18,17.48,05037
5,38,187,143,76.47,44,23.53,05038
5,40,156,135,86.54,21,13.46,05040
5,42,150,122,81.33,28,18.67,05042
5,43,223,205,91.93,18,8.07,05043
5,44,194,165,85.05,29,14.95,05044
5,46,161,123,76.4,38,23.6,05046
5,47,166,143,86.14,23,13.86,05047
5,53,125,110,88.0,15,12.0,05053
5,54,123,115,93.5,8,6.5,05054
5,55,191,171,89.53,20,10.47,05055
5,57,182,149,81.87,33,18.13,05057
5,59,103,87,84.47,16,15.53,05059
6,21,236,212,89.83,24,10.17,06021
6,22,211,189,89.57,22,10.43,06022
6,64,274,249,90.88,25,9.12,06064
7,1,317,296,93.38,21,6.62,07001
7,2,255,227,89.02,28,10.98,07002
7,3,175,152,86.86,23,13.14,07003
7,4,173,149,86.13,24,13.87,07004
7,5,141,108,76.6,33,23.4,07005
7,6,205,181,88.29,24,11.71,07006
7,7,178,151,84.83,27,15.17,07007
7,8,183,129,70.49,54,29.51,07008
7,9,233,207,88.84,26,11.16,07009
7,10,294,258,87.76,36,12.24,07010
7,11,217,198,91.24,19,8.76,07011
7,12,255,221,86.67,34,13.33,07012
7,13,103,95,92.23,8,7.77,07013
7,14,223,197,88.34,26,11.66,07014
7,15,262,231,88.17,31,11.83,07015
7,16,210,181,86.19,29,13.81,07016
7,17,177,156,88.14,21,11.86,07017
7,18,198,169,85.35,29,14.65,07018
7,19,265,232,87.55,33,12.45,07019
7,20,68,46,67.65,22,32.35,07020
7,21,208,176,84.62,32,15.38,07021
7,22,234,215,91.88,19,8.12,07022
7,23,208,182,87.5,26,12.5,07023
7,24,291,265,91.07,26,8.93,07024
7,25,209,191,91.39,18,8.61,07025
7,26,260,231,88.85,29,11.15,07026
7,27,238,216,90.76,22,9.24,07027
7,28,187,152,81.28,35,18.72,07028
7,29,128,122,95.31,6,4.69,07029
7,30,310,287,92.58,23,7.42,07030
7,31,295,262,88.81,33,11.19,07031
7,32,192,144,75.0,48,25.0,07032
7,33,250,215,86.0,35,14.0,07033
7,34,180,171,95.0,9,5.0,07034
7,35,291,254,87.29,37,12.71,07035
7,36,350,314,89.71,36,10.29,07036
7,37,252,217,86.11,35,13.89,07037
7,38,279,246,88.17,33,11.83,07038
7,39,198,183,92.42,15,7.58,07039
7,40,132,113,85.61,19,14.39,07040
7,41,264,243,92.05,21,7.95,07041
7,42,227,190,83.7,37,16.3,07042
7,43,226,208,92.04,18,7.96,07043
7,44,254,214,84.25,40,15.75,07044
7,45,322,304,94.41,18,5.59,07045
7,46,85,79,92.94,6,7.06,07046
8,2,0,0,0.0,0,0.0,08002
8,3,268,246,91.79,22,8.21,08003
8,4,242,221,91.32,21,8.68,08004
8,5,293,268,91.47,25,8.53,08005
8,7,173,152,87.86,21,12.14,08007
8,8,285,263,92.28,22,7.72,08008
8,9,297,264,88.89,33,11.11,08009
8,15,189,158,83.6,31,16.4,08015
8,17,193,171,88.6,22,11.4,08017
8,19,270,247,91.48,23,8.52,08019
8,23,190,165,86.84,25,13.16,08023
8,24,237,218,91.98,19,8.02,08024
8,25,220,199,90.45,21,9.55,08025
8,26,135,125,92.59,10,7.41,08026
8,27,257,226,87.94,31,12.06,08027
8,28,178,161,90.45,17,9.55,08028
8,30,54,48,88.89,6,11.11,08030
8,32,355,313,88.17,42,11.83,08032
8,34,248,220,88.71,28,11.29,08034
8,36,225,195,86.67,30,13.33,08036
8,39,253,225,88.93,28,11.07,08039
8,42,227,199,87.67,28,12.33,08042
8,44,254,217,85.43,37,14.57,08044
8,46,154,135,87.66,19,12.34,08046
8,47,220,187,85.0,33,15.0,08047
8,49,249,220,88.35,29,11.65,08049
8,50,230,209,90.87,21,9.13,08050
8,51,129,110,85.27,19,14.73,08051
8,57,247,222,89.88,25,10.12,08057
8,60,253,220,86.96,33,13.04,08060
8,62,303,285,94.06,18,5.94,08062
8,63,265,241,90.94,24,9.06,08063
8,65,245,222,90.61,23,9.39,08065
8,66,270,233,86.3,37,13.7,08066
9,1,278,262,94.24,16,5.76,09001
9,2,237,210,88.61,27,11.39,09002
9,3,159,129,81.13,30,18.87,09003
9,4,278,261,93.88,17,6.12,09004
9,5,251,225,89.64,26,10.36,09005
9,6,236,219,92.8,17,7.2,09006
9,7,211,194,91.94,17,8.06,09007
9,8,174,162,93.1,12,6.9,09008
9,9,292,277,94.86,15,5.14,09009
9,10,207,188,90.82,19,9.18,09010
9,11,137,113,82.48,24,17.52,09011
9,12,213,197,92.49,16,7.51,09012
9,13,311,291,93.57,20,6.43,09013
9,14,321,311,96.88,10,3.12,09014
9,15,101,91,90.1,10,9.9,09015
9,16,235,207,88.09,28,11.91,09016
9,17,190,169,88.95,21,11.05,09017
9,18,218,196,89.91,22,10.09,09018
9,19,277,247,89.17,30,10.83,09019
9,20,288,263,91.32,25,8.68,09020
9,21,176,162,92.05,14,7.95,09021
9,22,289,271,93.77,18,6.23,09022
9,23,166,157,94.58,9,5.42,09023
9,24,102,90,88.24,12,11.76,09024
9,25,109,87,79.82,22,20.18,09025
9,26,136,125,91.91,11,8.09,09026
9,27,141,129,91.49,12,8.51,09027
9,28,135,104,77.04,31,22.96,09028
9,29,210,194,92.38,16,7.62,09029
9,30,251,233,92.83,18,7.17,09030
9,31,189,177,93.65,12,6.35,09031
9,32,243,230,94.65,13,5.35,09032
9,33,163,147,90.18,16,9.82,09033
9,34,186,170,91.4,16,8.6,09034
9,35,240,220,91.67,20,8.33,09035
9,36,118,103,87.29,15,12.71,09036
9,37,215,157,73.02,58,26.98,09037
9,38,234,215,91.88,19,8.12,09038
9,39,220,206,93.64,14,6.36,09039
9,40,273,252,92.31,21,7.69,09040
9,41,308,294,95.45,14,4.55,09041
9,42,159,128,80.5,31,19.5,09042
9,43,160,148,92.5,12,7.5,09043
9,44,171,156,91.23,15,8.77,09044
9,45,268,247,92.16,21,7.84,09045
9,46,191,178,93.19,13,6.81,09046
9,47,128,115,89.84,13,10.16,09047
9,48,290,272,93.79,18,6.21,09048
9,49,83,69,83.13,14,16.87,09049
9,50,275,255,92.73,20,7.27,09050
9,51,172,159,92.44,13,7.56,09051
9,52,249,238,95.58,11,4.42,09052
10,1,127,90,70.87,37,29.13,10001
10,2,103,32,31.07,71,68.93,10002
10,3,107,36,33.64,71,66.36,10003
10,4,116,63,54.31,53,45.69,10004
10,5,116,47,40.52,69,59.48,10005
10,6,265,225,84.91,40,15.09,10006
10,7,37,27,72.97,10,27.03,10007
10,8,129,44,34.11,85,65.89,10008
10,9,145,50,34.48,95,65.52,10009
10,10,192,167,86.98,25,13.02,10010
10,11,128,48,37.5,80,62.5,10011
10,12,105,41,39.05,64,60.95,10012
10,13,186,75,40.32,111,59.68,10013
10,14,35,24,68.57,11,31.43,10014
10,15,68,26,38.24,42,61.76,10015
10,16,156,46,29.49,110,70.51,10016
10,17,95,36,37.89,59,62.11,10017
10,18,86,44,51.16,42,48.84,10018
10,19,223,68,30.49,155,69.51,10019
10,20,241,93,38.59,148,61.41,10020
10,21,102,23,22.55,79,77.45,10021
10,22,38,15,39.47,23,60.53,10022
10,23,119,52,43.7,67,56.3,10023
10,24,118,35,29.66,83,70.34,10024
10,25,156,104,66.67,52,33.33,10025
10,26,103,43,41.75,60,58.25,10026
10,27,185,57,30.81,128,69.19,10027
10,28,170,130,76.47,40,23.53,10028
10,29,197,174,88.32,23,11.68,10029
10,30,142,61,42.96,81,57.04,10030
10,31,129,59,45.74,70,54.26,10031
10,32,121,53,43.8,68,56.2,10032
10,33,130,54,41.54,76,58.46,10033
10,34,107,58,54.21,49,45.79,10034
10,35,112,51,45.54,61,54.46,10035
10,36,165,111,67.27,54,32.73,10036
10,37,109,78,71.56,31,28.44,10037
10,38,180,64,35.56,116,64.44,10038
10,39,127,52,40.94,75,59.06,10039
10,40,111,60,54.05,51,45.95,10040
10,41,252,92,36.51,160,63.49,10041
10,42,146,39,26.71,107,73.29,10042
10,43,121,84,69.42,37,30.58,10043
10,44,125,45,36.0,80,64.0,10044
10,45,146,50,34.25,96,65.75,10045
10,46,127,58,45.67,69,54.33,10046
21,32,118,107,90.68,11,9.32,21032
