ward,precinct,total,KAREN A. YARBROUGH,KAREN A. YARBROUGH Percent,JAMES O. BISHOP,JAMES O. BISHOP Percent,JOYCE EAKER PORTER,JOYCE EAKER PORTER Percent,precinct_id
29,16,175,61,34.86,5,2.86,109,62.29,29016
29,19,161,96,59.63,12,7.45,53,32.92,29019
29,20,93,43,46.24,9,9.68,41,44.09,29020
29,21,144,83,57.64,21,14.58,40,27.78,29021
29,23,57,34,59.65,6,10.53,17,29.82,29023
29,26,167,106,63.47,9,5.39,52,31.14,29026
29,27,113,84,74.34,11,9.73,18,15.93,29027
29,42,9,4,44.44,2,22.22,3,33.33,29042
37,24,19,14,73.68,1,5.26,4,21.05,37024
37,39,53,32,60.38,8,15.09,13,24.53,37039
