ward,precinct,total,ANNAZETTE COLLINS,ANNAZETTE COLLINS Percent,JOSEPH WILLIAM SNEED,JOSEPH WILLIAM SNEED Percent,JULIUS D. PENN,JULIUS D. PENN Percent,precinct_id
1,6,50,29,58.0,16,32.0,5,10.0,01006
1,7,27,19,70.37,5,18.52,3,11.11,01007
1,8,78,49,62.82,24,30.77,5,6.41,01008
1,12,18,18,100.0,0,0.0,0,0.0,01012
1,23,0,0,0.0,0,0.0,0,0.0,01023
1,28,8,7,87.5,1,12.5,0,0.0,01028
1,31,98,43,43.88,45,45.92,10,10.2,01031
1,32,17,17,100.0,0,0.0,0,0.0,01032
1,35,37,21,56.76,9,24.32,7,18.92,01035
2,15,58,48,82.76,4,6.9,6,10.34,02015
2,19,76,53,69.74,16,21.05,7,9.21,02019
2,23,100,65,65.0,31,31.0,4,4.0,02023
2,27,26,10,38.46,11,42.31,5,19.23,02027
2,39,1,1,100.0,0,0.0,0,0.0,02039
2,53,86,54,62.79,26,30.23,6,6.98,02053
24,7,0,0,0.0,0,0.0,0,0.0,24007
24,18,95,71,74.74,19,20.0,5,5.26,24018
24,29,2,1,50.0,1,50.0,0,0.0,24029
24,33,120,83,69.17,32,26.67,5,4.17,24033
26,8,49,27,55.1,16,32.65,6,12.24,26008
26,38,99,62,62.63,30,30.3,7,7.07,26038
27,2,123,78,63.41,38,30.89,7,5.69,27002
27,3,126,85,67.46,32,25.4,9,7.14,27003
27,8,74,48,64.86,24,32.43,2,2.7,27008
27,10,206,175,84.95,27,13.11,4,1.94,27010
27,11,111,49,44.14,56,50.45,6,5.41,27011
27,15,115,87,75.65,22,19.13,6,5.22,27015
27,18,54,28,51.85,21,38.89,5,9.26,27018
27,19,117,95,81.2,16,13.68,6,5.13,27019
27,22,146,103,70.55,32,21.92,11,7.53,27022
27,23,119,88,73.95,21,17.65,10,8.4,27023
27,24,148,109,73.65,30,20.27,9,6.08,27024
27,25,111,73,65.77,30,27.03,8,7.21,27025
27,26,265,189,71.32,59,22.26,17,6.42,27026
27,27,81,49,60.49,29,35.8,3,3.7,27027
27,29,106,86,81.13,15,14.15,5,4.72,27029
27,30,68,28,41.18,37,54.41,3,4.41,27030
27,31,117,83,70.94,28,23.93,6,5.13,27031
27,32,44,24,54.55,17,38.64,3,6.82,27032
27,33,108,81,75.0,21,19.44,6,5.56,27033
27,34,155,130,83.87,17,10.97,8,5.16,27034
27,35,0,0,0.0,0,0.0,0,0.0,27035
27,36,164,108,65.85,48,29.27,8,4.88,27036
27,37,1,0,0.0,1,100.0,0,0.0,27037
27,40,108,92,85.19,12,11.11,4,3.7,27040
27,41,135,59,43.7,54,40.0,22,16.3,27041
27,44,180,128,71.11,41,22.78,11,6.11,27044
27,45,188,160,85.11,19,10.11,9,4.79,27045
27,46,159,135,84.91,19,11.95,5,3.14,27046
27,47,108,73,67.59,30,27.78,5,4.63,27047
27,48,181,137,75.69,29,16.02,15,8.29,27048
27,49,122,70,57.38,46,37.7,6,4.92,27049
27,50,80,45,56.25,30,37.5,5,6.25,27050
27,54,33,20,60.61,11,33.33,2,6.06,27054
