ward,precinct,total,WILLIAM B. RAINES,WILLIAM B. RAINES Percent,KERRY M. KENNEDY,KERRY M. KENNEDY Percent,PENELOPE MORRIS,PENELOPE MORRIS Percent,precinct_id
3,8,77,21,27.27,37,48.05,19,24.68,03008
3,9,87,36,41.38,14,16.09,37,42.53,03009
3,10,77,16,20.78,26,33.77,35,45.45,03010
3,11,94,28,29.79,29,30.85,37,39.36,03011
3,12,135,32,23.7,35,25.93,68,50.37,03012
3,13,2,0,0.0,0,0.0,2,100.0,03013
3,14,60,20,33.33,17,28.33,23,38.33,03014
3,15,107,33,30.84,29,27.1,45,42.06,03015
3,16,192,43,22.4,38,19.79,111,57.81,03016
3,17,134,33,24.63,36,26.87,65,48.51,03017
3,18,115,31,26.96,36,31.3,48,41.74,03018
3,19,60,23,38.33,24,40.0,13,21.67,03019
3,20,35,15,42.86,17,48.57,3,8.57,03020
3,21,75,18,24.0,16,21.33,41,54.67,03021
3,22,102,27,26.47,24,23.53,51,50.0,03022
3,23,45,14,31.11,13,28.89,18,40.0,03023
3,24,125,46,36.8,30,24.0,49,39.2,03024
3,25,26,8,30.77,9,34.62,9,34.62,03025
3,26,82,22,26.83,24,29.27,36,43.9,03026
3,27,25,9,36.0,10,40.0,6,24.0,03027
3,28,129,45,34.88,29,22.48,55,42.64,03028
3,29,0,0,0.0,0,0.0,0,0.0,03029
3,30,130,30,23.08,30,23.08,70,53.85,03030
3,31,141,40,28.37,30,21.28,71,50.35,03031
3,32,150,46,30.67,34,22.67,70,46.67,03032
3,33,146,52,35.62,40,27.4,54,36.99,03033
3,34,48,7,14.58,10,20.83,31,64.58,03034
3,35,104,23,22.12,18,17.31,63,60.58,03035
3,36,52,17,32.69,11,21.15,24,46.15,03036
3,37,89,33,37.08,22,24.72,34,38.2,03037
3,38,160,55,34.38,28,17.5,77,48.13,03038
3,39,218,71,32.57,47,21.56,100,45.87,03039
3,40,111,27,24.32,28,25.23,56,50.45,03040
3,41,106,35,33.02,22,20.75,49,46.23,03041
3,42,67,22,32.84,22,32.84,23,34.33,03042
3,43,0,0,0.0,0,0.0,0,0.0,03043
3,44,84,15,17.86,15,17.86,54,64.29,03044
3,45,52,17,32.69,19,36.54,16,30.77,03045
3,46,19,5,26.32,6,31.58,8,42.11,03046
3,47,102,33,32.35,33,32.35,36,35.29,03047
