ward,precinct,total,WILLIAM B. RAINES,WILLIAM B. RAINES Percent,KERRY M. KENNEDY,KERRY M. KENNEDY Percent,PENELOPE MORRIS,PENELOPE MORRIS Percent,precinct_id
10,10,167,60,35.93,56,33.53,51,30.54,10010
10,11,123,21,17.07,73,59.35,29,23.58,10011
10,12,100,21,21.0,65,65.0,14,14.0,10012
10,13,175,33,18.86,93,53.14,49,28.0,10013
10,14,29,7,24.14,10,34.48,12,41.38,10014
10,15,65,16,24.62,42,64.62,7,10.77,10015
10,16,155,21,13.55,102,65.81,32,20.65,10016
10,17,93,23,24.73,62,66.67,8,8.6,10017
10,18,80,23,28.75,42,52.5,15,18.75,10018
10,19,196,38,19.39,114,58.16,44,22.45,10019
10,20,213,42,19.72,131,61.5,40,18.78,10020
10,21,97,15,15.46,68,70.1,14,14.43,10021
10,22,36,7,19.44,21,58.33,8,22.22,10022
10,23,120,27,22.5,56,46.67,37,30.83,10023
10,24,113,29,25.66,69,61.06,15,13.27,10024
10,25,147,51,34.69,60,40.82,36,24.49,10025
10,26,103,20,19.42,59,57.28,24,23.3,10026
10,27,182,40,21.98,102,56.04,40,21.98,10027
10,28,147,53,36.05,54,36.73,40,27.21,10028
10,29,164,59,35.98,54,32.93,51,31.1,10029
10,30,131,28,21.37,69,52.67,34,25.95,10030
10,31,116,30,25.86,65,56.03,21,18.1,10031
10,32,116,35,30.17,58,50.0,23,19.83,10032
10,33,127,32,25.2,69,54.33,26,20.47,10033
10,34,112,25,22.32,54,48.21,33,29.46,10034
10,35,115,25,21.74,57,49.57,33,28.7,10035
10,36,159,38,23.9,78,49.06,43,27.04,10036
10,37,105,33,31.43,48,45.71,24,22.86,10037
10,38,160,38,23.75,98,61.25,24,15.0,10038
10,39,116,20,17.24,62,53.45,34,29.31,10039
10,40,99,23,23.23,53,53.54,23,23.23,10040
10,41,241,44,18.26,154,63.9,43,17.84,10041
10,42,135,27,20.0,79,58.52,29,21.48,10042
10,43,112,45,40.18,43,38.39,24,21.43,10043
10,44,115,23,20.0,63,54.78,29,25.22,10044
10,45,147,34,23.13,81,55.1,32,21.77,10045
10,46,118,38,32.2,58,49.15,22,18.64,10046
11,1,182,23,12.64,141,77.47,18,9.89,11001
11,2,162,24,14.81,109,67.28,29,17.9,11002
11,3,188,22,11.7,137,72.87,29,15.43,11003
11,4,236,22,9.32,195,82.63,19,8.05,11004
11,5,120,21,17.5,77,64.17,22,18.33,11005
11,6,253,46,18.18,166,65.61,41,16.21,11006
11,7,198,12,6.06,174,87.88,12,6.06,11007
11,8,174,28,16.09,122,70.11,24,13.79,11008
11,9,201,22,10.95,165,82.09,14,6.97,11009
11,10,128,14,10.94,94,73.44,20,15.63,11010
11,11,208,31,14.9,153,73.56,24,11.54,11011
11,12,229,23,10.04,200,87.34,6,2.62,11012
11,13,214,14,6.54,189,88.32,11,5.14,11013
11,14,63,13,20.63,39,61.9,11,17.46,11014
11,15,181,16,8.84,151,83.43,14,7.73,11015
11,16,211,16,7.58,164,77.73,31,14.69,11016
11,17,225,33,14.67,154,68.44,38,16.89,11017
11,18,144,23,15.97,100,69.44,21,14.58,11018
11,19,166,33,19.88,118,71.08,15,9.04,11019
11,20,265,27,10.19,230,86.79,8,3.02,11020
11,21,330,22,6.67,292,88.48,16,4.85,11021
11,22,105,22,20.95,62,59.05,21,20.0,11022
11,23,130,26,20.0,82,63.08,22,16.92,11023
11,24,300,17,5.67,270,90.0,13,4.33,11024
11,25,142,12,8.45,119,83.8,11,7.75,11025
11,26,273,44,16.12,184,67.4,45,16.48,11026
11,27,35,4,11.43,21,60.0,10,28.57,11027
11,28,31,5,16.13,25,80.65,1,3.23,11028
11,29,236,29,12.29,166,70.34,41,17.37,11029
11,30,150,26,17.33,100,66.67,24,16.0,11030
11,31,50,8,16.0,34,68.0,8,16.0,11031
11,32,180,20,11.11,155,86.11,5,2.78,11032
11,33,149,43,28.86,59,39.6,47,31.54,11033
11,34,113,22,19.47,77,68.14,14,12.39,11034
11,35,261,30,11.49,211,80.84,20,7.66,11035
11,36,95,23,24.21,51,53.68,21,22.11,11036
11,37,374,36,9.63,306,81.82,32,8.56,11037
11,38,295,36,12.2,233,78.98,26,8.81,11038
11,39,283,35,12.37,229,80.92,19,6.71,11039
11,40,213,11,5.16,187,87.79,15,7.04,11040
11,41,144,16,11.11,115,79.86,13,9.03,11041
11,42,133,4,3.01,121,90.98,8,6.02,11042
11,43,204,28,13.73,161,78.92,15,7.35,11043
11,44,179,26,14.53,126,70.39,27,15.08,11044
11,45,109,15,13.76,88,80.73,6,5.5,11045
11,46,86,12,13.95,67,77.91,7,8.14,11046
11,47,174,21,12.07,137,78.74,16,9.2,11047
11,48,122,12,9.84,106,86.89,4,3.28,11048
11,49,140,12,8.57,123,87.86,5,3.57,11049
11,50,100,11,11.0,79,79.0,10,10.0,11050
11,51,188,18,9.57,157,83.51,13,6.91,11051
11,52,184,29,15.76,140,76.09,15,8.15,11052
11,53,189,14,7.41,164,86.77,11,5.82,11053
11,54,72,8,11.11,61,84.72,3,4.17,11054
12,1,57,9,15.79,25,43.86,23,40.35,12001
12,2,79,21,26.58,41,51.9,17,21.52,12002
12,3,76,20,26.32,33,43.42,23,30.26,12003
12,4,83,22,26.51,46,55.42,15,18.07,12004
12,5,36,13,36.11,18,50.0,5,13.89,12005
12,6,70,25,35.71,21,30.0,24,34.29,12006
12,7,86,20,23.26,42,48.84,24,27.91,12007
12,8,107,32,29.91,48,44.86,27,25.23,12008
12,9,53,10,18.87,26,49.06,17,32.08,12009
12,10,72,22,30.56,34,47.22,16,22.22,12010
12,11,92,21,22.83,48,52.17,23,25.0,12011
12,12,56,12,21.43,27,48.21,17,30.36,12012
12,13,65,20,30.77,27,41.54,18,27.69,12013
12,14,113,30,26.55,42,37.17,41,36.28,12014
12,15,101,15,14.85,47,46.53,39,38.61,12015
12,16,97,20,20.62,49,50.52,28,28.87,12016
12,17,27,5,18.52,12,44.44,10,37.04,12017
12,18,58,13,22.41,27,46.55,18,31.03,12018
12,19,75,21,28.0,29,38.67,25,33.33,12019
12,20,103,23,22.33,47,45.63,33,32.04,12020
12,21,103,20,19.42,46,44.66,37,35.92,12021
12,22,87,23,26.44,38,43.68,26,29.89,12022
12,23,80,19,23.75,33,41.25,28,35.0,12023
12,24,33,11,33.33,19,57.58,3,9.09,12024
12,25,121,27,22.31,57,47.11,37,30.58,12025
12,26,55,15,27.27,23,41.82,17,30.91,12026
12,27,42,11,26.19,23,54.76,8,19.05,12027
12,28,77,21,27.27,38,49.35,18,23.38,12028
12,29,124,29,23.39,61,49.19,34,27.42,12029
12,30,90,26,28.89,45,50.0,19,21.11,12030
13,1,160,25,15.63,114,71.25,21,13.13,13001
13,2,170,25,14.71,116,68.24,29,17.06,13002
13,3,225,30,13.33,178,79.11,17,7.56,13003
13,4,238,33,13.87,190,79.83,15,6.3,13004
13,5,164,22,13.41,118,71.95,24,14.63,13005
13,6,171,36,21.05,111,64.91,24,14.04,13006
13,7,243,30,12.35,186,76.54,27,11.11,13007
13,8,206,41,19.9,141,68.45,24,11.65,13008
13,9,238,33,13.87,180,75.63,25,10.5,13009
13,10,206,36,17.48,144,69.9,26,12.62,13010
13,11,173,33,19.08,111,64.16,29,16.76,13011
13,12,239,35,14.64,181,75.73,23,9.62,13012
13,13,311,32,10.29,250,80.39,29,9.32,13013
13,14,174,14,8.05,145,83.33,15,8.62,13014
13,15,258,27,10.47,215,83.33,16,6.2,13015
13,16,207,37,17.87,151,72.95,19,9.18,13016
13,17,147,21,14.29,105,71.43,21,14.29,13017
13,18,188,29,15.43,132,70.21,27,14.36,13018
13,19,194,33,17.01,137,70.62,24,12.37,13019
13,20,207,32,15.46,146,70.53,29,14.01,13020
13,21,186,20,10.75,143,76.88,23,12.37,13021
13,22,229,48,20.96,158,69.0,23,10.04,13022
13,23,215,22,10.23,177,82.33,16,7.44,13023
13,24,281,39,13.88,222,79.0,20,7.12,13024
13,25,179,26,14.53,138,77.09,15,8.38,13025
13,26,181,29,16.02,125,69.06,27,14.92,13026
13,27,223,31,13.9,162,72.65,30,13.45,13027
13,28,179,22,12.29,139,77.65,18,10.06,13028
13,29,213,32,15.02,155,72.77,26,12.21,13029
13,30,198,38,19.19,127,64.14,33,16.67,13030
13,31,198,27,13.64,138,69.7,33,16.67,13031
13,32,165,44,26.67,84,50.91,37,22.42,13032
13,33,183,30,16.39,133,72.68,20,10.93,13033
13,34,218,30,13.76,165,75.69,23,10.55,13034
13,35,250,27,10.8,201,80.4,22,8.8,13035
13,36,149,20,13.42,111,74.5,18,12.08,13036
13,37,166,24,14.46,115,69.28,27,16.27,13037
13,38,97,14,14.43,72,74.23,11,11.34,13038
13,39,194,27,13.92,146,75.26,21,10.82,13039
13,40,168,28,16.67,117,69.64,23,13.69,13040
13,41,175,31,17.71,128,73.14,16,9.14,13041
13,42,290,46,15.86,219,75.52,25,8.62,13042
13,43,234,34,14.53,183,78.21,17,7.26,13043
13,44,132,23,17.42,75,56.82,34,25.76,13044
13,45,196,27,13.78,142,72.45,27,13.78,13045
13,46,236,36,15.25,179,75.85,21,8.9,13046
13,47,168,20,11.9,135,80.36,13,7.74,13047
13,48,171,33,19.3,108,63.16,30,17.54,13048
13,49,141,20,14.18,109,77.3,12,8.51,13049
13,50,308,21,6.82,274,88.96,13,4.22,13050
13,51,202,34,16.83,135,66.83,33,16.34,13051
13,52,247,42,17.0,170,68.83,35,14.17,13052
13,53,238,46,19.33,147,61.76,45,18.91,13053
13,54,271,38,14.02,211,77.86,22,8.12,13054
13,55,248,34,13.71,176,70.97,38,15.32,13055
13,56,310,28,9.03,262,84.52,20,6.45,13056
13,57,238,37,15.55,184,77.31,17,7.14,13057
13,58,306,23,7.52,258,84.31,25,8.17,13058
13,59,162,22,13.58,116,71.6,24,14.81,13059
13,60,328,23,7.01,289,88.11,16,4.88,13060
13,61,317,49,15.46,249,78.55,19,5.99,13061
13,62,265,34,12.83,205,77.36,26,9.81,13062
13,63,253,36,14.23,199,78.66,18,7.11,13063
14,1,143,13,9.09,109,76.22,21,14.69,14001
14,2,126,24,19.05,84,66.67,18,14.29,14002
14,3,184,27,14.67,137,74.46,20,10.87,14003
14,4,120,19,15.83,79,65.83,22,18.33,14004
14,5,184,22,11.96,145,78.8,17,9.24,14005
14,6,133,26,19.55,82,61.65,25,18.8,14006
14,7,144,18,12.5,106,73.61,20,13.89,14007
14,8,139,27,19.42,83,59.71,29,20.86,14008
14,9,143,22,15.38,85,59.44,36,25.17,14009
14,10,82,24,29.27,43,52.44,15,18.29,14010
14,11,142,21,14.79,93,65.49,28,19.72,14011
14,12,99,13,13.13,77,77.78,9,9.09,14012
14,13,169,29,17.16,113,66.86,27,15.98,14013
14,14,86,25,29.07,44,51.16,17,19.77,14014
14,15,71,19,26.76,38,53.52,14,19.72,14015
14,16,124,24,19.35,68,54.84,32,25.81,14016
14,17,112,23,20.54,65,58.04,24,21.43,14017
14,18,120,15,12.5,81,67.5,24,20.0,14018
14,19,225,27,12.0,177,78.67,21,9.33,14019
14,20,117,31,26.5,56,47.86,30,25.64,14020
14,21,222,40,18.02,145,65.32,37,16.67,14021
14,22,157,20,12.74,118,75.16,19,12.1,14022
14,23,122,19,15.57,88,72.13,15,12.3,14023
14,24,133,23,17.29,89,66.92,21,15.79,14024
14,25,138,33,23.91,75,54.35,30,21.74,14025
14,26,117,15,12.82,76,64.96,26,22.22,14026
14,27,234,36,15.38,172,73.5,26,11.11,14027
14,28,115,21,18.26,68,59.13,26,22.61,14028
14,29,180,29,16.11,120,66.67,31,17.22,14029
14,30,123,16,13.01,80,65.04,27,21.95,14030
14,31,128,10,7.81,103,80.47,15,11.72,14031
14,32,172,26,15.12,115,66.86,31,18.02,14032
14,33,121,17,14.05,92,76.03,12,9.92,14033
14,34,134,9,6.72,116,86.57,9,6.72,14034
14,35,72,14,19.44,41,56.94,17,23.61,14035
14,36,156,35,22.44,93,59.62,28,17.95,14036
14,37,145,18,12.41,107,73.79,20,13.79,14037
14,38,116,25,21.55,70,60.34,21,18.1,14038
14,39,140,14,10.0,98,70.0,28,20.0,14039
14,40,112,8,7.14,84,75.0,20,17.86,14040
14,41,194,17,8.76,156,80.41,21,10.82,14041
14,42,94,20,21.28,51,54.26,23,24.47,14042
14,43,162,42,25.93,99,61.11,21,12.96,14043
14,44,171,24,14.04,114,66.67,33,19.3,14044
14,45,147,23,15.65,93,63.27,31,21.09,14045
14,46,209,19,9.09,159,76.08,31,14.83,14046
14,47,215,34,15.81,154,71.63,27,12.56,14047
14,48,100,38,38.0,39,39.0,23,23.0,14048
15,1,146,50,34.25,56,38.36,40,27.4,15001
15,2,162,59,36.42,51,31.48,52,32.1,15002
15,3,148,49,33.11,61,41.22,38,25.68,15003
15,4,96,34,35.42,31,32.29,31,32.29,15004
15,5,122,38,31.15,44,36.07,40,32.79,15005
15,6,120,38,31.67,51,42.5,31,25.83,15006
15,7,133,49,36.84,40,30.08,44,33.08,15007
15,8,112,45,40.18,44,39.29,23,20.54,15008
15,9,96,27,28.13,49,51.04,20,20.83,15009
15,10,183,59,32.24,78,42.62,46,25.14,15010
15,11,138,45,32.61,44,31.88,49,35.51,15011
15,12,97,25,25.77,53,54.64,19,19.59,15012
15,13,86,32,37.21,32,37.21,22,25.58,15013
15,14,79,27,34.18,24,30.38,28,35.44,15014
15,15,103,42,40.78,32,31.07,29,28.16,15015
15,16,201,79,39.3,57,28.36,65,32.34,15016
15,17,155,58,37.42,54,34.84,43,27.74,15017
15,18,140,56,40.0,47,33.57,37,26.43,15018
15,19,131,53,40.46,38,29.01,40,30.53,15019
15,20,96,33,34.38,31,32.29,32,33.33,15020
15,21,170,66,38.82,61,35.88,43,25.29,15021
15,22,114,35,30.7,44,38.6,35,30.7,15022
15,23,107,34,31.78,38,35.51,35,32.71,15023
15,24,125,40,32.0,52,41.6,33,26.4,15024
15,25,141,53,37.59,44,31.21,44,31.21,15025
15,26,127,56,44.09,22,17.32,49,38.58,15026
15,27,157,42,26.75,66,42.04,49,31.21,15027
15,28,231,80,34.63,74,32.03,77,33.33,15028
15,29,102,32,31.37,35,34.31,35,34.31,15029
15,30,91,42,46.15,24,26.37,25,27.47,15030
15,31,115,38,33.04,50,43.48,27,23.48,15031
15,32,123,34,27.64,55,44.72,34,27.64,15032
15,33,118,43,36.44,44,37.29,31,26.27,15033
15,34,81,35,43.21,16,19.75,30,37.04,15034
15,35,163,67,41.1,57,34.97,39,23.93,15035
15,36,135,43,31.85,50,37.04,42,31.11,15036
15,37,141,55,39.01,43,30.5,43,30.5,15037
15,38,114,33,28.95,42,36.84,39,34.21,15038
15,39,118,49,41.53,41,34.75,28,23.73,15039
15,40,119,45,37.82,38,31.93,36,30.25,15040
15,41,128,27,21.09,59,46.09,42,32.81,15041
15,42,97,40,41.24,25,25.77,32,32.99,15042
15,43,113,44,38.94,37,32.74,32,28.32,15043
15,44,107,34,31.78,42,39.25,31,28.97,15044
15,45,147,30,20.41,71,48.3,46,31.29,15045
15,46,111,44,39.64,37,33.33,30,27.03,15046
15,47,143,46,32.17,49,34.27,48,33.57,15047
15,48,113,36,31.86,45,39.82,32,28.32,15048
15,49,50,14,28.0,21,42.0,15,30.0,15049
15,50,118,38,32.2,43,36.44,37,31.36,15050
16,1,79,29,36.71,32,40.51,18,22.78,16001
16,2,110,40,36.36,33,30.0,37,33.64,16002
16,3,131,49,37.4,36,27.48,46,35.11,16003
16,4,38,13,34.21,11,28.95,14,36.84,16004
16,5,120,50,41.67,37,30.83,33,27.5,16005
16,6,104,39,37.5,27,25.96,38,36.54,16006
16,7,95,32,33.68,36,37.89,27,28.42,16007
16,8,129,43,33.33,53,41.09,33,25.58,16008
16,9,184,54,29.35,71,38.59,59,32.07,16009
16,10,144,55,38.19,58,40.28,31,21.53,16010
16,11,115,43,37.39,40,34.78,32,27.83,16011
16,12,89,36,40.45,26,29.21,27,30.34,16012
16,13,82,23,28.05,38,46.34,21,25.61,16013
16,14,114,47,41.23,36,31.58,31,27.19,16014
16,15,108,42,38.89,36,33.33,30,27.78,16015
16,16,48,10,20.83,20,41.67,18,37.5,16016
16,17,33,12,36.36,10,30.3,11,33.33,16017
16,18,72,22,30.56,24,33.33,26,36.11,16018
16,19,95,27,28.42,31,32.63,37,38.95,16019
16,20,125,48,38.4,38,30.4,39,31.2,16020
16,21,109,25,22.94,48,44.04,36,33.03,16021
16,22,97,45,46.39,27,27.84,25,25.77,16022
16,23,108,33,30.56,48,44.44,27,25.0,16023
16,24,96,39,40.63,29,30.21,28,29.17,16024
16,25,88,24,27.27,49,55.68,15,17.05,16025
16,26,129,44,34.11,49,37.98,36,27.91,16026
16,27,95,36,37.89,26,27.37,33,34.74,16027
16,28,125,52,41.6,35,28.0,38,30.4,16028
16,29,89,34,38.2,29,32.58,26,29.21,16029
16,30,144,53,36.81,47,32.64,44,30.56,16030
16,31,118,37,31.36,35,29.66,46,38.98,16031
16,32,39,16,41.03,9,23.08,14,35.9,16032
16,33,97,39,40.21,29,29.9,29,29.9,16033
16,34,81,28,34.57,30,37.04,23,28.4,16034
16,35,84,28,33.33,38,45.24,18,21.43,16035
16,36,122,37,30.33,47,38.52,38,31.15,16036
16,37,89,33,37.08,32,35.96,24,26.97,16037
16,38,175,60,34.29,67,38.29,48,27.43,16038
16,39,113,38,33.63,41,36.28,34,30.09,16039
16,40,164,53,32.32,59,35.98,52,31.71,16040
16,41,71,13,18.31,28,39.44,30,42.25,16041
16,42,136,36,26.47,64,47.06,36,26.47,16042
17,1,70,24,34.29,30,42.86,16,22.86,17001
17,2,143,45,31.47,50,34.97,48,33.57,17002
17,3,101,35,34.65,40,39.6,26,25.74,17003
17,4,182,64,35.16,53,29.12,65,35.71,17004
17,5,136,60,44.12,39,28.68,37,27.21,17005
17,6,101,37,36.63,31,30.69,33,32.67,17006
17,7,145,56,38.62,53,36.55,36,24.83,17007
17,8,77,34,44.16,22,28.57,21,27.27,17008
17,9,116,42,36.21,37,31.9,37,31.9,17009
17,10,178,71,39.89,42,23.6,65,36.52,17010
17,11,140,45,32.14,50,35.71,45,32.14,17011
17,12,152,62,40.79,36,23.68,54,35.53,17012
17,13,105,46,43.81,27,25.71,32,30.48,17013
17,14,132,52,39.39,42,31.82,38,28.79,17014
17,15,152,52,34.21,50,32.89,50,32.89,17015
17,16,136,39,28.68,45,33.09,52,38.24,17016
17,17,97,34,35.05,28,28.87,35,36.08,17017
17,18,140,52,37.14,54,38.57,34,24.29,17018
17,19,88,19,21.59,33,37.5,36,40.91,17019
17,20,125,44,35.2,40,32.0,41,32.8,17020
17,21,206,81,39.32,61,29.61,64,31.07,17021
17,22,166,58,34.94,58,34.94,50,30.12,17022
17,23,95,36,37.89,34,35.79,25,26.32,17023
17,24,139,57,41.01,55,39.57,27,19.42,17024
17,25,80,26,32.5,21,26.25,33,41.25,17025
17,26,186,94,50.54,56,30.11,36,19.35,17026
17,27,164,64,39.02,56,34.15,44,26.83,17027
17,28,115,40,34.78,41,35.65,34,29.57,17028
17,29,190,67,35.26,82,43.16,41,21.58,17029
17,30,164,62,37.8,53,32.32,49,29.88,17030
17,31,102,51,50.0,23,22.55,28,27.45,17031
17,32,152,61,40.13,50,32.89,41,26.97,17032
17,33,166,67,40.36,57,34.34,42,25.3,17033
17,34,123,50,40.65,45,36.59,28,22.76,17034
17,35,83,35,42.17,22,26.51,26,31.33,17035
17,36,83,35,42.17,16,19.28,32,38.55,17036
17,37,134,52,38.81,35,26.12,47,35.07,17037
17,38,145,54,37.24,51,35.17,40,27.59,17038
17,39,97,37,38.14,42,43.3,18,18.56,17039
17,40,123,43,34.96,42,34.15,38,30.89,17040
17,41,120,45,37.5,40,33.33,35,29.17,17041
17,42,73,33,45.21,21,28.77,19,26.03,17042
17,43,101,38,37.62,34,33.66,29,28.71,17043
17,44,110,44,40.0,35,31.82,31,28.18,17044
17,45,83,34,40.96,30,36.14,19,22.89,17045
17,46,161,60,37.27,42,26.09,59,36.65,17046
17,47,79,34,43.04,29,36.71,16,20.25,17047
17,48,79,32,40.51,21,26.58,26,32.91,17048
17,49,99,32,32.32,38,38.38,29,29.29,17049
17,50,130,46,35.38,35,26.92,49,37.69,17050
17,51,154,58,37.66,55,35.71,41,26.62,17051
17,52,205,71,34.63,73,35.61,61,29.76,17052
17,53,153,49,32.03,65,42.48,39,25.49,17053
17,54,147,44,29.93,49,33.33,54,36.73,17054
17,55,126,46,36.51,33,26.19,47,37.3,17055
18,1,192,54,28.13,95,49.48,43,22.4,18001
18,2,194,67,34.54,71,36.6,56,28.87,18002
18,3,162,61,37.65,54,33.33,47,29.01,18003
18,4,283,82,28.98,115,40.64,86,30.39,18004
18,5,154,64,41.56,46,29.87,44,28.57,18005
18,6,179,60,33.52,67,37.43,52,29.05,18006
18,7,89,28,31.46,40,44.94,21,23.6,18007
18,8,163,44,26.99,67,41.1,52,31.9,18008
18,9,199,79,39.7,69,34.67,51,25.63,18009
18,10,300,101,33.67,106,35.33,93,31.0,18010
18,11,140,34,24.29,82,58.57,24,17.14,18011
18,12,173,66,38.15,64,36.99,43,24.86,18012
18,13,168,54,32.14,65,38.69,49,29.17,18013
18,14,261,98,37.55,81,31.03,82,31.42,18014
18,15,123,43,34.96,44,35.77,36,29.27,18015
18,16,175,59,33.71,58,33.14,58,33.14,18016
18,17,207,54,26.09,111,53.62,42,20.29,18017
18,18,268,100,37.31,88,32.84,80,29.85,18018
18,19,101,40,39.6,32,31.68,29,28.71,18019
18,20,172,60,34.88,61,35.47,51,29.65,18020
18,21,226,51,22.57,115,50.88,60,26.55,18021
18,22,192,71,36.98,62,32.29,59,30.73,18022
18,23,141,50,35.46,47,33.33,44,31.21,18023
18,24,222,75,33.78,66,29.73,81,36.49,18024
18,25,182,62,34.07,54,29.67,66,36.26,18025
18,26,220,90,40.91,52,23.64,78,35.45,18026
18,27,172,69,40.12,56,32.56,47,27.33,18027
18,28,154,66,42.86,49,31.82,39,25.32,18028
18,29,137,37,27.01,68,49.64,32,23.36,18029
18,30,233,77,33.05,78,33.48,78,33.48,18030
18,31,143,42,29.37,62,43.36,39,27.27,18031
18,32,203,65,32.02,68,33.5,70,34.48,18032
18,33,152,45,29.61,73,48.03,34,22.37,18033
18,34,292,91,31.16,94,32.19,107,36.64,18034
18,35,227,70,30.84,84,37.0,73,32.16,18035
18,36,100,24,24.0,60,60.0,16,16.0,18036
18,37,121,41,33.88,42,34.71,38,31.4,18037
18,38,211,97,45.97,54,25.59,60,28.44,18038
18,39,179,60,33.52,57,31.84,62,34.64,18039
18,40,216,75,34.72,71,32.87,70,32.41,18040
18,41,156,49,31.41,50,32.05,57,36.54,18041
18,42,150,51,34.0,52,34.67,47,31.33,18042
18,43,126,45,35.71,32,25.4,49,38.89,18043
18,44,195,72,36.92,69,35.38,54,27.69,18044
18,45,195,71,36.41,56,28.72,68,34.87,18045
18,46,165,58,35.15,43,26.06,64,38.79,18046
18,47,223,76,34.08,77,34.53,70,31.39,18047
18,48,112,32,28.57,44,39.29,36,32.14,18048
18,49,105,23,21.9,64,60.95,18,17.14,18049
18,50,163,58,35.58,49,30.06,56,34.36,18050
18,51,162,69,42.59,39,24.07,54,33.33,18051
18,52,154,54,35.06,44,28.57,56,36.36,18052
18,53,189,69,36.51,48,25.4,72,38.1,18053
18,54,215,83,38.6,71,33.02,61,28.37,18054
18,55,214,73,34.11,68,31.78,73,34.11,18055
18,56,180,70,38.89,45,25.0,65,36.11,18056
18,57,210,71,33.81,74,35.24,65,30.95,18057
18,58,133,54,40.6,36,27.07,43,32.33,18058
18,59,171,64,37.43,55,32.16,52,30.41,18059
18,60,142,51,35.92,55,38.73,36,25.35,18060
18,61,171,51,29.82,66,38.6,54,31.58,18061
18,62,151,40,26.49,57,37.75,54,35.76,18062
18,63,77,28,36.36,29,37.66,20,25.97,18063
19,1,322,26,8.07,282,87.58,14,4.35,19001
19,2,220,46,20.91,131,59.55,43,19.55,19002
19,3,219,37,16.89,172,78.54,10,4.57,19003
19,4,233,50,21.46,165,70.82,18,7.73,19004
19,5,235,41,17.45,149,63.4,45,19.15,19005
19,6,243,24,9.88,203,83.54,16,6.58,19006
19,7,261,40,15.33,203,77.78,18,6.9,19007
19,8,182,29,15.93,149,81.87,4,2.2,19008
19,9,197,43,21.83,137,69.54,17,8.63,19009
19,10,321,42,13.08,224,69.78,55,17.13,19010
19,11,260,43,16.54,197,75.77,20,7.69,19011
19,12,230,39,16.96,181,78.7,10,4.35,19012
19,13,197,57,28.93,78,39.59,62,31.47,19013
19,14,159,22,13.84,129,81.13,8,5.03,19014
19,15,119,23,19.33,80,67.23,16,13.45,19015
19,16,322,36,11.18,266,82.61,20,6.21,19016
19,17,253,32,12.65,208,82.21,13,5.14,19017
19,18,287,35,12.2,221,77.0,31,10.8,19018
19,19,282,46,16.31,203,71.99,33,11.7,19019
19,20,209,51,24.4,101,48.33,57,27.27,19020
19,21,202,27,13.37,158,78.22,17,8.42,19021
19,22,282,41,14.54,199,70.57,42,14.89,19022
19,23,343,30,8.75,296,86.3,17,4.96,19023
19,24,213,31,14.55,167,78.4,15,7.04,19024
19,25,269,34,12.64,201,74.72,34,12.64,19025
19,26,251,30,11.95,201,80.08,20,7.97,19026
19,27,138,32,23.19,67,48.55,39,28.26,19027
19,28,303,75,24.75,129,42.57,99,32.67,19028
19,29,201,33,16.42,151,75.12,17,8.46,19029
19,30,217,27,12.44,173,79.72,17,7.83,19030
19,31,211,35,16.59,148,70.14,28,13.27,19031
19,32,309,37,11.97,243,78.64,29,9.39,19032
19,33,249,42,16.87,189,75.9,18,7.23,19033
19,34,239,24,10.04,194,81.17,21,8.79,19034
19,35,245,29,11.84,180,73.47,36,14.69,19035
19,36,207,46,22.22,102,49.28,59,28.5,19036
19,37,216,31,14.35,145,67.13,40,18.52,19037
19,38,274,56,20.44,144,52.55,74,27.01,19038
19,39,145,44,30.34,55,37.93,46,31.72,19039
19,40,249,41,16.47,177,71.08,31,12.45,19040
19,41,241,31,12.86,195,80.91,15,6.22,19041
19,42,176,32,18.18,90,51.14,54,30.68,19042
19,43,222,68,30.63,94,42.34,60,27.03,19043
19,44,199,32,16.08,154,77.39,13,6.53,19044
19,45,326,30,9.2,270,82.82,26,7.98,19045
19,46,368,32,8.7,322,87.5,14,3.8,19046
19,47,179,34,18.99,112,62.57,33,18.44,19047
19,48,257,77,29.96,108,42.02,72,28.02,19048
19,49,273,62,22.71,139,50.92,72,26.37,19049
19,50,205,75,36.59,90,43.9,40,19.51,19050
19,51,217,25,11.52,178,82.03,14,6.45,19051
19,52,184,32,17.39,132,71.74,20,10.87,19052
19,53,275,21,7.64,238,86.55,16,5.82,19053
19,54,172,29,16.86,129,75.0,14,8.14,19054
19,55,213,36,16.9,161,75.59,16,7.51,19055
19,56,265,48,18.11,161,60.75,56,21.13,19056
19,57,268,35,13.06,189,70.52,44,16.42,19057
19,58,238,46,19.33,178,74.79,14,5.88,19058
19,59,278,46,16.55,218,78.42,14,5.04,19059
19,60,212,54,25.47,95,44.81,63,29.72,19060
19,61,374,32,8.56,328,87.7,14,3.74,19061
19,62,251,36,14.34,198,78.88,17,6.77,19062
19,63,156,33,21.15,81,51.92,42,26.92,19063
19,64,360,80,22.22,213,59.17,67,18.61,19064
19,65,200,43,21.5,110,55.0,47,23.5,19065
20,1,134,49,36.57,47,35.07,38,28.36,20001
20,2,119,34,28.57,24,20.17,61,51.26,20002
20,3,164,70,42.68,52,31.71,42,25.61,20003
20,4,136,47,34.56,49,36.03,40,29.41,20004
20,5,104,31,29.81,28,26.92,45,43.27,20005
20,6,141,36,25.53,47,33.33,58,41.13,20006
20,7,75,31,41.33,25,33.33,19,25.33,20007
