ward,precinct,total,WILLIAM MAROVITZ,WILLIAM MAROVITZ Percent,precinct_id
49,3,132,132,100.0,49003
49,4,89,89,100.0,49004
49,5,129,129,100.0,49005
49,6,104,104,100.0,49006
49,7,81,81,100.0,49007
49,8,109,109,100.0,49008
49,9,109,109,100.0,49009
49,10,170,170,100.0,49010
49,11,130,130,100.0,49011
49,12,83,83,100.0,49012
49,13,133,133,100.0,49013
49,14,102,102,100.0,49014
49,15,120,120,100.0,49015
49,16,110,110,100.0,49016
49,17,34,34,100.0,49017
49,18,91,91,100.0,49018
49,19,94,94,100.0,49019
49,20,147,147,100.0,49020
49,21,65,65,100.0,49021
49,22,141,141,100.0,49022
49,23,105,105,100.0,49023
49,24,136,136,100.0,49024
49,25,95,95,100.0,49025
49,26,171,171,100.0,49026
49,27,114,114,100.0,49027
49,28,124,124,100.0,49028
49,29,74,74,100.0,49029
49,30,83,83,100.0,49030
49,31,117,117,100.0,49031
49,32,101,101,100.0,49032
49,33,83,83,100.0,49033
49,34,77,77,100.0,49034
49,35,106,106,100.0,49035
49,36,78,78,100.0,49036
49,37,84,84,100.0,49037
50,1,112,112,100.0,50001
50,2,138,138,100.0,50002
50,3,113,113,100.0,50003
50,4,162,162,100.0,50004
50,5,164,164,100.0,50005
50,6,103,103,100.0,50006
50,7,181,181,100.0,50007
50,8,146,146,100.0,50008
50,9,114,114,100.0,50009
50,10,142,142,100.0,50010
50,11,144,144,100.0,50011
50,12,139,139,100.0,50012
50,13,102,102,100.0,50013
50,14,108,108,100.0,50014
50,15,162,162,100.0,50015
50,16,111,111,100.0,50016
50,17,114,114,100.0,50017
50,18,127,127,100.0,50018
50,19,115,115,100.0,50019
50,20,107,107,100.0,50020
50,21,154,154,100.0,50021
50,22,107,107,100.0,50022
50,23,94,94,100.0,50023
50,24,104,104,100.0,50024
50,25,145,145,100.0,50025
50,26,72,72,100.0,50026
50,27,80,80,100.0,50027
50,28,107,107,100.0,50028
50,29,125,125,100.0,50029
50,30,147,147,100.0,50030
50,31,94,94,100.0,50031
50,32,86,86,100.0,50032
50,33,82,82,100.0,50033
50,34,94,94,100.0,50034
50,35,151,151,100.0,50035
50,36,127,127,100.0,50036
50,37,169,169,100.0,50037
50,38,140,140,100.0,50038
50,39,124,124,100.0,50039
50,40,144,144,100.0,50040
50,41,194,194,100.0,50041
50,42,214,214,100.0,50042
50,43,163,163,100.0,50043
50,44,151,151,100.0,50044
50,45,156,156,100.0,50045
50,46,102,102,100.0,50046
