ward,precinct,total,WILLIAM MAROVITZ,WILLIAM MAROVITZ Percent,precinct_id
40,3,89,89,100.0,40003
40,4,139,139,100.0,40004
40,7,94,94,100.0,40007
40,8,143,143,100.0,40008
40,9,76,76,100.0,40009
40,11,94,94,100.0,40011
40,12,106,106,100.0,40012
40,13,99,99,100.0,40013
40,16,85,85,100.0,40016
40,18,107,107,100.0,40018
40,22,75,75,100.0,40022
40,26,128,128,100.0,40026
40,27,184,184,100.0,40027
40,28,112,112,100.0,40028
40,33,109,109,100.0,40033
40,35,140,140,100.0,40035
40,37,143,143,100.0,40037
40,39,86,86,100.0,40039
40,41,111,111,100.0,40041
40,42,156,156,100.0,40042
40,43,114,114,100.0,40043
40,46,137,137,100.0,40046
40,47,120,120,100.0,40047
41,1,125,125,100.0,41001
41,2,181,181,100.0,41002
41,4,150,150,100.0,41004
41,5,119,119,100.0,41005
41,6,126,126,100.0,41006
41,7,204,204,100.0,41007
41,8,142,142,100.0,41008
41,11,106,106,100.0,41011
41,13,125,125,100.0,41013
41,15,91,91,100.0,41015
41,17,165,165,100.0,41017
41,18,113,113,100.0,41018
41,20,196,196,100.0,41020
41,25,74,74,100.0,41025
41,26,74,74,100.0,41026
41,27,66,66,100.0,41027
41,28,65,65,100.0,41028
41,29,39,39,100.0,41029
41,31,155,155,100.0,41031
41,32,107,107,100.0,41032
41,33,149,149,100.0,41033
41,34,123,123,100.0,41034
41,36,131,131,100.0,41036
41,37,145,145,100.0,41037
41,38,87,87,100.0,41038
41,39,141,141,100.0,41039
41,40,125,125,100.0,41040
41,41,115,115,100.0,41041
41,42,133,133,100.0,41042
41,44,125,125,100.0,41044
41,45,118,118,100.0,41045
41,48,96,96,100.0,41048
41,49,132,132,100.0,41049
41,52,158,158,100.0,41052
41,53,129,129,100.0,41053
41,55,112,112,100.0,41055
41,56,164,164,100.0,41056
41,58,102,102,100.0,41058
41,60,106,106,100.0,41060
41,61,208,208,100.0,41061
41,63,131,131,100.0,41063
41,64,135,135,100.0,41064
44,1,2,2,100.0,44001
44,3,190,190,100.0,44003
44,4,163,163,100.0,44004
44,7,142,142,100.0,44007
44,8,52,52,100.0,44008
44,18,0,0,0.0,44018
44,35,110,110,100.0,44035
44,48,110,110,100.0,44048
44,49,103,103,100.0,44049
46,1,261,261,100.0,46001
46,2,91,91,100.0,46002
46,4,107,107,100.0,46004
46,6,88,88,100.0,46006
46,7,183,183,100.0,46007
46,8,121,121,100.0,46008
46,9,109,109,100.0,46009
46,10,88,88,100.0,46010
46,11,160,160,100.0,46011
46,12,129,129,100.0,46012
46,14,76,76,100.0,46014
46,15,120,120,100.0,46015
46,16,181,181,100.0,46016
46,17,0,0,0.0,46017
46,19,133,133,100.0,46019
46,20,119,119,100.0,46020
46,21,38,38,100.0,46021
46,22,89,89,100.0,46022
46,23,101,101,100.0,46023
46,25,92,92,100.0,46025
46,26,105,105,100.0,46026
46,27,134,134,100.0,46027
46,28,115,115,100.0,46028
46,30,165,165,100.0,46030
46,32,161,161,100.0,46032
46,33,144,144,100.0,46033
46,34,149,149,100.0,46034
46,35,147,147,100.0,46035
46,38,91,91,100.0,46038
46,39,154,154,100.0,46039
48,1,159,159,100.0,48001
48,2,127,127,100.0,48002
48,3,142,142,100.0,48003
48,4,149,149,100.0,48004
48,5,138,138,100.0,48005
48,6,170,170,100.0,48006
48,7,150,150,100.0,48007
48,8,114,114,100.0,48008
48,9,129,129,100.0,48009
48,10,85,85,100.0,48010
48,11,182,182,100.0,48011
48,12,93,93,100.0,48012
48,13,114,114,100.0,48013
48,14,190,190,100.0,48014
48,15,87,87,100.0,48015
48,16,93,93,100.0,48016
48,17,102,102,100.0,48017
48,18,82,82,100.0,48018
48,19,154,154,100.0,48019
48,20,115,115,100.0,48020
48,21,176,176,100.0,48021
48,22,213,213,100.0,48022
48,23,124,124,100.0,48023
48,24,125,125,100.0,48024
48,25,119,119,100.0,48025
48,26,139,139,100.0,48026
48,27,91,91,100.0,48027
48,28,128,128,100.0,48028
48,29,157,157,100.0,48029
48,30,95,95,100.0,48030
48,31,113,113,100.0,48031
48,32,113,113,100.0,48032
48,33,123,123,100.0,48033
48,34,146,146,100.0,48034
48,35,136,136,100.0,48035
48,36,115,115,100.0,48036
48,37,116,116,100.0,48037
48,38,160,160,100.0,48038
48,39,117,117,100.0,48039
48,40,123,123,100.0,48040
48,41,68,68,100.0,48041
48,42,147,147,100.0,48042
48,43,99,99,100.0,48043
48,44,113,113,100.0,48044
48,45,103,103,100.0,48045
48,46,78,78,100.0,48046
48,47,87,87,100.0,48047
48,48,85,85,100.0,48048
49,1,115,115,100.0,49001
49,2,158,158,100.0,49002
