ward,precinct,total,BARACK OBAMA,BARACK OBAMA Percent,precinct_id
2,2,233,233,100.0,02002
2,3,0,0,0.0,02003
2,7,211,211,100.0,02007
2,8,165,165,100.0,02008
2,12,172,172,100.0,02012
2,13,209,209,100.0,02013
2,18,170,170,100.0,02018
2,20,128,128,100.0,02020
2,21,126,126,100.0,02021
2,24,17,17,100.0,02024
2,26,83,83,100.0,02026
2,29,61,61,100.0,02029
2,31,60,60,100.0,02031
2,33,240,240,100.0,02033
2,37,3,3,100.0,02037
2,40,100,100,100.0,02040
2,44,154,154,100.0,02044
2,45,65,65,100.0,02045
2,46,292,292,100.0,02046
2,47,100,100,100.0,02047
2,48,190,190,100.0,02048
2,52,72,72,100.0,02052
2,55,1,1,100.0,02055
3,2,228,228,100.0,03002
3,9,56,56,100.0,03009
3,11,21,21,100.0,03011
3,16,205,205,100.0,03016
3,28,117,117,100.0,03028
3,30,131,131,100.0,03030
3,31,142,142,100.0,03031
3,32,46,46,100.0,03032
3,34,47,47,100.0,03034
3,38,154,154,100.0,03038
3,39,216,216,100.0,03039
4,1,183,183,100.0,04001
4,2,39,39,100.0,04002
4,3,243,243,100.0,04003
4,4,219,219,100.0,04004
4,5,199,199,100.0,04005
4,6,0,0,0.0,04006
4,7,140,140,100.0,04007
4,8,120,120,100.0,04008
4,9,409,409,100.0,04009
4,10,312,312,100.0,04010
4,11,180,180,100.0,04011
4,12,134,134,100.0,04012
4,13,265,265,100.0,04013
4,14,96,96,100.0,04014
4,15,79,79,100.0,04015
4,16,186,186,100.0,04016
4,17,234,234,100.0,04017
4,18,139,139,100.0,04018
4,19,33,33,100.0,04019
4,20,59,59,100.0,04020
4,21,223,223,100.0,04021
4,22,263,263,100.0,04022
4,23,162,162,100.0,04023
4,24,204,204,100.0,04024
4,25,226,226,100.0,04025
4,26,161,161,100.0,04026
4,27,186,186,100.0,04027
4,28,179,179,100.0,04028
4,29,173,173,100.0,04029
4,30,38,38,100.0,04030
4,31,46,46,100.0,04031
4,32,222,222,100.0,04032
4,33,66,66,100.0,04033
4,34,158,158,100.0,04034
4,35,89,89,100.0,04035
4,36,198,198,100.0,04036
4,37,87,87,100.0,04037
4,38,288,288,100.0,04038
4,39,91,91,100.0,04039
4,40,147,147,100.0,04040
4,41,146,146,100.0,04041
4,42,132,132,100.0,04042
4,43,124,124,100.0,04043
4,44,119,119,100.0,04044
4,45,383,383,100.0,04045
4,46,195,195,100.0,04046
4,47,248,248,100.0,04047
4,48,276,276,100.0,04048
4,49,45,45,100.0,04049
4,50,152,152,100.0,04050
4,51,237,237,100.0,04051
4,52,38,38,100.0,04052
4,53,21,21,100.0,04053
4,54,99,99,100.0,04054
4,55,116,116,100.0,04055
5,1,204,204,100.0,05001
5,2,0,0,0.0,05002
5,3,154,154,100.0,05003
5,4,61,61,100.0,05004
5,5,139,139,100.0,05005
5,6,0,0,0.0,05006
5,7,186,186,100.0,05007
5,8,218,218,100.0,05008
5,9,195,195,100.0,05009
5,10,125,125,100.0,05010
5,11,83,83,100.0,05011
5,13,157,157,100.0,05013
5,14,165,165,100.0,05014
5,16,140,140,100.0,05016
5,17,120,120,100.0,05017
5,18,123,123,100.0,05018
5,19,69,69,100.0,05019
5,20,74,74,100.0,05020
5,21,271,271,100.0,05021
5,23,133,133,100.0,05023
5,24,185,185,100.0,05024
5,25,143,143,100.0,05025
5,26,116,116,100.0,05026
5,27,50,50,100.0,05027
5,28,233,233,100.0,05028
5,29,145,145,100.0,05029
5,30,148,148,100.0,05030
5,31,172,172,100.0,05031
5,32,306,306,100.0,05032
5,33,192,192,100.0,05033
5,34,105,105,100.0,05034
5,35,151,151,100.0,05035
5,36,196,196,100.0,05036
5,37,121,121,100.0,05037
5,38,221,221,100.0,05038
5,39,173,173,100.0,05039
5,40,144,144,100.0,05040
5,41,133,133,100.0,05041
5,42,151,151,100.0,05042
5,43,229,229,100.0,05043
5,44,187,187,100.0,05044
5,45,112,112,100.0,05045
