ward,precinct,total,JAMES A. DeLEO,JAMES A. DeLEO Percent,JOHN P. JOYCE,JOHN P. JOYCE Percent,precinct_id
43,11,6,2,33.33,4,66.67,43011
43,12,104,53,50.96,51,49.04,43012
43,14,67,30,44.78,37,55.22,43014
43,17,114,53,46.49,61,53.51,43017
43,19,93,34,36.56,59,63.44,43019
43,20,122,62,50.82,60,49.18,43020
43,21,3,2,66.67,1,33.33,43021
43,22,61,29,47.54,32,52.46,43022
43,27,69,34,49.28,35,50.72,43027
43,29,50,17,34.0,33,66.0,43029
43,31,97,41,42.27,56,57.73,43031
43,32,60,34,56.67,26,43.33,43032
43,33,51,26,50.98,25,49.02,43033
43,34,48,22,45.83,26,54.17,43034
43,35,98,41,41.84,57,58.16,43035
43,38,73,34,46.58,39,53.42,43038
43,39,75,33,44.0,42,56.0,43039
43,41,33,15,45.45,18,54.55,43041
43,43,76,42,55.26,34,44.74,43043
43,44,103,50,48.54,53,51.46,43044
43,45,71,38,53.52,33,46.48,43045
43,48,95,41,43.16,54,56.84,43048
43,50,76,38,50.0,38,50.0,43050
43,51,64,27,42.19,37,57.81,43051
43,53,100,49,49.0,51,51.0,43053
43,54,41,27,65.85,14,34.15,43054
43,56,68,33,48.53,35,51.47,43056
43,57,42,15,35.71,27,64.29,43057
43,58,78,44,56.41,34,43.59,43058
43,59,121,63,52.07,58,47.93,43059
43,60,72,32,44.44,40,55.56,43060
44,1,128,72,56.25,56,43.75,44001
44,2,77,46,59.74,31,40.26,44002
44,5,102,58,56.86,44,43.14,44005
44,6,91,42,46.15,49,53.85,44006
44,8,41,21,51.22,20,48.78,44008
44,9,125,60,48.0,65,52.0,44009
44,10,99,48,48.48,51,51.52,44010
44,11,102,54,52.94,48,47.06,44011
44,12,80,43,53.75,37,46.25,44012
44,13,123,62,50.41,61,49.59,44013
44,14,121,65,53.72,56,46.28,44014
44,15,128,66,51.56,62,48.44,44015
44,16,83,40,48.19,43,51.81,44016
44,17,138,78,56.52,60,43.48,44017
44,18,11,5,45.45,6,54.55,44018
44,19,70,42,60.0,28,40.0,44019
44,20,109,57,52.29,52,47.71,44020
44,21,104,50,48.08,54,51.92,44021
44,22,101,53,52.48,48,47.52,44022
44,23,96,50,52.08,46,47.92,44023
44,24,76,36,47.37,40,52.63,44024
44,25,118,58,49.15,60,50.85,44025
44,26,67,36,53.73,31,46.27,44026
44,27,108,45,41.67,63,58.33,44027
44,28,78,39,50.0,39,50.0,44028
44,29,97,45,46.39,52,53.61,44029
44,30,86,52,60.47,34,39.53,44030
44,31,131,68,51.91,63,48.09,44031
44,32,62,36,58.06,26,41.94,44032
44,33,123,61,49.59,62,50.41,44033
44,34,67,38,56.72,29,43.28,44034
44,36,103,53,51.46,50,48.54,44036
44,37,144,78,54.17,66,45.83,44037
44,38,125,68,54.4,57,45.6,44038
44,39,117,63,53.85,54,46.15,44039
44,40,107,55,51.4,52,48.6,44040
44,41,117,66,56.41,51,43.59,44041
44,42,98,61,62.24,37,37.76,44042
44,43,116,69,59.48,47,40.52,44043
44,44,156,97,62.18,59,37.82,44044
44,45,48,22,45.83,26,54.17,44045
44,46,66,34,51.52,32,48.48,44046
44,47,93,52,55.91,41,44.09,44047
44,50,102,39,38.24,63,61.76,44050
45,1,133,85,63.91,48,36.09,45001
45,2,171,110,64.33,61,35.67,45002
45,3,287,207,72.13,80,27.87,45003
45,4,153,62,40.52,91,59.48,45004
45,5,103,56,54.37,47,45.63,45005
45,6,149,102,68.46,47,31.54,45006
45,7,173,104,60.12,69,39.88,45007
45,8,151,93,61.59,58,38.41,45008
45,9,218,126,57.8,92,42.2,45009
45,10,210,122,58.1,88,41.9,45010
45,11,178,89,50.0,89,50.0,45011
45,12,175,89,50.86,86,49.14,45012
45,13,205,137,66.83,68,33.17,45013
45,14,216,95,43.98,121,56.02,45014
45,15,222,133,59.91,89,40.09,45015
45,16,196,135,68.88,61,31.12,45016
45,17,152,102,67.11,50,32.89,45017
45,18,169,109,64.5,60,35.5,45018
45,19,258,174,67.44,84,32.56,45019
45,20,179,103,57.54,76,42.46,45020
45,21,176,117,66.48,59,33.52,45021
45,22,136,82,60.29,54,39.71,45022
45,23,169,110,65.09,59,34.91,45023
45,24,220,127,57.73,93,42.27,45024
45,25,151,91,60.26,60,39.74,45025
45,26,178,132,74.16,46,25.84,45026
45,27,173,93,53.76,80,46.24,45027
45,28,203,148,72.91,55,27.09,45028
45,29,184,103,55.98,81,44.02,45029
45,30,207,122,58.94,85,41.06,45030
45,31,166,99,59.64,67,40.36,45031
45,32,142,92,64.79,50,35.21,45032
45,33,215,133,61.86,82,38.14,45033
45,34,157,95,60.51,62,39.49,45034
45,35,159,87,54.72,72,45.28,45035
45,36,206,109,52.91,97,47.09,45036
45,37,152,91,59.87,61,40.13,45037
45,38,254,173,68.11,81,31.89,45038
45,39,216,138,63.89,78,36.11,45039
45,40,203,145,71.43,58,28.57,45040
45,41,143,87,60.84,56,39.16,45041
45,42,197,127,64.47,70,35.53,45042
45,43,151,101,66.89,50,33.11,45043
45,44,215,125,58.14,90,41.86,45044
45,45,144,80,55.56,64,44.44,45045
45,46,192,127,66.15,65,33.85,45046
45,47,182,100,54.95,82,45.05,45047
45,48,144,94,65.28,50,34.72,45048
45,49,178,93,52.25,85,47.75,45049
45,50,139,85,61.15,54,38.85,45050
45,51,189,114,60.32,75,39.68,45051
45,52,164,81,49.39,83,50.61,45052
45,53,179,107,59.78,72,40.22,45053
45,54,202,106,52.48,96,47.52,45054
45,55,133,90,67.67,43,32.33,45055
45,56,138,85,61.59,53,38.41,45056
45,57,179,113,63.13,66,36.87,45057
45,58,100,66,66.0,34,34.0,45058
46,3,148,68,45.95,80,54.05,46003
46,5,80,32,40.0,48,60.0,46005
46,10,42,19,45.24,23,54.76,46010
46,13,139,63,45.32,76,54.68,46013
46,17,105,44,41.9,61,58.1,46017
46,18,156,80,51.28,76,48.72,46018
46,24,95,50,52.63,45,47.37,46024
46,29,122,64,52.46,58,47.54,46029
46,31,132,72,54.55,60,45.45,46031
46,36,167,86,51.5,81,48.5,46036
46,37,156,79,50.64,77,49.36,46037
47,1,90,46,51.11,44,48.89,47001
47,2,228,137,60.09,91,39.91,47002
47,3,147,94,63.95,53,36.05,47003
47,4,187,95,50.8,92,49.2,47004
47,5,124,59,47.58,65,52.42,47005
47,6,195,91,46.67,104,53.33,47006
47,7,141,70,49.65,71,50.35,47007
47,8,179,83,46.37,96,53.63,47008
47,9,183,130,71.04,53,28.96,47009
47,10,147,70,47.62,77,52.38,47010
47,11,229,128,55.9,101,44.1,47011
47,12,172,86,50.0,86,50.0,47012
47,13,260,151,58.08,109,41.92,47013
47,14,229,140,61.14,89,38.86,47014
47,15,119,54,45.38,65,54.62,47015
47,16,103,53,51.46,50,48.54,47016
47,17,190,105,55.26,85,44.74,47017
47,18,137,68,49.64,69,50.36,47018
47,19,190,105,55.26,85,44.74,47019
47,20,152,89,58.55,63,41.45,47020
47,21,100,60,60.0,40,40.0,47021
47,22,109,59,54.13,50,45.87,47022
47,23,64,27,42.19,37,57.81,47023
47,24,98,52,53.06,46,46.94,47024
47,25,130,72,55.38,58,44.62,47025
47,26,195,99,50.77,96,49.23,47026
47,27,131,66,50.38,65,49.62,47027
47,28,201,132,65.67,69,34.33,47028
47,29,160,74,46.25,86,53.75,47029
47,30,90,51,56.67,39,43.33,47030
47,31,150,77,51.33,73,48.67,47031
47,32,173,93,53.76,80,46.24,47032
47,33,137,67,48.91,70,51.09,47033
47,34,143,71,49.65,72,50.35,47034
47,35,211,105,49.76,106,50.24,47035
47,36,168,91,54.17,77,45.83,47036
47,37,156,80,51.28,76,48.72,47037
47,38,165,82,49.7,83,50.3,47038
47,39,136,67,49.26,69,50.74,47039
47,40,122,67,54.92,55,45.08,47040
47,41,87,47,54.02,40,45.98,47041
47,42,168,81,48.21,87,51.79,47042
47,43,182,94,51.65,88,48.35,47043
47,44,113,58,51.33,55,48.67,47044
47,45,156,84,53.85,72,46.15,47045
