ward,precinct,total,WILLIAM O. LIPINSKI,WILLIAM O. LIPINSKI Percent,precinct_id
3,36,40,40,100.0,03036
3,51,62,62,100.0,03051
11,1,181,181,100.0,11001
11,2,158,158,100.0,11002
11,4,268,268,100.0,11004
11,5,123,123,100.0,11005
11,6,247,247,100.0,11006
11,7,193,193,100.0,11007
11,8,182,182,100.0,11008
11,9,207,207,100.0,11009
11,11,214,214,100.0,11011
11,12,169,169,100.0,11012
11,13,214,214,100.0,11013
11,15,146,146,100.0,11015
11,16,212,212,100.0,11016
11,17,227,227,100.0,11017
11,18,100,100,100.0,11018
11,19,177,177,100.0,11019
11,20,284,284,100.0,11020
11,21,360,360,100.0,11021
11,24,313,313,100.0,11024
11,25,150,150,100.0,11025
11,26,274,274,100.0,11026
11,29,255,255,100.0,11029
11,30,162,162,100.0,11030
11,32,136,136,100.0,11032
11,34,28,28,100.0,11034
11,35,184,184,100.0,11035
11,37,332,332,100.0,11037
11,38,288,288,100.0,11038
11,39,275,275,100.0,11039
11,40,217,217,100.0,11040
11,41,135,135,100.0,11041
11,42,133,133,100.0,11042
11,43,181,181,100.0,11043
11,44,178,178,100.0,11044
11,45,109,109,100.0,11045
11,47,206,206,100.0,11047
11,48,99,99,100.0,11048
11,50,103,103,100.0,11050
11,51,147,147,100.0,11051
11,52,164,164,100.0,11052
11,53,168,168,100.0,11053
13,1,179,179,100.0,13001
13,2,170,170,100.0,13002
13,3,221,221,100.0,13003
13,4,236,236,100.0,13004
13,5,175,175,100.0,13005
13,6,187,187,100.0,13006
13,7,210,210,100.0,13007
13,8,185,185,100.0,13008
13,9,237,237,100.0,13009
13,10,210,210,100.0,13010
13,11,164,164,100.0,13011
13,12,219,219,100.0,13012
13,13,231,231,100.0,13013
13,14,156,156,100.0,13014
13,15,242,242,100.0,13015
13,16,189,189,100.0,13016
13,17,129,129,100.0,13017
13,18,179,179,100.0,13018
13,19,168,168,100.0,13019
13,20,188,188,100.0,13020
13,21,179,179,100.0,13021
13,22,219,219,100.0,13022
13,23,190,190,100.0,13023
13,24,274,274,100.0,13024
13,25,173,173,100.0,13025
13,26,158,158,100.0,13026
13,27,209,209,100.0,13027
13,28,168,168,100.0,13028
13,29,221,221,100.0,13029
13,30,200,200,100.0,13030
13,31,180,180,100.0,13031
13,32,176,176,100.0,13032
13,33,177,177,100.0,13033
13,34,190,190,100.0,13034
13,35,217,217,100.0,13035
13,36,143,143,100.0,13036
13,37,144,144,100.0,13037
13,38,90,90,100.0,13038
13,39,192,192,100.0,13039
13,40,169,169,100.0,13040
13,41,162,162,100.0,13041
13,42,235,235,100.0,13042
13,43,206,206,100.0,13043
13,44,130,130,100.0,13044
13,45,183,183,100.0,13045
13,46,207,207,100.0,13046
13,47,172,172,100.0,13047
13,48,177,177,100.0,13048
