ward,precinct,total,DARLENA WILLIAMS-BURNETT,DARLENA WILLIAMS-BURNETT Percent,MARY RUSSELL GARDNER,MARY RUSSELL GARDNER Percent,GEORGIA CLAYTON,GEORGIA CLAYTON Percent,precinct_id
1,1,29,13,44.83,8,27.59,8,27.59,01001
1,6,49,35,71.43,7,14.29,7,14.29,01006
1,7,17,7,41.18,8,47.06,2,11.76,01007
1,11,1,0,0.0,1,100.0,0,0.0,01011
1,28,6,0,0.0,1,16.67,5,83.33,01028
1,31,87,45,51.72,32,36.78,10,11.49,01031
1,32,0,0,0.0,0,0.0,0,0.0,01032
1,35,38,22,57.89,14,36.84,2,5.26,01035
2,1,122,45,36.89,54,44.26,23,18.85,02001
2,3,106,63,59.43,32,30.19,11,10.38,02003
2,4,69,30,43.48,19,27.54,20,28.99,02004
2,5,75,41,54.67,21,28.0,13,17.33,02005
2,6,83,47,56.63,27,32.53,9,10.84,02006
2,7,210,131,62.38,56,26.67,23,10.95,02007
2,8,161,74,45.96,65,40.37,22,13.66,02008
2,9,0,0,0.0,0,0.0,0,0.0,02009
2,10,95,33,34.74,25,26.32,37,38.95,02010
2,11,233,100,42.92,97,41.63,36,15.45,02011
2,15,56,25,44.64,10,17.86,21,37.5,02015
2,16,98,74,75.51,16,16.33,8,8.16,02016
2,17,137,94,68.61,28,20.44,15,10.95,02017
2,19,76,43,56.58,17,22.37,16,21.05,02019
2,22,314,129,41.08,127,40.45,58,18.47,02022
2,23,120,76,63.33,20,16.67,24,20.0,02023
2,25,69,35,50.72,22,31.88,12,17.39,02025
2,26,105,66,62.86,25,23.81,14,13.33,02026
2,27,24,15,62.5,7,29.17,2,8.33,02027
2,28,191,89,46.6,45,23.56,57,29.84,02028
2,30,104,41,39.42,21,20.19,42,40.38,02030
2,32,94,40,42.55,23,24.47,31,32.98,02032
2,33,233,144,61.8,59,25.32,30,12.88,02033
2,34,149,82,55.03,32,21.48,35,23.49,02034
2,35,32,18,56.25,10,31.25,4,12.5,02035
2,36,61,27,44.26,24,39.34,10,16.39,02036
2,37,164,71,43.29,69,42.07,24,14.63,02037
2,38,131,85,64.89,32,24.43,14,10.69,02038
2,39,166,97,58.43,40,24.1,29,17.47,02039
2,40,172,94,54.65,51,29.65,27,15.7,02040
2,41,41,18,43.9,13,31.71,10,24.39,02041
2,42,48,21,43.75,12,25.0,15,31.25,02042
2,43,161,80,49.69,63,39.13,18,11.18,02043
2,48,163,101,61.96,39,23.93,23,14.11,02048
2,49,59,17,28.81,33,55.93,9,15.25,02049
2,50,82,51,62.2,17,20.73,14,17.07,02050
2,51,144,99,68.75,27,18.75,18,12.5,02051
2,52,122,63,51.64,47,38.52,12,9.84,02052
2,53,83,50,60.24,19,22.89,14,16.87,02053
2,54,139,50,35.97,57,41.01,32,23.02,02054
2,55,110,60,54.55,39,35.45,11,10.0,02055
2,56,39,17,43.59,15,38.46,7,17.95,02056
3,1,116,70,60.34,26,22.41,20,17.24,03001
3,2,227,172,75.77,42,18.5,13,5.73,03002
3,3,20,11,55.0,5,25.0,4,20.0,03003
3,4,53,29,54.72,15,28.3,9,16.98,03004
3,5,0,0,0.0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,0,0.0,03007
3,8,83,54,65.06,23,27.71,6,7.23,03008
3,9,93,63,67.74,20,21.51,10,10.75,03009
3,10,73,40,54.79,22,30.14,11,15.07,03010
3,11,101,65,64.36,21,20.79,15,14.85,03011
3,12,142,90,63.38,28,19.72,24,16.9,03012
3,13,5,1,20.0,1,20.0,3,60.0,03013
3,14,61,39,63.93,15,24.59,7,11.48,03014
3,15,106,67,63.21,18,16.98,21,19.81,03015
3,16,176,105,59.66,38,21.59,33,18.75,03016
3,17,128,88,68.75,30,23.44,10,7.81,03017
3,18,109,64,58.72,29,26.61,16,14.68,03018
3,19,68,42,61.76,17,25.0,9,13.24,03019
3,20,39,17,43.59,13,33.33,9,23.08,03020
3,21,85,55,64.71,18,21.18,12,14.12,03021
3,22,107,70,65.42,25,23.36,12,11.21,03022
3,23,50,27,54.0,16,32.0,7,14.0,03023
3,24,136,86,63.24,34,25.0,16,11.76,03024
3,25,31,16,51.61,12,38.71,3,9.68,03025
3,26,85,54,63.53,21,24.71,10,11.76,03026
3,27,29,14,48.28,12,41.38,3,10.34,03027
3,28,105,61,58.1,29,27.62,15,14.29,03028
3,29,0,0,0.0,0,0.0,0,0.0,03029
3,30,1,1,100.0,0,0.0,0,0.0,03030
3,31,156,125,80.13,19,12.18,12,7.69,03031
3,32,153,96,62.75,39,25.49,18,11.76,03032
3,33,149,94,63.09,34,22.82,21,14.09,03033
3,35,111,83,74.77,18,16.22,10,9.01,03035
3,36,1,1,100.0,0,0.0,0,0.0,03036
3,37,96,61,63.54,21,21.88,14,14.58,03037
3,38,0,0,0.0,0,0.0,0,0.0,03038
3,39,208,154,74.04,42,20.19,12,5.77,03039
3,40,125,82,65.6,26,20.8,17,13.6,03040
3,41,105,75,71.43,22,20.95,8,7.62,03041
3,43,0,0,0.0,0,0.0,0,0.0,03043
3,44,1,1,100.0,0,0.0,0,0.0,03044
3,45,60,36,60.0,14,23.33,10,16.67,03045
3,46,18,11,61.11,4,22.22,3,16.67,03046
3,47,111,63,56.76,40,36.04,8,7.21,03047
3,48,140,73,52.14,45,32.14,22,15.71,03048
3,49,123,69,56.1,41,33.33,13,10.57,03049
3,50,148,111,75.0,32,21.62,5,3.38,03050
3,52,179,122,68.16,35,19.55,22,12.29,03052
4,4,222,157,70.72,45,20.27,20,9.01,04004
4,5,185,130,70.27,38,20.54,17,9.19,04005
4,7,137,98,71.53,19,13.87,20,14.6,04007
4,8,123,94,76.42,21,17.07,8,6.5,04008
4,10,288,202,70.14,56,19.44,30,10.42,04010
4,11,181,125,69.06,39,21.55,17,9.39,04011
4,14,106,67,63.21,31,29.25,8,7.55,04014
4,15,80,51,63.75,19,23.75,10,12.5,04015
4,25,211,133,63.03,57,27.01,21,9.95,04025
4,27,141,88,62.41,41,29.08,12,8.51,04027
4,35,95,66,69.47,20,21.05,9,9.47,04035
11,28,30,22,73.33,7,23.33,1,3.33,11028
11,33,175,91,52.0,69,39.43,15,8.57,11033
11,34,19,12,63.16,6,31.58,1,5.26,11034
11,46,117,96,82.05,15,12.82,6,5.13,11046
11,49,148,117,79.05,26,17.57,5,3.38,11049
11,54,72,67,93.06,5,6.94,0,0.0,11054
12,1,7,3,42.86,3,42.86,1,14.29,12001
12,18,14,8,57.14,5,35.71,1,7.14,12018
12,19,61,30,49.18,23,37.7,8,13.11,12019
12,23,2,1,50.0,0,0.0,1,50.0,12023
12,26,0,0,0.0,0,0.0,0,0.0,12026
16,5,4,0,0.0,1,25.0,3,75.0,16005
16,12,29,13,44.83,13,44.83,3,10.34,16012
16,14,0,0,0.0,0,0.0,0,0.0,16014
16,15,108,56,51.85,41,37.96,11,10.19,16015
16,16,55,23,41.82,18,32.73,14,25.45,16016
16,17,32,20,62.5,6,18.75,6,18.75,16017
16,18,74,28,37.84,34,45.95,12,16.22,16018
16,20,99,50,50.51,33,33.33,16,16.16,16020
16,22,101,47,46.53,34,33.66,20,19.8,16022
16,24,90,44,48.89,30,33.33,16,17.78,16024
16,26,1,0,0.0,1,100.0,0,0.0,16026
16,30,65,31,47.69,20,30.77,14,21.54,16030
16,33,14,8,57.14,3,21.43,3,21.43,16033
20,4,138,58,42.03,52,37.68,28,20.29,20004
20,8,95,47,49.47,35,36.84,13,13.68,20008
20,15,141,82,58.16,39,27.66,20,14.18,20015
20,21,115,67,58.26,35,30.43,13,11.3,20021
20,27,100,48,48.0,28,28.0,24,24.0,20027
20,31,112,40,35.71,45,40.18,27,24.11,20031
20,48,87,43,49.43,32,36.78,12,13.79,20048
22,7,100,74,74.0,19,19.0,7,7.0,22007
22,8,185,96,51.89,63,34.05,26,14.05,22008
22,12,141,80,56.74,47,33.33,14,9.93,22012
22,18,0,0,0.0,0,0.0,0,0.0,22018
22,19,100,68,68.0,22,22.0,10,10.0,22019
22,20,117,61,52.14,33,28.21,23,19.66,22020
22,21,179,95,53.07,63,35.2,21,11.73,22021
22,28,177,90,50.85,62,35.03,25,14.12,22028
24,1,149,85,57.05,38,25.5,26,17.45,24001
24,2,138,64,46.38,43,31.16,31,22.46,24002
24,3,119,70,58.82,41,34.45,8,6.72,24003
24,4,121,74,61.16,38,31.4,9,7.44,24004
24,5,115,54,46.96,45,39.13,16,13.91,24005
24,6,161,102,63.35,36,22.36,23,14.29,24006
24,7,124,91,73.39,20,16.13,13,10.48,24007
24,8,137,87,63.5,22,16.06,28,20.44,24008
24,9,115,75,65.22,29,25.22,11,9.57,24009
24,10,123,74,60.16,33,26.83,16,13.01,24010
24,11,32,20,62.5,8,25.0,4,12.5,24011
24,12,90,47,52.22,24,26.67,19,21.11,24012
24,13,101,62,61.39,22,21.78,17,16.83,24013
24,14,171,91,53.22,39,22.81,41,23.98,24014
24,15,120,71,59.17,25,20.83,24,20.0,24015
24,16,103,60,58.25,34,33.01,9,8.74,24016
24,17,116,70,60.34,26,22.41,20,17.24,24017
24,18,92,65,70.65,19,20.65,8,8.7,24018
24,19,108,64,59.26,31,28.7,13,12.04,24019
24,20,155,85,54.84,43,27.74,27,17.42,24020
24,21,92,53,57.61,28,30.43,11,11.96,24021
24,22,146,84,57.53,41,28.08,21,14.38,24022
24,23,131,81,61.83,24,18.32,26,19.85,24023
24,24,99,60,60.61,21,21.21,18,18.18,24024
24,25,134,72,53.73,28,20.9,34,25.37,24025
