ward,precinct,total,IRA I. SILVERSTEIN,IRA I. SILVERSTEIN Percent,precinct_id
30,1,41,41,100.0,30001
30,2,94,94,100.0,30002
30,12,140,140,100.0,30012
30,22,109,109,100.0,30022
30,32,33,33,100.0,30032
30,44,158,158,100.0,30044
33,18,0,0,0.0,33018
38,5,189,189,100.0,38005
38,9,27,27,100.0,38009
38,20,136,136,100.0,38020
39,1,133,133,100.0,39001
39,2,238,238,100.0,39002
39,3,153,153,100.0,39003
39,4,105,105,100.0,39004
39,5,140,140,100.0,39005
39,6,155,155,100.0,39006
39,7,158,158,100.0,39007
39,8,143,143,100.0,39008
39,9,214,214,100.0,39009
39,10,131,131,100.0,39010
39,11,179,179,100.0,39011
39,12,14,14,100.0,39012
39,14,139,139,100.0,39014
39,15,101,101,100.0,39015
39,16,97,97,100.0,39016
39,17,117,117,100.0,39017
39,18,186,186,100.0,39018
39,19,94,94,100.0,39019
39,20,123,123,100.0,39020
39,21,91,91,100.0,39021
39,23,78,78,100.0,39023
39,26,149,149,100.0,39026
39,28,67,67,100.0,39028
39,32,278,278,100.0,39032
39,33,171,171,100.0,39033
39,34,243,243,100.0,39034
39,35,145,145,100.0,39035
39,36,312,312,100.0,39036
39,37,194,194,100.0,39037
39,38,220,220,100.0,39038
39,39,79,79,100.0,39039
39,40,102,102,100.0,39040
39,41,42,42,100.0,39041
39,42,123,123,100.0,39042
39,43,126,126,100.0,39043
39,45,156,156,100.0,39045
39,47,102,102,100.0,39047
39,48,108,108,100.0,39048
39,49,94,94,100.0,39049
39,50,153,153,100.0,39050
40,1,62,62,100.0,40001
40,2,0,0,0.0,40002
40,10,55,55,100.0,40010
40,17,74,74,100.0,40017
40,20,22,22,100.0,40020
40,24,53,53,100.0,40024
40,29,190,190,100.0,40029
40,30,185,185,100.0,40030
40,31,128,128,100.0,40031
40,32,88,88,100.0,40032
40,34,110,110,100.0,40034
40,38,67,67,100.0,40038
41,10,143,143,100.0,41010
41,14,174,174,100.0,41014
41,23,147,147,100.0,41023
41,47,139,139,100.0,41047
41,54,127,127,100.0,41054
41,59,128,128,100.0,41059
41,66,145,145,100.0,41066
45,1,117,117,100.0,45001
45,4,125,125,100.0,45004
45,5,94,94,100.0,45005
45,10,196,196,100.0,45010
45,12,162,162,100.0,45012
45,14,198,198,100.0,45014
45,24,214,214,100.0,45024
45,36,204,204,100.0,45036
45,37,0,0,0.0,45037
45,41,0,0,0.0,45041
45,58,85,85,100.0,45058
49,19,24,24,100.0,49019
49,28,132,132,100.0,49028
50,1,116,116,100.0,50001
50,2,132,132,100.0,50002
50,3,106,106,100.0,50003
50,4,170,170,100.0,50004
50,5,203,203,100.0,50005
50,6,110,110,100.0,50006
50,7,183,183,100.0,50007
50,8,157,157,100.0,50008
50,9,121,121,100.0,50009
50,10,186,186,100.0,50010
50,11,169,169,100.0,50011
50,12,155,155,100.0,50012
50,13,95,95,100.0,50013
50,14,127,127,100.0,50014
50,15,175,175,100.0,50015
50,16,127,127,100.0,50016
50,17,140,140,100.0,50017
50,18,145,145,100.0,50018
50,19,135,135,100.0,50019
50,20,115,115,100.0,50020
50,21,170,170,100.0,50021
50,22,117,117,100.0,50022
50,23,108,108,100.0,50023
50,24,113,113,100.0,50024
50,25,190,190,100.0,50025
50,26,92,92,100.0,50026
50,27,92,92,100.0,50027
50,28,140,140,100.0,50028
50,29,132,132,100.0,50029
50,30,172,172,100.0,50030
50,31,112,112,100.0,50031
50,32,94,94,100.0,50032
50,33,99,99,100.0,50033
50,34,61,61,100.0,50034
50,35,165,165,100.0,50035
50,36,136,136,100.0,50036
50,37,179,179,100.0,50037
50,38,150,150,100.0,50038
50,39,151,151,100.0,50039
50,40,165,165,100.0,50040
50,41,224,224,100.0,50041
50,42,244,244,100.0,50042
50,43,185,185,100.0,50043
50,44,197,197,100.0,50044
50,45,176,176,100.0,50045
50,46,113,113,100.0,50046
