ward,precinct,total,JOSEPH BERRIOS,JOSEPH BERRIOS Percent,precinct_id
1,1,47,47,100.0,01001
1,2,69,69,100.0,01002
1,3,30,30,100.0,01003
1,4,39,39,100.0,01004
1,5,45,45,100.0,01005
1,6,16,16,100.0,01006
1,7,46,46,100.0,01007
1,8,23,23,100.0,01008
1,9,58,58,100.0,01009
1,10,41,41,100.0,01010
1,11,28,28,100.0,01011
1,12,57,57,100.0,01012
1,13,41,41,100.0,01013
1,14,33,33,100.0,01014
1,15,46,46,100.0,01015
1,16,45,45,100.0,01016
1,17,32,32,100.0,01017
1,18,54,54,100.0,01018
1,19,67,67,100.0,01019
1,20,28,28,100.0,01020
1,21,46,46,100.0,01021
1,22,31,31,100.0,01022
1,23,91,91,100.0,01023
1,24,43,43,100.0,01024
1,25,39,39,100.0,01025
1,26,48,48,100.0,01026
1,27,29,29,100.0,01027
1,28,9,9,100.0,01028
1,29,76,76,100.0,01029
1,30,35,35,100.0,01030
1,31,37,37,100.0,01031
1,32,52,52,100.0,01032
1,33,47,47,100.0,01033
1,34,7,7,100.0,01034
1,35,19,19,100.0,01035
1,36,32,32,100.0,01036
1,37,49,49,100.0,01037
2,1,66,66,100.0,02001
2,8,65,65,100.0,02008
2,11,104,104,100.0,02011
2,22,132,132,100.0,02022
2,28,1,1,100.0,02028
2,32,29,29,100.0,02032
2,35,12,12,100.0,02035
2,37,73,73,100.0,02037
2,39,0,0,0.0,02039
2,40,3,3,100.0,02040
2,42,0,0,0.0,02042
2,43,74,74,100.0,02043
2,49,29,29,100.0,02049
2,50,0,0,0.0,02050
2,52,57,57,100.0,02052
2,54,44,44,100.0,02054
2,55,60,60,100.0,02055
3,51,1,1,100.0,03051
11,1,99,99,100.0,11001
11,2,90,90,100.0,11002
11,3,107,107,100.0,11003
11,4,158,158,100.0,11004
11,5,76,76,100.0,11005
11,6,137,137,100.0,11006
11,7,126,126,100.0,11007
11,8,83,83,100.0,11008
11,9,135,135,100.0,11009
11,10,46,46,100.0,11010
11,11,126,126,100.0,11011
11,12,80,80,100.0,11012
11,13,137,137,100.0,11013
11,14,27,27,100.0,11014
11,15,46,46,100.0,11015
11,16,120,120,100.0,11016
11,17,130,130,100.0,11017
11,18,82,82,100.0,11018
11,19,103,103,100.0,11019
11,20,182,182,100.0,11020
11,21,218,218,100.0,11021
11,22,42,42,100.0,11022
11,23,67,67,100.0,11023
11,24,211,211,100.0,11024
11,25,99,99,100.0,11025
11,26,158,158,100.0,11026
11,27,17,17,100.0,11027
11,28,6,6,100.0,11028
11,29,141,141,100.0,11029
11,30,84,84,100.0,11030
11,31,22,22,100.0,11031
11,32,55,55,100.0,11032
11,33,76,76,100.0,11033
11,34,35,35,100.0,11034
11,35,85,85,100.0,11035
11,36,49,49,100.0,11036
11,37,174,174,100.0,11037
