ward,precinct,total,"CONSTANCE A. """"CONNIE"""" HOWARD","CONSTANCE A. """"CONNIE"""" HOWARD Percent",precinct_id
5,2,176,176,100.0,05002
5,12,167,167,100.0,05012
5,15,138,138,100.0,05015
5,19,71,71,100.0,05019
5,20,28,28,100.0,05020
5,22,196,196,100.0,05022
5,50,118,118,100.0,05050
5,52,106,106,100.0,05052
6,1,284,284,100.0,06001
6,2,263,263,100.0,06002
6,3,218,218,100.0,06003
6,6,5,5,100.0,06006
6,8,216,216,100.0,06008
6,9,249,249,100.0,06009
6,10,283,283,100.0,06010
6,13,196,196,100.0,06013
6,14,183,183,100.0,06014
6,16,217,217,100.0,06016
6,17,261,261,100.0,06017
6,21,227,227,100.0,06021
6,22,204,204,100.0,06022
6,23,172,172,100.0,06023
6,24,190,190,100.0,06024
6,25,200,200,100.0,06025
6,26,246,246,100.0,06026
6,27,309,309,100.0,06027
6,28,341,341,100.0,06028
6,29,275,275,100.0,06029
6,31,274,274,100.0,06031
6,34,194,194,100.0,06034
6,35,283,283,100.0,06035
6,37,273,273,100.0,06037
6,38,238,238,100.0,06038
6,39,117,117,100.0,06039
6,41,236,236,100.0,06041
6,43,233,233,100.0,06043
6,44,218,218,100.0,06044
6,45,118,118,100.0,06045
6,46,186,186,100.0,06046
6,47,224,224,100.0,06047
6,50,244,244,100.0,06050
6,51,161,161,100.0,06051
6,52,162,162,100.0,06052
6,53,173,173,100.0,06053
6,54,174,174,100.0,06054
6,55,150,150,100.0,06055
6,56,151,151,100.0,06056
6,57,118,118,100.0,06057
6,58,254,254,100.0,06058
6,59,186,186,100.0,06059
6,60,138,138,100.0,06060
6,62,233,233,100.0,06062
6,63,178,178,100.0,06063
6,64,268,268,100.0,06064
7,36,16,16,100.0,07036
7,37,56,56,100.0,07037
7,43,94,94,100.0,07043
8,18,138,138,100.0,08018
8,29,28,28,100.0,08029
8,31,22,22,100.0,08031
8,32,362,362,100.0,08032
8,33,93,93,100.0,08033
8,34,248,248,100.0,08034
8,37,147,147,100.0,08037
8,39,264,264,100.0,08039
8,43,167,167,100.0,08043
8,45,106,106,100.0,08045
8,47,222,222,100.0,08047
8,48,31,31,100.0,08048
8,56,19,19,100.0,08056
8,59,37,37,100.0,08059
8,66,266,266,100.0,08066
9,8,149,149,100.0,09008
9,25,95,95,100.0,09025
9,36,109,109,100.0,09036
9,37,191,191,100.0,09037
9,49,78,78,100.0,09049
10,2,98,98,100.0,10002
10,3,12,12,100.0,10003
10,5,107,107,100.0,10005
10,14,32,32,100.0,10014
10,15,61,61,100.0,10015
10,16,1,1,100.0,10016
10,17,98,98,100.0,10017
10,21,88,88,100.0,10021
10,22,35,35,100.0,10022
10,40,0,0,0.0,10040
10,42,0,0,0.0,10042
21,23,181,181,100.0,21023
21,25,168,168,100.0,21025
21,26,160,160,100.0,21026
21,32,15,15,100.0,21032
21,43,178,178,100.0,21043
21,46,140,140,100.0,21046
21,48,253,253,100.0,21048
21,53,0,0,0.0,21053
21,55,212,212,100.0,21055
