ward,precinct,total,LAURA MARIE SULLIVAN,LAURA MARIE SULLIVAN Percent,MICHAEL R. CLANCY,MICHAEL R. CLANCY Percent,SHELDON A. HARRIS,SHELDON A. HARRIS Percent,MOIRA SUSAN JOHNSON,MOIRA SUSAN JOHNSON Percent,precinct_id
1,1,123,54,43.9,16,13.01,34,27.64,19,15.45,01001
1,2,142,63,44.37,17,11.97,27,19.01,35,24.65,01002
1,3,83,42,50.6,13,15.66,8,9.64,20,24.1,01003
1,4,105,41,39.05,21,20.0,20,19.05,23,21.9,01004
1,5,109,40,36.7,23,21.1,16,14.68,30,27.52,01005
1,6,26,13,50.0,7,26.92,5,19.23,1,3.85,01006
1,7,116,61,52.59,19,16.38,12,10.34,24,20.69,01007
1,8,75,36,48.0,16,21.33,11,14.67,12,16.0,01008
1,9,111,41,36.94,29,26.13,16,14.41,25,22.52,01009
1,10,104,44,42.31,16,15.38,22,21.15,22,21.15,01010
1,11,99,45,45.45,22,22.22,19,19.19,13,13.13,01011
1,12,144,73,50.69,19,13.19,18,12.5,34,23.61,01012
1,13,86,32,37.21,23,26.74,13,15.12,18,20.93,01013
1,14,101,41,40.59,33,32.67,13,12.87,14,13.86,01014
1,15,117,47,40.17,21,17.95,28,23.93,21,17.95,01015
1,16,95,27,28.42,17,17.89,23,24.21,28,29.47,01016
1,17,74,36,48.65,8,10.81,14,18.92,16,21.62,01017
1,18,115,49,42.61,22,19.13,14,12.17,30,26.09,01018
1,19,112,50,44.64,18,16.07,21,18.75,23,20.54,01019
1,20,83,39,46.99,14,16.87,13,15.66,17,20.48,01020
1,21,101,48,47.52,18,17.82,14,13.86,21,20.79,01021
1,22,66,31,46.97,13,19.7,12,18.18,10,15.15,01022
1,23,191,84,43.98,33,17.28,38,19.9,36,18.85,01023
1,24,84,32,38.1,12,14.29,16,19.05,24,28.57,01024
1,25,96,53,55.21,9,9.38,19,19.79,15,15.63,01025
1,26,111,50,45.05,20,18.02,19,17.12,22,19.82,01026
1,27,96,38,39.58,18,18.75,18,18.75,22,22.92,01027
1,28,18,8,44.44,0,0.0,2,11.11,8,44.44,01028
1,29,191,77,40.31,52,27.23,26,13.61,36,18.85,01029
1,30,101,54,53.47,19,18.81,10,9.9,18,17.82,01030
