ward,precinct,total,YVONNE L. CHRISTIAN-WILLIAMS,YVONNE L. CHRISTIAN-WILLIAMS Percent,"JESSE L. JACKSON, JR.","JESSE L. JACKSON, JR. Percent",ANTHONY W. WILLIAMS,ANTHONY W. WILLIAMS Percent,precinct_id
5,1,229,10,4.37,216,94.32,3,1.31,05001
5,3,247,12,4.86,230,93.12,5,2.02,05003
5,4,282,18,6.38,256,90.78,8,2.84,05004
5,6,232,12,5.17,216,93.1,4,1.72,05006
5,7,207,11,5.31,191,92.27,5,2.42,05007
5,11,78,7,8.97,68,87.18,3,3.85,05011
5,14,178,18,10.11,144,80.9,16,8.99,05014
5,18,151,6,3.97,140,92.72,5,3.31,05018
5,21,308,12,3.9,291,94.48,5,1.62,05021
5,24,189,12,6.35,169,89.42,8,4.23,05024
5,26,143,8,5.59,132,92.31,3,2.1,05026
5,28,266,16,6.02,245,92.11,5,1.88,05028
5,29,160,7,4.38,151,94.38,2,1.25,05029
5,31,201,14,6.97,184,91.54,3,1.49,05031
5,32,349,14,4.01,331,94.84,4,1.15,05032
5,34,126,10,7.94,114,90.48,2,1.59,05034
5,36,234,10,4.27,220,94.02,4,1.71,05036
5,37,128,7,5.47,115,89.84,6,4.69,05037
5,38,242,29,11.98,207,85.54,6,2.48,05038
5,40,175,7,4.0,167,95.43,1,0.57,05040
5,42,173,16,9.25,154,89.02,3,1.73,05042
5,43,249,6,2.41,236,94.78,7,2.81,05043
5,44,214,5,2.34,206,96.26,3,1.4,05044
5,46,193,13,6.74,175,90.67,5,2.59,05046
5,47,185,9,4.86,173,93.51,3,1.62,05047
5,53,144,8,5.56,133,92.36,3,2.08,05053
5,54,137,11,8.03,121,88.32,5,3.65,05054
5,55,207,11,5.31,195,94.2,1,0.48,05055
5,57,208,17,8.17,188,90.38,3,1.44,05057
5,59,117,8,6.84,107,91.45,2,1.71,05059
6,21,251,16,6.37,232,92.43,3,1.2,06021
6,22,222,20,9.01,199,89.64,3,1.35,06022
6,64,293,21,7.17,267,91.13,5,1.71,06064
7,1,321,17,5.3,298,92.83,6,1.87,07001
7,2,271,11,4.06,254,93.73,6,2.21,07002
7,3,193,12,6.22,179,92.75,2,1.04,07003
7,4,189,10,5.29,175,92.59,4,2.12,07004
7,5,151,15,9.93,128,84.77,8,5.3,07005
7,6,223,13,5.83,207,92.83,3,1.35,07006
7,7,187,7,3.74,177,94.65,3,1.6,07007
7,8,207,26,12.56,169,81.64,12,5.8,07008
7,9,237,15,6.33,216,91.14,6,2.53,07009
7,10,321,19,5.92,298,92.83,4,1.25,07010
7,11,229,10,4.37,217,94.76,2,0.87,07011
7,12,276,16,5.8,256,92.75,4,1.45,07012
7,13,113,2,1.77,107,94.69,4,3.54,07013
7,14,245,15,6.12,228,93.06,2,0.82,07014
7,15,281,14,4.98,264,93.95,3,1.07,07015
7,16,230,13,5.65,215,93.48,2,0.87,07016
7,17,205,8,3.9,194,94.63,3,1.46,07017
7,18,213,20,9.39,185,86.85,8,3.76,07018
7,19,291,10,3.44,275,94.5,6,2.06,07019
7,20,77,4,5.19,72,93.51,1,1.3,07020
7,21,229,14,6.11,212,92.58,3,1.31,07021
7,22,247,20,8.1,222,89.88,5,2.02,07022
7,23,229,8,3.49,220,96.07,1,0.44,07023
7,24,312,23,7.37,282,90.38,7,2.24,07024
7,25,222,7,3.15,210,94.59,5,2.25,07025
7,26,283,20,7.07,260,91.87,3,1.06,07026
7,27,252,13,5.16,236,93.65,3,1.19,07027
7,28,212,8,3.77,201,94.81,3,1.42,07028
7,29,134,8,5.97,125,93.28,1,0.75,07029
7,30,329,15,4.56,311,94.53,3,0.91,07030
7,31,306,10,3.27,289,94.44,7,2.29,07031
7,32,216,27,12.5,182,84.26,7,3.24,07032
7,33,277,16,5.78,253,91.34,8,2.89,07033
7,34,196,11,5.61,184,93.88,1,0.51,07034
7,35,321,20,6.23,294,91.59,7,2.18,07035
7,36,391,13,3.32,370,94.63,8,2.05,07036
7,37,298,4,1.34,287,96.31,7,2.35,07037
7,38,300,11,3.67,285,95.0,4,1.33,07038
7,39,234,8,3.42,225,96.15,1,0.43,07039
7,40,161,8,4.97,148,91.93,5,3.11,07040
7,41,292,8,2.74,279,95.55,5,1.71,07041
7,42,257,15,5.84,236,91.83,6,2.33,07042
7,43,249,10,4.02,235,94.38,4,1.61,07043
7,44,282,21,7.45,254,90.07,7,2.48,07044
7,45,339,15,4.42,320,94.4,4,1.18,07045
7,46,95,5,5.26,89,93.68,1,1.05,07046
8,2,0,0,0.0,0,0.0,0,0.0,08002
8,3,299,16,5.35,276,92.31,7,2.34,08003
8,4,261,8,3.07,245,93.87,8,3.07,08004
8,5,310,10,3.23,292,94.19,8,2.58,08005
8,7,193,7,3.63,181,93.78,5,2.59,08007
8,8,305,14,4.59,289,94.75,2,0.66,08008
8,9,326,24,7.36,294,90.18,8,2.45,08009
8,15,222,3,1.35,213,95.95,6,2.7,08015
8,17,213,11,5.16,197,92.49,5,2.35,08017
8,19,294,16,5.44,270,91.84,8,2.72,08019
8,23,219,11,5.02,206,94.06,2,0.91,08023
8,24,271,17,6.27,249,91.88,5,1.85,08024
8,25,252,12,4.76,237,94.05,3,1.19,08025
8,26,152,3,1.97,148,97.37,1,0.66,08026
8,27,280,19,6.79,260,92.86,1,0.36,08027
8,28,203,5,2.46,196,96.55,2,0.99,08028
8,30,59,7,11.86,50,84.75,2,3.39,08030
8,32,414,20,4.83,392,94.69,2,0.48,08032
8,34,281,13,4.63,263,93.59,5,1.78,08034
8,36,249,10,4.02,233,93.57,6,2.41,08036
8,39,290,13,4.48,276,95.17,1,0.34,08039
8,42,236,9,3.81,221,93.64,6,2.54,08042
8,44,282,13,4.61,267,94.68,2,0.71,08044
8,46,203,3,1.48,197,97.04,3,1.48,08046
8,47,263,14,5.32,248,94.3,1,0.38,08047
8,49,273,11,4.03,261,95.6,1,0.37,08049
