ward,precinct,total,"JACQUELINE """"JACQUI"""" Y. COLLINS","JACQUELINE """"JACQUI"""" Y. COLLINS Percent","MELVIN """"MEL"""" CALDWELL","MELVIN """"MEL"""" CALDWELL Percent",precinct_id
6,4,103,89,86.41,14,13.59,06004
6,5,127,109,85.83,18,14.17,06005
6,6,124,101,81.45,23,18.55,06006
6,7,192,167,86.98,25,13.02,06007
6,11,234,190,81.2,44,18.8,06011
6,12,176,157,89.2,19,10.8,06012
6,15,152,134,88.16,18,11.84,06015
6,18,68,59,86.76,9,13.24,06018
6,19,213,183,85.92,30,14.08,06019
6,20,62,57,91.94,5,8.06,06020
6,30,201,137,68.16,64,31.84,06030
6,32,248,201,81.05,47,18.95,06032
6,33,267,212,79.4,55,20.6,06033
6,36,119,103,86.55,16,13.45,06036
6,40,122,112,91.8,10,8.2,06040
6,42,117,103,88.03,14,11.97,06042
6,48,91,72,79.12,19,20.88,06048
6,49,232,215,92.67,17,7.33,06049
6,61,155,133,85.81,22,14.19,06061
13,1,164,116,70.73,48,29.27,13001
13,3,217,165,76.04,52,23.96,13003
13,8,215,163,75.81,52,24.19,13008
13,13,336,319,94.94,17,5.06,13013
13,17,160,145,90.63,15,9.38,13017
13,19,199,176,88.44,23,11.56,13019
13,24,276,214,77.54,62,22.46,13024
13,26,190,158,83.16,32,16.84,13026
13,30,213,167,78.4,46,21.6,13030
13,45,208,183,87.98,25,12.02,13045
13,47,14,8,57.14,6,42.86,13047
13,55,233,196,84.12,37,15.88,13055
13,61,313,260,83.07,53,16.93,13061
13,63,262,209,79.77,53,20.23,13063
14,1,10,8,80.0,2,20.0,14001
14,10,84,74,88.1,10,11.9,14010
14,15,70,59,84.29,11,15.71,14015
14,17,90,75,83.33,15,16.67,14017
14,20,130,110,84.62,20,15.38,14020
14,21,238,213,89.5,25,10.5,14021
14,25,147,126,85.71,21,14.29,14025
14,27,77,64,83.12,13,16.88,14027
14,38,116,100,86.21,16,13.79,14038
14,44,166,138,83.13,28,16.87,14044
14,45,159,123,77.36,36,22.64,14045
14,48,107,87,81.31,20,18.69,14048
15,1,189,159,84.13,30,15.87,15001
15,3,190,168,88.42,22,11.58,15003
15,6,129,108,83.72,21,16.28,15006
15,7,81,59,72.84,22,27.16,15007
15,8,140,123,87.86,17,12.14,15008
15,9,118,90,76.27,28,23.73,15009
15,10,225,166,73.78,59,26.22,15010
15,11,163,128,78.53,35,21.47,15011
15,12,116,83,71.55,33,28.45,15012
15,13,114,104,91.23,10,8.77,15013
15,14,83,68,81.93,15,18.07,15014
15,15,145,130,89.66,15,10.34,15015
15,16,238,184,77.31,54,22.69,15016
15,19,161,136,84.47,25,15.53,15019
15,21,218,189,86.7,29,13.3,15021
15,25,169,144,85.21,25,14.79,15025
15,27,186,152,81.72,34,18.28,15027
15,28,265,202,76.23,63,23.77,15028
15,30,1,1,100.0,0,0.0,15030
15,31,6,4,66.67,2,33.33,15031
15,32,150,128,85.33,22,14.67,15032
15,33,1,1,100.0,0,0.0,15033
15,34,102,79,77.45,23,22.55,15034
15,40,1,1,100.0,0,0.0,15040
15,41,142,110,77.46,32,22.54,15041
15,42,111,95,85.59,16,14.41,15042
15,44,122,95,77.87,27,22.13,15044
15,45,162,119,73.46,43,26.54,15045
15,46,144,121,84.03,23,15.97,15046
15,47,170,142,83.53,28,16.47,15047
15,48,19,14,73.68,5,26.32,15048
17,1,104,91,87.5,13,12.5,17001
17,2,172,152,88.37,20,11.63,17002
17,3,147,131,89.12,16,10.88,17003
17,4,274,252,91.97,22,8.03,17004
17,5,176,150,85.23,26,14.77,17005
17,6,137,125,91.24,12,8.76,17006
17,7,206,188,91.26,18,8.74,17007
17,8,117,106,90.6,11,9.4,17008
17,9,144,132,91.67,12,8.33,17009
17,10,232,213,91.81,19,8.19,17010
17,11,172,152,88.37,20,11.63,17011
17,12,220,209,95.0,11,5.0,17012
17,13,0,0,0.0,0,0.0,17013
17,14,8,8,100.0,0,0.0,17014
17,15,198,181,91.41,17,8.59,17015
17,16,198,180,90.91,18,9.09,17016
17,17,133,118,88.72,15,11.28,17017
17,18,208,196,94.23,12,5.77,17018
17,19,19,17,89.47,2,10.53,17019
17,20,171,157,91.81,14,8.19,17020
17,21,285,251,88.07,34,11.93,17021
17,22,213,187,87.79,26,12.21,17022
17,23,143,129,90.21,14,9.79,17023
17,24,178,164,92.13,14,7.87,17024
17,25,115,105,91.3,10,8.7,17025
17,26,240,212,88.33,28,11.67,17026
17,27,210,186,88.57,24,11.43,17027
17,28,160,151,94.38,9,5.63,17028
17,29,236,220,93.22,16,6.78,17029
17,30,223,206,92.38,17,7.62,17030
17,31,127,119,93.7,8,6.3,17031
