ward,precinct,total,MARGARET SMITH,MARGARET SMITH Percent,MARTINI SHAW,MARTINI SHAW Percent,GALEN L. McGEE,GALEN L. McGEE Percent,HAL BASKIN,HAL BASKIN Percent,precinct_id
2,1,133,65,48.87,50,37.59,10,7.52,8,6.02,02001
2,3,112,69,61.61,31,27.68,6,5.36,6,5.36,02003
2,5,89,51,57.3,27,30.34,8,8.99,3,3.37,02005
2,6,93,50,53.76,30,32.26,6,6.45,7,7.53,02006
2,11,318,129,40.57,167,52.52,16,5.03,6,1.89,02011
2,14,288,101,35.07,40,13.89,146,50.69,1,0.35,02014
2,16,117,84,71.79,28,23.93,5,4.27,0,0.0,02016
2,22,371,166,44.74,178,47.98,14,3.77,13,3.5,02022
2,24,51,38,74.51,13,25.49,0,0.0,0,0.0,02024
2,31,108,89,82.41,18,16.67,1,0.93,0,0.0,02031
2,35,35,14,40.0,19,54.29,1,2.86,1,2.86,02035
2,37,186,93,50.0,70,37.63,15,8.06,8,4.3,02037
2,40,26,15,57.69,9,34.62,2,7.69,0,0.0,02040
2,43,201,83,41.29,106,52.74,9,4.48,3,1.49,02043
2,49,72,29,40.28,35,48.61,5,6.94,3,4.17,02049
2,52,42,27,64.29,11,26.19,4,9.52,0,0.0,02052
2,54,182,58,31.87,98,53.85,13,7.14,13,7.14,02054
2,55,106,105,99.06,1,0.94,0,0.0,0,0.0,02055
2,56,55,38,69.09,13,23.64,2,3.64,2,3.64,02056
3,1,139,118,84.89,17,12.23,3,2.16,1,0.72,03001
3,3,27,18,66.67,8,29.63,1,3.7,0,0.0,03003
3,4,62,43,69.35,14,22.58,3,4.84,2,3.23,03004
3,5,0,0,0.0,0,0.0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,0,0.0,0,0.0,03007
3,8,90,71,78.89,14,15.56,3,3.33,2,2.22,03008
3,9,48,32,66.67,8,16.67,3,6.25,5,10.42,03009
3,10,78,48,61.54,19,24.36,5,6.41,6,7.69,03010
3,11,95,69,72.63,20,21.05,1,1.05,5,5.26,03011
3,12,161,120,74.53,36,22.36,3,1.86,2,1.24,03012
3,13,8,7,87.5,1,12.5,0,0.0,0,0.0,03013
3,14,83,65,78.31,16,19.28,2,2.41,0,0.0,03014
3,15,120,85,70.83,25,20.83,8,6.67,2,1.67,03015
3,17,150,127,84.67,17,11.33,2,1.33,4,2.67,03017
3,18,124,85,68.55,25,20.16,10,8.06,4,3.23,03018
3,19,76,53,69.74,19,25.0,3,3.95,1,1.32,03019
3,20,40,23,57.5,9,22.5,6,15.0,2,5.0,03020
3,21,102,77,75.49,16,15.69,2,1.96,7,6.86,03021
3,22,134,105,78.36,21,15.67,6,4.48,2,1.49,03022
3,23,60,32,53.33,23,38.33,3,5.0,2,3.33,03023
3,24,167,133,79.64,27,16.17,6,3.59,1,0.6,03024
3,25,39,26,66.67,5,12.82,8,20.51,0,0.0,03025
3,26,107,82,76.64,22,20.56,3,2.8,0,0.0,03026
3,27,37,20,54.05,11,29.73,5,13.51,1,2.7,03027
3,28,19,19,100.0,0,0.0,0,0.0,0,0.0,03028
3,29,0,0,0.0,0,0.0,0,0.0,0,0.0,03029
3,32,129,96,74.42,22,17.05,6,4.65,5,3.88,03032
3,33,187,114,60.96,68,36.36,1,0.53,4,2.14,03033
