ward,precinct,total,"JOHN B. DILLON, JR.","JOHN B. DILLON, JR. Percent",SANDRA OTAKA,SANDRA OTAKA Percent,ROBERT L. ABRAHAM,ROBERT L. ABRAHAM Percent,STUART P. KATZ,STUART P. KATZ Percent,LARRY G. AXELROOD,LARRY G. AXELROOD Percent,JACQUELINE A. WALKER,JACQUELINE A. WALKER Percent,JUDY FRYDLAND,JUDY FRYDLAND Percent,precinct_id
39,23,94,17,18.09,23,24.47,3,3.19,3,3.19,8,8.51,4,4.26,36,38.3,39023
39,32,148,15,10.14,47,31.76,20,13.51,23,15.54,18,12.16,15,10.14,10,6.76,39032
39,34,185,12,6.49,50,27.03,23,12.43,47,25.41,33,17.84,7,3.78,13,7.03,39034
39,41,35,4,11.43,9,25.71,5,14.29,7,20.0,2,5.71,4,11.43,4,11.43,39041
40,9,77,7,9.09,35,45.45,4,5.19,8,10.39,11,14.29,7,9.09,5,6.49,40009
40,12,109,9,8.26,62,56.88,6,5.5,7,6.42,7,6.42,14,12.84,4,3.67,40012
40,13,99,9,9.09,55,55.56,2,2.02,9,9.09,5,5.05,13,13.13,6,6.06,40013
40,18,82,15,18.29,30,36.59,4,4.88,6,7.32,6,7.32,15,18.29,6,7.32,40018
40,26,137,6,4.38,73,53.28,3,2.19,10,7.3,16,11.68,15,10.95,14,10.22,40026
40,28,135,17,12.59,61,45.19,12,8.89,5,3.7,13,9.63,22,16.3,5,3.7,40028
40,35,169,17,10.06,79,46.75,12,7.1,12,7.1,20,11.83,17,10.06,12,7.1,40035
40,37,144,18,12.5,61,42.36,12,8.33,10,6.94,10,6.94,22,15.28,11,7.64,40037
40,39,87,8,9.2,36,41.38,11,12.64,5,5.75,6,6.9,15,17.24,6,6.9,40039
40,47,118,10,8.47,48,40.68,10,8.47,7,5.93,16,13.56,20,16.95,7,5.93,40047
41,47,151,34,22.52,40,26.49,8,5.3,16,10.6,24,15.89,12,7.95,17,11.26,41047
41,54,129,32,24.81,37,28.68,9,6.98,15,11.63,18,13.95,8,6.2,10,7.75,41054
45,1,126,15,11.9,45,35.71,7,5.56,2,1.59,12,9.52,3,2.38,42,33.33,45001
45,4,151,26,17.22,36,23.84,14,9.27,7,4.64,6,3.97,5,3.31,57,37.75,45004
45,58,95,17,17.89,40,42.11,3,3.16,4,4.21,5,5.26,7,7.37,19,20.0,45058
48,2,124,8,6.45,48,38.71,9,7.26,10,8.06,12,9.68,28,22.58,9,7.26,48002
48,13,86,3,3.49,38,44.19,8,9.3,16,18.6,11,12.79,6,6.98,4,4.65,48013
48,22,199,14,7.04,82,41.21,13,6.53,21,10.55,22,11.06,36,18.09,11,5.53,48022
48,32,118,10,8.47,42,35.59,10,8.47,7,5.93,11,9.32,30,25.42,8,6.78,48032
48,33,118,14,11.86,44,37.29,9,7.63,14,11.86,18,15.25,13,11.02,6,5.08,48033
48,41,66,0,0.0,21,31.82,5,7.58,6,9.09,6,9.09,25,37.88,3,4.55,48041
49,1,126,14,11.11,52,41.27,6,4.76,2,1.59,9,7.14,39,30.95,4,3.17,49001
49,2,175,6,3.43,94,53.71,9,5.14,11,6.29,14,8.0,27,15.43,14,8.0,49002
49,3,139,12,8.63,59,42.45,5,3.6,7,5.04,14,10.07,30,21.58,12,8.63,49003
49,4,98,7,7.14,38,38.78,10,10.2,7,7.14,14,14.29,19,19.39,3,3.06,49004
49,5,130,11,8.46,50,38.46,11,8.46,6,4.62,18,13.85,27,20.77,7,5.38,49005
49,6,111,9,8.11,55,49.55,4,3.6,10,9.01,13,11.71,15,13.51,5,4.5,49006
49,7,90,6,6.67,50,55.56,4,4.44,6,6.67,8,8.89,9,10.0,7,7.78,49007
49,8,123,13,10.57,53,43.09,4,3.25,17,13.82,13,10.57,14,11.38,9,7.32,49008
49,9,109,6,5.5,54,49.54,4,3.67,2,1.83,14,12.84,21,19.27,8,7.34,49009
49,10,193,9,4.66,140,72.54,6,3.11,9,4.66,10,5.18,13,6.74,6,3.11,49010
49,11,136,8,5.88,63,46.32,7,5.15,6,4.41,9,6.62,30,22.06,13,9.56,49011
49,12,91,8,8.79,41,45.05,6,6.59,5,5.49,9,9.89,18,19.78,4,4.4,49012
49,13,142,12,8.45,73,51.41,6,4.23,10,7.04,17,11.97,18,12.68,6,4.23,49013
49,14,107,8,7.48,62,57.94,4,3.74,11,10.28,6,5.61,12,11.21,4,3.74,49014
49,15,117,9,7.69,40,34.19,8,6.84,8,6.84,21,17.95,27,23.08,4,3.42,49015
49,16,117,10,8.55,54,46.15,9,7.69,6,5.13,24,20.51,9,7.69,5,4.27,49016
49,18,112,9,8.04,54,48.21,4,3.57,7,6.25,17,15.18,19,16.96,2,1.79,49018
49,19,100,9,9.0,43,43.0,9,9.0,2,2.0,11,11.0,17,17.0,9,9.0,49019
49,20,148,12,8.11,65,43.92,8,5.41,4,2.7,19,12.84,27,18.24,13,8.78,49020
49,21,73,11,15.07,39,53.42,3,4.11,6,8.22,3,4.11,8,10.96,3,4.11,49021
49,22,148,12,8.11,61,41.22,7,4.73,5,3.38,22,14.86,35,23.65,6,4.05,49022
49,23,115,7,6.09,44,38.26,10,8.7,3,2.61,14,12.17,33,28.7,4,3.48,49023
49,24,154,9,5.84,59,38.31,10,6.49,5,3.25,17,11.04,48,31.17,6,3.9,49024
49,25,104,7,6.73,45,43.27,6,5.77,9,8.65,15,14.42,16,15.38,6,5.77,49025
49,26,192,10,5.21,103,53.65,10,5.21,12,6.25,20,10.42,21,10.94,16,8.33,49026
49,27,135,5,3.7,52,38.52,13,9.63,8,5.93,14,10.37,37,27.41,6,4.44,49027
49,28,133,7,5.26,50,37.59,5,3.76,4,3.01,13,9.77,50,37.59,4,3.01,49028
49,29,68,2,2.94,37,54.41,5,7.35,7,10.29,7,10.29,10,14.71,0,0.0,49029
49,30,92,8,8.7,39,42.39,2,2.17,3,3.26,15,16.3,19,20.65,6,6.52,49030
49,31,116,10,8.62,61,52.59,8,6.9,6,5.17,13,11.21,15,12.93,3,2.59,49031
49,32,120,9,7.5,66,55.0,8,6.67,6,5.0,12,10.0,13,10.83,6,5.0,49032
49,33,97,8,8.25,48,49.48,4,4.12,7,7.22,9,9.28,17,17.53,4,4.12,49033
49,34,87,11,12.64,24,27.59,3,3.45,4,4.6,14,16.09,23,26.44,8,9.2,49034
49,35,108,4,3.7,48,44.44,2,1.85,12,11.11,21,19.44,12,11.11,9,8.33,49035
49,36,85,6,7.06,43,50.59,3,3.53,3,3.53,4,4.71,21,24.71,5,5.88,49036
49,37,94,10,10.64,44,46.81,2,2.13,7,7.45,12,12.77,14,14.89,5,5.32,49037
50,1,112,13,11.61,53,47.32,6,5.36,6,5.36,7,6.25,16,14.29,11,9.82,50001
50,2,149,11,7.38,97,65.1,7,4.7,6,4.03,7,4.7,19,12.75,2,1.34,50002
50,3,110,9,8.18,50,45.45,7,6.36,10,9.09,11,10.0,15,13.64,8,7.27,50003
50,4,176,20,11.36,74,42.05,13,7.39,13,7.39,32,18.18,11,6.25,13,7.39,50004
50,5,193,7,3.63,94,48.7,8,4.15,17,8.81,41,21.24,7,3.63,19,9.84,50005
50,6,173,10,5.78,110,63.58,10,5.78,18,10.4,15,8.67,7,4.05,3,1.73,50006
50,7,207,18,8.7,123,59.42,11,5.31,8,3.86,22,10.63,12,5.8,13,6.28,50007
50,9,111,9,8.11,44,39.64,11,9.91,20,18.02,13,11.71,5,4.5,9,8.11,50009
50,10,164,9,5.49,86,52.44,13,7.93,26,15.85,23,14.02,0,0.0,7,4.27,50010
50,11,151,7,4.64,41,27.15,15,9.93,51,33.77,26,17.22,4,2.65,7,4.64,50011
50,12,168,4,2.38,103,61.31,13,7.74,24,14.29,15,8.93,1,0.6,8,4.76,50012
50,13,112,3,2.68,64,57.14,7,6.25,10,8.93,8,7.14,12,10.71,8,7.14,50013
50,14,138,5,3.62,96,69.57,8,5.8,13,9.42,14,10.14,1,0.72,1,0.72,50014
50,15,171,14,8.19,76,44.44,7,4.09,23,13.45,27,15.79,13,7.6,11,6.43,50015
50,16,119,0,0.0,61,51.26,7,5.88,26,21.85,18,15.13,1,0.84,6,5.04,50016
50,17,129,11,8.53,71,55.04,6,4.65,16,12.4,11,8.53,7,5.43,7,5.43,50017
50,18,132,5,3.79,56,42.42,13,9.85,24,18.18,22,16.67,5,3.79,7,5.3,50018
50,19,135,10,7.41,60,44.44,12,8.89,18,13.33,15,11.11,14,10.37,6,4.44,50019
50,20,125,9,7.2,55,44.0,22,17.6,15,12.0,14,11.2,9,7.2,1,0.8,50020
50,21,172,8,4.65,87,50.58,11,6.4,24,13.95,19,11.05,11,6.4,12,6.98,50021
50,22,130,9,6.92,75,57.69,12,9.23,11,8.46,4,3.08,12,9.23,7,5.38,50022
50,24,118,10,8.47,58,49.15,10,8.47,10,8.47,13,11.02,11,9.32,6,5.08,50024
50,25,162,9,5.56,73,45.06,8,4.94,30,18.52,29,17.9,5,3.09,8,4.94,50025
50,26,101,5,4.95,55,54.46,6,5.94,17,16.83,3,2.97,8,7.92,7,6.93,50026
50,27,89,3,3.37,48,53.93,9,10.11,15,16.85,10,11.24,0,0.0,4,4.49,50027
50,28,174,6,3.45,124,71.26,9,5.17,5,2.87,11,6.32,9,5.17,10,5.75,50028
50,30,168,7,4.17,71,42.26,11,6.55,41,24.4,31,18.45,3,1.79,4,2.38,50030
50,31,97,1,1.03,35,36.08,14,14.43,22,22.68,17,17.53,1,1.03,7,7.22,50031
