ward,precinct,total,MICHAEL A. WOJCIK,MICHAEL A. WOJCIK Percent,IRIS Y. MARTINEZ,IRIS Y. MARTINEZ Percent,precinct_id
26,1,134,25,18.66,109,81.34,26001
26,3,32,22,68.75,10,31.25,26003
26,8,20,11,55.0,9,45.0,26008
26,11,213,39,18.31,174,81.69,26011
26,13,194,49,25.26,145,74.74,26013
26,16,177,10,5.65,167,94.35,26016
26,17,211,36,17.06,175,82.94,26017
26,19,209,60,28.71,149,71.29,26019
26,23,101,30,29.7,71,70.3,26023
26,24,231,56,24.24,175,75.76,26024
26,25,197,53,26.9,144,73.1,26025
26,28,217,37,17.05,180,82.95,26028
26,30,81,28,34.57,53,65.43,26030
26,32,201,39,19.4,162,80.6,26032
26,33,170,35,20.59,135,79.41,26033
26,34,178,43,24.16,135,75.84,26034
26,36,224,26,11.61,198,88.39,26036
26,37,159,49,30.82,110,69.18,26037
30,1,189,169,89.42,20,10.58,30001
30,2,10,8,80.0,2,20.0,30002
30,3,246,175,71.14,71,28.86,30003
30,4,287,181,63.07,106,36.93,30004
30,6,195,155,79.49,40,20.51,30006
30,7,188,160,85.11,28,14.89,30007
30,8,218,158,72.48,60,27.52,30008
30,9,335,284,84.78,51,15.22,30009
30,13,130,90,69.23,40,30.77,30013
30,14,143,81,56.64,62,43.36,30014
30,15,244,209,85.66,35,14.34,30015
30,16,170,110,64.71,60,35.29,30016
30,17,43,27,62.79,16,37.21,30017
30,18,249,92,36.95,157,63.05,30018
30,19,214,117,54.67,97,45.33,30019
30,22,5,4,80.0,1,20.0,30022
30,23,129,83,64.34,46,35.66,30023
30,24,128,51,39.84,77,60.16,30024
30,25,216,121,56.02,95,43.98,30025
30,26,192,86,44.79,106,55.21,30026
30,28,187,136,72.73,51,27.27,30028
30,29,192,130,67.71,62,32.29,30029
30,30,207,161,77.78,46,22.22,30030
30,32,113,92,81.42,21,18.58,30032
30,33,0,0,0.0,0,0.0,30033
30,34,328,159,48.48,169,51.52,30034
30,36,151,80,52.98,71,47.02,30036
30,38,205,125,60.98,80,39.02,30038
30,39,162,116,71.6,46,28.4,30039
30,40,159,126,79.25,33,20.75,30040
31,2,131,36,27.48,95,72.52,31002
31,5,119,43,36.13,76,63.87,31005
31,6,41,12,29.27,29,70.73,31006
31,7,62,23,37.1,39,62.9,31007
31,10,44,37,84.09,7,15.91,31010
31,11,61,20,32.79,41,67.21,31011
31,13,2,1,50.0,1,50.0,31013
31,14,185,39,21.08,146,78.92,31014
31,18,35,13,37.14,22,62.86,31018
31,23,80,19,23.75,61,76.25,31023
31,24,78,42,53.85,36,46.15,31024
31,30,136,50,36.76,86,63.24,31030
31,31,210,79,37.62,131,62.38,31031
31,32,105,31,29.52,74,70.48,31032
31,33,205,40,19.51,165,80.49,31033
32,14,105,30,28.57,75,71.43,32014
32,16,4,3,75.0,1,25.0,32016
32,29,47,12,25.53,35,74.47,32029
33,1,208,71,34.13,137,65.87,33001
33,2,306,53,17.32,253,82.68,33002
33,3,168,73,43.45,95,56.55,33003
33,4,262,65,24.81,197,75.19,33004
33,5,177,55,31.07,122,68.93,33005
33,6,273,96,35.16,177,64.84,33006
33,7,17,5,29.41,12,70.59,33007
33,10,252,106,42.06,146,57.94,33010
33,12,265,125,47.17,140,52.83,33012
33,13,277,61,22.02,216,77.98,33013
33,14,148,31,20.95,117,79.05,33014
33,15,59,21,35.59,38,64.41,33015
33,16,254,150,59.06,104,40.94,33016
33,17,235,105,44.68,130,55.32,33017
33,18,68,17,25.0,51,75.0,33018
33,19,165,59,35.76,106,64.24,33019
33,20,223,65,29.15,158,70.85,33020
33,21,195,45,23.08,150,76.92,33021
33,22,323,106,32.82,217,67.18,33022
33,23,245,82,33.47,163,66.53,33023
33,25,326,116,35.58,210,64.42,33025
33,26,183,30,16.39,153,83.61,33026
33,29,215,128,59.53,87,40.47,33029
33,30,199,70,35.18,129,64.82,33030
33,31,197,51,25.89,146,74.11,33031
33,32,55,28,50.91,27,49.09,33032
33,33,211,52,24.64,159,75.36,33033
33,34,219,73,33.33,146,66.67,33034
33,35,247,96,38.87,151,61.13,33035
33,36,288,92,31.94,196,68.06,33036
33,37,177,86,48.59,91,51.41,33037
35,1,120,41,34.17,79,65.83,35001
35,3,115,21,18.26,94,81.74,35003
35,4,91,48,52.75,43,47.25,35004
35,5,214,46,21.5,168,78.5,35005
35,6,166,70,42.17,96,57.83,35006
35,7,192,49,25.52,143,74.48,35007
35,8,59,37,62.71,22,37.29,35008
35,9,161,32,19.88,129,80.12,35009
35,10,139,20,14.39,119,85.61,35010
35,11,106,42,39.62,64,60.38,35011
35,12,167,27,16.17,140,83.83,35012
35,13,77,30,38.96,47,61.04,35013
35,14,141,37,26.24,104,73.76,35014
35,15,77,46,59.74,31,40.26,35015
35,16,181,37,20.44,144,79.56,35016
35,17,214,27,12.62,187,87.38,35017
35,18,209,60,28.71,149,71.29,35018
35,19,192,44,22.92,148,77.08,35019
35,20,95,7,7.37,88,92.63,35020
35,21,261,104,39.85,157,60.15,35021
35,22,113,66,58.41,47,41.59,35022
35,25,181,58,32.04,123,67.96,35025
35,27,256,83,32.42,173,67.58,35027
35,28,159,47,29.56,112,70.44,35028
35,29,200,33,16.5,167,83.5,35029
35,30,265,75,28.3,190,71.7,35030
35,31,178,31,17.42,147,82.58,35031
35,33,109,17,15.6,92,84.4,35033
35,34,27,14,51.85,13,48.15,35034
35,35,104,17,16.35,87,83.65,35035
38,2,4,0,0.0,4,100.0,38002
38,13,176,62,35.23,114,64.77,38013
38,24,112,51,45.54,61,54.46,38024
38,34,65,26,40.0,39,60.0,38034
39,12,1,0,0.0,1,100.0,39012
39,13,81,11,13.58,70,86.42,39013
39,22,112,15,13.39,97,86.61,39022
39,24,152,50,32.89,102,67.11,39024
39,25,75,16,21.33,59,78.67,39025
39,27,102,24,23.53,78,76.47,39027
39,29,100,15,15.0,85,85.0,39029
39,30,176,61,34.66,115,65.34,39030
39,31,118,48,40.68,70,59.32,39031
39,44,216,68,31.48,148,68.52,39044
39,46,167,70,41.92,97,58.08,39046
