ward,precinct,total,LESLIE GRYCE STURINO,LESLIE GRYCE STURINO Percent,"KENNETH """"KEN"""" DUNKIN","KENNETH """"KEN"""" DUNKIN Percent",HOWARD KENNER,HOWARD KENNER Percent,ANDREW BORON,ANDREW BORON Percent,precinct_id
2,1,148,34,22.97,62,41.89,15,10.14,37,25.0,02001
2,3,110,25,22.73,45,40.91,33,30.0,7,6.36,02003
2,5,89,11,12.36,55,61.8,15,16.85,8,8.99,02005
2,6,87,10,11.49,45,51.72,23,26.44,9,10.34,02006
2,11,334,120,35.93,92,27.54,43,12.87,79,23.65,02011
2,14,252,32,12.7,158,62.7,49,19.44,13,5.16,02014
2,16,114,25,21.93,70,61.4,12,10.53,7,6.14,02016
2,22,389,112,28.79,96,24.68,46,11.83,135,34.7,02022
2,24,53,10,18.87,16,30.19,18,33.96,9,16.98,02024
2,31,105,69,65.71,23,21.9,11,10.48,2,1.9,02031
2,35,36,12,33.33,9,25.0,3,8.33,12,33.33,02035
2,37,177,64,36.16,56,31.64,27,15.25,30,16.95,02037
2,40,27,4,14.81,8,29.63,6,22.22,9,33.33,02040
2,43,220,74,33.64,62,28.18,22,10.0,62,28.18,02043
2,49,71,34,47.89,14,19.72,6,8.45,17,23.94,02049
2,52,43,13,30.23,13,30.23,7,16.28,10,23.26,02052
2,54,190,103,54.21,34,17.89,10,5.26,43,22.63,02054
2,55,119,116,97.48,1,0.84,1,0.84,1,0.84,02055
2,56,51,13,25.49,22,43.14,10,19.61,6,11.76,02056
3,1,129,5,3.88,43,33.33,70,54.26,11,8.53,03001
3,3,26,5,19.23,9,34.62,8,30.77,4,15.38,03003
3,4,68,5,7.35,39,57.35,23,33.82,1,1.47,03004
3,5,0,0,0.0,0,0.0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,0,0.0,0,0.0,03007
3,8,92,6,6.52,60,65.22,25,27.17,1,1.09,03008
3,9,49,10,20.41,23,46.94,9,18.37,7,14.29,03009
3,11,84,10,11.9,29,34.52,43,51.19,2,2.38,03011
3,12,6,0,0.0,3,50.0,0,0.0,3,50.0,03012
3,13,8,0,0.0,4,50.0,4,50.0,0,0.0,03013
3,14,88,4,4.55,59,67.05,22,25.0,3,3.41,03014
3,15,119,12,10.08,45,37.82,54,45.38,8,6.72,03015
3,17,39,3,7.69,16,41.03,17,43.59,3,7.69,03017
3,18,125,11,8.8,68,54.4,44,35.2,2,1.6,03018
3,19,73,16,21.92,23,31.51,31,42.47,3,4.11,03019
3,20,38,4,10.53,21,55.26,8,21.05,5,13.16,03020
3,22,107,9,8.41,42,39.25,30,28.04,26,24.3,03022
3,23,62,15,24.19,20,32.26,23,37.1,4,6.45,03023
3,24,157,14,8.92,74,47.13,65,41.4,4,2.55,03024
3,25,34,3,8.82,17,50.0,12,35.29,2,5.88,03025
3,26,94,7,7.45,27,28.72,58,61.7,2,2.13,03026
3,27,34,12,35.29,14,41.18,8,23.53,0,0.0,03027
3,28,14,6,42.86,4,28.57,4,28.57,0,0.0,03028
3,29,0,0,0.0,0,0.0,0,0.0,0,0.0,03029
3,32,121,7,5.79,41,33.88,67,55.37,6,4.96,03032
3,33,164,15,9.15,69,42.07,68,41.46,12,7.32,03033
3,35,120,8,6.67,45,37.5,59,49.17,8,6.67,03035
