ward,precinct,total,BARBARA JONES,BARBARA JONES Percent,precinct_id
41,13,69,69,100.0,41013
41,25,66,66,100.0,41025
41,26,68,68,100.0,41026
41,28,67,67,100.0,41028
41,29,36,36,100.0,41029
41,32,95,95,100.0,41032
41,38,88,88,100.0,41038
41,48,91,91,100.0,41048
41,55,0,0,0.0,41055
