ward,precinct,total,LOU LANG,LOU LANG Percent,precinct_id
49,19,20,20,100.0,49019
49,28,128,128,100.0,49028
50,1,110,110,100.0,50001
50,2,132,132,100.0,50002
50,3,106,106,100.0,50003
50,4,152,152,100.0,50004
50,5,167,167,100.0,50005
50,6,99,99,100.0,50006
50,7,179,179,100.0,50007
50,8,158,158,100.0,50008
50,9,113,113,100.0,50009
50,10,150,150,100.0,50010
50,11,146,146,100.0,50011
50,12,133,133,100.0,50012
50,13,96,96,100.0,50013
50,14,113,113,100.0,50014
50,15,178,178,100.0,50015
50,16,112,112,100.0,50016
50,17,127,127,100.0,50017
50,18,127,127,100.0,50018
50,19,112,112,100.0,50019
50,20,117,117,100.0,50020
50,21,157,157,100.0,50021
50,22,116,116,100.0,50022
50,23,93,93,100.0,50023
50,24,109,109,100.0,50024
50,25,141,141,100.0,50025
50,26,76,76,100.0,50026
50,27,73,73,100.0,50027
50,28,130,130,100.0,50028
50,29,121,121,100.0,50029
50,30,157,157,100.0,50030
50,31,94,94,100.0,50031
50,32,89,89,100.0,50032
50,33,83,83,100.0,50033
50,34,61,61,100.0,50034
50,35,160,160,100.0,50035
50,36,132,132,100.0,50036
50,37,168,168,100.0,50037
50,38,133,133,100.0,50038
50,39,131,131,100.0,50039
50,40,145,145,100.0,50040
50,41,205,205,100.0,50041
50,42,220,220,100.0,50042
50,43,168,168,100.0,50043
50,44,170,170,100.0,50044
50,45,166,166,100.0,50045
50,46,106,106,100.0,50046
