ward,precinct,total,JOSEPH M. LYONS,JOSEPH M. LYONS Percent,precinct_id
36,13,27,27,100.0,36013
38,2,145,145,100.0,38002
38,4,57,57,100.0,38004
38,5,3,3,100.0,38005
38,6,137,137,100.0,38006
38,8,206,206,100.0,38008
38,9,117,117,100.0,38009
38,10,39,39,100.0,38010
38,11,122,122,100.0,38011
38,12,10,10,100.0,38012
38,14,144,144,100.0,38014
38,15,128,128,100.0,38015
38,17,125,125,100.0,38017
38,18,132,132,100.0,38018
38,19,125,125,100.0,38019
38,21,135,135,100.0,38021
38,22,170,170,100.0,38022
38,23,116,116,100.0,38023
38,25,139,139,100.0,38025
38,26,109,109,100.0,38026
38,27,92,92,100.0,38027
38,28,111,111,100.0,38028
38,29,107,107,100.0,38029
38,30,126,126,100.0,38030
38,31,148,148,100.0,38031
38,32,159,159,100.0,38032
38,33,121,121,100.0,38033
38,34,2,2,100.0,38034
38,35,155,155,100.0,38035
38,36,162,162,100.0,38036
38,37,167,167,100.0,38037
38,39,135,135,100.0,38039
38,40,103,103,100.0,38040
38,41,210,210,100.0,38041
38,42,162,162,100.0,38042
38,43,145,145,100.0,38043
38,44,144,144,100.0,38044
38,45,162,162,100.0,38045
38,46,135,135,100.0,38046
38,47,139,139,100.0,38047
38,48,150,150,100.0,38048
38,49,136,136,100.0,38049
38,50,169,169,100.0,38050
38,51,117,117,100.0,38051
38,52,146,146,100.0,38052
38,53,137,137,100.0,38053
38,54,150,150,100.0,38054
38,55,216,216,100.0,38055
38,56,145,145,100.0,38056
41,65,8,8,100.0,41065
45,2,163,163,100.0,45002
45,3,320,320,100.0,45003
45,6,150,150,100.0,45006
45,7,172,172,100.0,45007
45,8,151,151,100.0,45008
45,9,209,209,100.0,45009
45,11,175,175,100.0,45011
45,13,209,209,100.0,45013
45,15,217,217,100.0,45015
45,16,185,185,100.0,45016
45,17,157,157,100.0,45017
45,18,171,171,100.0,45018
45,19,259,259,100.0,45019
45,20,177,177,100.0,45020
45,21,171,171,100.0,45021
45,22,140,140,100.0,45022
45,23,167,167,100.0,45023
45,24,0,0,0.0,45024
45,25,152,152,100.0,45025
45,26,179,179,100.0,45026
45,27,174,174,100.0,45027
45,28,204,204,100.0,45028
45,29,177,177,100.0,45029
45,30,206,206,100.0,45030
45,31,159,159,100.0,45031
45,32,142,142,100.0,45032
45,33,200,200,100.0,45033
45,34,159,159,100.0,45034
45,35,161,161,100.0,45035
45,36,2,2,100.0,45036
45,37,44,44,100.0,45037
45,38,255,255,100.0,45038
45,39,212,212,100.0,45039
45,40,201,201,100.0,45040
45,41,108,108,100.0,45041
45,42,192,192,100.0,45042
45,43,158,158,100.0,45043
45,44,204,204,100.0,45044
45,45,144,144,100.0,45045
45,46,201,201,100.0,45046
45,47,189,189,100.0,45047
45,48,152,152,100.0,45048
45,49,169,169,100.0,45049
45,50,146,146,100.0,45050
45,51,177,177,100.0,45051
45,52,160,160,100.0,45052
45,53,182,182,100.0,45053
45,54,193,193,100.0,45054
45,55,133,133,100.0,45055
45,56,135,135,100.0,45056
45,57,163,163,100.0,45057
