ward,precinct,total,ROBERT E. GORDON,ROBERT E. GORDON Percent,THOMAS O'BRIEN,THOMAS O'BRIEN Percent,DEBORAH JEAN GUBIN,DEBORAH JEAN GUBIN Percent,STEPHEN JAFFE,STEPHEN JAFFE Percent,JENNIFER C. DOUGHTY DAVENPORT,JENNIFER C. DOUGHTY DAVENPORT Percent,KATHLEEN MARIE BURKE,KATHLEEN MARIE BURKE Percent,precinct_id
2,1,124,24,19.35,14,11.29,25,20.16,10,8.06,20,16.13,31,25.0,02001
2,3,95,27,28.42,15,15.79,9,9.47,7,7.37,13,13.68,24,25.26,02003
2,5,75,12,16.0,10,13.33,14,18.67,4,5.33,13,17.33,22,29.33,02005
2,7,201,64,31.84,28,13.93,34,16.92,8,3.98,26,12.94,41,20.4,02007
2,8,162,30,18.52,15,9.26,36,22.22,14,8.64,19,11.73,48,29.63,02008
2,11,257,58,22.57,32,12.45,62,24.12,17,6.61,30,11.67,58,22.57,02011
2,22,319,71,22.26,29,9.09,81,25.39,22,6.9,47,14.73,69,21.63,02022
2,26,82,31,37.8,17,20.73,7,8.54,3,3.66,9,10.98,15,18.29,02026
2,35,29,5,17.24,4,13.79,7,24.14,1,3.45,8,27.59,4,13.79,02035
2,37,171,32,18.71,18,10.53,37,21.64,11,6.43,26,15.2,47,27.49,02037
2,40,151,42,27.81,21,13.91,19,12.58,15,9.93,23,15.23,31,20.53,02040
2,43,163,46,28.22,17,10.43,29,17.79,9,5.52,24,14.72,38,23.31,02043
2,49,60,10,16.67,4,6.67,15,25.0,6,10.0,13,21.67,12,20.0,02049
2,52,110,33,30.0,19,17.27,12,10.91,8,7.27,18,16.36,20,18.18,02052
2,54,151,24,15.89,21,13.91,42,27.81,9,5.96,18,11.92,37,24.5,02054
2,55,108,15,13.89,13,12.04,26,24.07,4,3.7,15,13.89,35,32.41,02055
2,56,45,14,31.11,8,17.78,5,11.11,3,6.67,6,13.33,9,20.0,02056
25,3,153,101,66.01,13,8.5,3,1.96,6,3.92,7,4.58,23,15.03,25003
25,14,122,72,59.02,14,11.48,14,11.48,4,3.28,2,1.64,16,13.11,25014
25,16,106,66,62.26,4,3.77,17,16.04,3,2.83,5,4.72,11,10.38,25016
25,18,246,156,63.41,13,5.28,35,14.23,2,0.81,17,6.91,23,9.35,25018
27,5,68,16,23.53,13,19.12,12,17.65,3,4.41,5,7.35,19,27.94,27005
27,6,90,28,31.11,13,14.44,5,5.56,7,7.78,23,25.56,14,15.56,27006
27,9,233,154,66.09,12,5.15,15,6.44,4,1.72,23,9.87,25,10.73,27009
27,12,132,104,78.79,4,3.03,5,3.79,5,3.79,4,3.03,10,7.58,27012
27,13,263,99,37.64,28,10.65,36,13.69,14,5.32,32,12.17,54,20.53,27013
27,14,61,30,49.18,4,6.56,9,14.75,1,1.64,8,13.11,9,14.75,27014
27,16,90,19,21.11,16,17.78,28,31.11,2,2.22,6,6.67,19,21.11,27016
27,20,244,169,69.26,20,8.2,10,4.1,4,1.64,19,7.79,22,9.02,27020
27,21,74,41,55.41,7,9.46,7,9.46,2,2.7,8,10.81,9,12.16,27021
27,28,119,56,47.06,13,10.92,8,6.72,5,4.2,18,15.13,19,15.97,27028
27,37,150,72,48.0,11,7.33,21,14.0,18,12.0,8,5.33,20,13.33,27037
27,38,96,16,16.67,11,11.46,22,22.92,13,13.54,9,9.38,25,26.04,27038
27,39,83,50,60.24,9,10.84,6,7.23,1,1.2,6,7.23,11,13.25,27039
27,42,69,11,15.94,11,15.94,17,24.64,5,7.25,5,7.25,20,28.99,27042
27,43,96,31,32.29,15,15.63,10,10.42,4,4.17,14,14.58,22,22.92,27043
27,50,144,32,22.22,22,15.28,33,22.92,9,6.25,21,14.58,27,18.75,27050
27,51,64,27,42.19,11,17.19,8,12.5,1,1.56,5,7.81,12,18.75,27051
27,52,49,41,83.67,1,2.04,1,2.04,1,2.04,2,4.08,3,6.12,27052
32,7,81,13,16.05,21,25.93,11,13.58,6,7.41,10,12.35,20,24.69,32007
32,8,121,24,19.83,16,13.22,34,28.1,13,10.74,13,10.74,21,17.36,32008
32,10,85,15,17.65,10,11.76,22,25.88,5,5.88,15,17.65,18,21.18,32010
32,13,84,17,20.24,11,13.1,17,20.24,12,14.29,8,9.52,19,22.62,32013
32,18,94,20,21.28,14,14.89,22,23.4,10,10.64,5,5.32,23,24.47,32018
32,20,30,7,23.33,3,10.0,5,16.67,3,10.0,3,10.0,9,30.0,32020
32,23,99,12,12.12,16,16.16,25,25.25,12,12.12,10,10.1,24,24.24,32023
32,32,113,18,15.93,30,26.55,29,25.66,7,6.19,8,7.08,21,18.58,32032
32,37,113,28,24.78,23,20.35,19,16.81,9,7.96,11,9.73,23,20.35,32037
32,38,145,25,17.24,23,15.86,44,30.34,12,8.28,14,9.66,27,18.62,32038
32,39,118,13,11.02,23,19.49,28,23.73,21,17.8,11,9.32,22,18.64,32039
32,43,145,23,15.86,19,13.1,39,26.9,12,8.28,22,15.17,30,20.69,32043
32,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32046
32,48,117,17,14.53,25,21.37,35,29.91,11,9.4,14,11.97,15,12.82,32048
40,3,92,9,9.78,26,28.26,21,22.83,6,6.52,8,8.7,22,23.91,40003
40,4,150,33,22.0,60,40.0,24,16.0,4,2.67,5,3.33,24,16.0,40004
40,7,95,28,29.47,10,10.53,17,17.89,9,9.47,14,14.74,17,17.89,40007
40,8,147,28,19.05,42,28.57,33,22.45,9,6.12,11,7.48,24,16.33,40008
40,11,94,26,27.66,21,22.34,18,19.15,5,5.32,12,12.77,12,12.77,40011
40,16,225,150,66.67,22,9.78,24,10.67,3,1.33,8,3.56,18,8.0,40016
40,22,72,23,31.94,5,6.94,14,19.44,4,5.56,7,9.72,19,26.39,40022
40,23,120,18,15.0,27,22.5,24,20.0,6,5.0,17,14.17,28,23.33,40023
40,27,199,26,13.07,65,32.66,45,22.61,9,4.52,20,10.05,34,17.09,40027
40,33,121,7,5.79,21,17.36,12,9.92,60,49.59,4,3.31,17,14.05,40033
40,40,82,13,15.85,28,34.15,10,12.2,5,6.1,4,4.88,22,26.83,40040
40,41,127,22,17.32,26,20.47,17,13.39,24,18.9,13,10.24,25,19.69,40041
40,42,169,33,19.53,51,30.18,22,13.02,34,20.12,12,7.1,17,10.06,40042
40,43,122,20,16.39,22,18.03,20,16.39,20,16.39,13,10.66,27,22.13,40043
40,45,201,60,29.85,35,17.41,30,14.93,21,10.45,17,8.46,38,18.91,40045
40,46,132,22,16.67,21,15.91,25,18.94,12,9.09,16,12.12,36,27.27,40046
42,1,131,25,19.08,14,10.69,34,25.95,30,22.9,7,5.34,21,16.03,42001
42,2,68,18,26.47,6,8.82,17,25.0,8,11.76,5,7.35,14,20.59,42002
42,3,69,8,11.59,9,13.04,20,28.99,5,7.25,12,17.39,15,21.74,42003
42,4,98,14,14.29,12,12.24,25,25.51,9,9.18,14,14.29,24,24.49,42004
42,5,101,13,12.87,16,15.84,26,25.74,14,13.86,11,10.89,21,20.79,42005
42,6,246,61,24.8,26,10.57,45,18.29,23,9.35,46,18.7,45,18.29,42006
42,7,104,18,17.31,19,18.27,24,23.08,16,15.38,11,10.58,16,15.38,42007
42,8,149,44,29.53,13,8.72,44,29.53,13,8.72,9,6.04,26,17.45,42008
42,9,109,18,16.51,11,10.09,27,24.77,15,13.76,11,10.09,27,24.77,42009
42,10,97,16,16.49,10,10.31,26,26.8,16,16.49,8,8.25,21,21.65,42010
42,11,98,31,31.63,8,8.16,15,15.31,15,15.31,11,11.22,18,18.37,42011
42,13,223,43,19.28,25,11.21,55,24.66,18,8.07,29,13.0,53,23.77,42013
42,14,91,15,16.48,9,9.89,19,20.88,12,13.19,7,7.69,29,31.87,42014
42,15,134,23,17.16,20,14.93,39,29.1,10,7.46,12,8.96,30,22.39,42015
42,16,171,40,23.39,13,7.6,39,22.81,26,15.2,12,7.02,41,23.98,42016
42,17,87,17,19.54,6,6.9,30,34.48,9,10.34,7,8.05,18,20.69,42017
42,18,209,41,19.62,37,17.7,34,16.27,10,4.78,29,13.88,58,27.75,42018
42,19,100,10,10.0,13,13.0,32,32.0,10,10.0,10,10.0,25,25.0,42019
42,20,59,7,11.86,10,16.95,14,23.73,5,8.47,5,8.47,18,30.51,42020
42,22,56,19,33.93,4,7.14,15,26.79,4,7.14,3,5.36,11,19.64,42022
42,23,124,18,14.52,8,6.45,40,32.26,28,22.58,10,8.06,20,16.13,42023
42,24,108,24,22.22,11,10.19,21,19.44,20,18.52,12,11.11,20,18.52,42024
42,25,107,36,33.64,6,5.61,16,14.95,21,19.63,4,3.74,24,22.43,42025
42,27,156,44,28.21,26,16.67,31,19.87,8,5.13,15,9.62,32,20.51,42027
42,28,126,15,11.9,19,15.08,36,28.57,16,12.7,11,8.73,29,23.02,42028
42,29,116,17,14.66,10,8.62,34,29.31,25,21.55,2,1.72,28,24.14,42029
42,30,117,23,19.66,7,5.98,29,24.79,12,10.26,13,11.11,33,28.21,42030
42,31,44,3,6.82,5,11.36,12,27.27,8,18.18,5,11.36,11,25.0,42031
42,33,177,33,18.64,20,11.3,47,26.55,25,14.12,12,6.78,40,22.6,42033
42,34,100,12,12.0,13,13.0,29,29.0,8,8.0,15,15.0,23,23.0,42034
42,35,80,19,23.75,9,11.25,25,31.25,12,15.0,5,6.25,10,12.5,42035
42,36,131,15,11.45,18,13.74,36,27.48,17,12.98,12,9.16,33,25.19,42036
42,37,98,27,27.55,6,6.12,21,21.43,21,21.43,6,6.12,17,17.35,42037
42,38,102,12,11.76,12,11.76,40,39.22,14,13.73,7,6.86,17,16.67,42038
42,40,68,16,23.53,5,7.35,11,16.18,12,17.65,5,7.35,19,27.94,42040
42,41,84,16,19.05,10,11.9,21,25.0,7,8.33,12,14.29,18,21.43,42041
42,42,101,9,8.91,16,15.84,23,22.77,20,19.8,12,11.88,21,20.79,42042
42,43,110,19,17.27,9,8.18,36,32.73,21,19.09,6,5.45,19,17.27,42043
42,44,113,16,14.16,11,9.73,29,25.66,23,20.35,15,13.27,19,16.81,42044
42,45,80,14,17.5,11,13.75,23,28.75,10,12.5,3,3.75,19,23.75,42045
42,46,71,18,25.35,8,11.27,17,23.94,3,4.23,7,9.86,18,25.35,42046
42,47,74,17,22.97,6,8.11,21,28.38,10,13.51,5,6.76,15,20.27,42047
42,50,106,14,13.21,10,9.43,36,33.96,10,9.43,11,10.38,25,23.58,42050
42,51,91,9,9.89,13,14.29,24,26.37,6,6.59,10,10.99,29,31.87,42051
42,52,79,19,24.05,10,12.66,14,17.72,5,6.33,8,10.13,23,29.11,42052
42,53,77,17,22.08,11,14.29,20,25.97,3,3.9,8,10.39,18,23.38,42053
42,54,65,9,13.85,11,16.92,13,20.0,6,9.23,8,12.31,18,27.69,42054
42,55,98,22,22.45,10,10.2,26,26.53,5,5.1,7,7.14,28,28.57,42055
42,56,67,12,17.91,12,17.91,16,23.88,1,1.49,9,13.43,17,25.37,42056
42,57,77,17,22.08,14,18.18,10,12.99,6,7.79,12,15.58,18,23.38,42057
42,58,184,41,22.28,29,15.76,29,15.76,21,11.41,21,11.41,43,23.37,42058
42,59,77,12,15.58,18,23.38,11,14.29,6,7.79,12,15.58,18,23.38,42059
42,60,45,7,15.56,13,28.89,9,20.0,4,8.89,8,17.78,4,8.89,42060
42,61,37,6,16.22,9,24.32,7,18.92,8,21.62,1,2.7,6,16.22,42061
42,62,70,19,27.14,6,8.57,17,24.29,9,12.86,4,5.71,15,21.43,42062
42,63,87,15,17.24,5,5.75,28,32.18,17,19.54,6,6.9,16,18.39,42063
42,64,37,9,24.32,4,10.81,6,16.22,3,8.11,7,18.92,8,21.62,42064
42,65,68,9,13.24,7,10.29,23,33.82,9,13.24,4,5.88,16,23.53,42065
42,66,62,19,30.65,12,19.35,9,14.52,4,6.45,8,12.9,10,16.13,42066
42,67,165,36,21.82,13,7.88,27,16.36,15,9.09,24,14.55,50,30.3,42067
42,68,80,9,11.25,11,13.75,22,27.5,10,12.5,10,12.5,18,22.5,42068
43,1,90,14,15.56,7,7.78,31,34.44,6,6.67,27,30.0,5,5.56,43001
43,2,64,10,15.63,13,20.31,15,23.44,13,20.31,4,6.25,9,14.06,43002
43,3,100,13,13.0,15,15.0,32,32.0,5,5.0,2,2.0,33,33.0,43003
43,4,84,11,13.1,12,14.29,28,33.33,8,9.52,7,8.33,18,21.43,43004
43,5,104,15,14.42,15,14.42,30,28.85,17,16.35,3,2.88,24,23.08,43005
43,6,98,28,28.57,14,14.29,26,26.53,6,6.12,4,4.08,20,20.41,43006
43,7,84,23,27.38,12,14.29,15,17.86,10,11.9,9,10.71,15,17.86,43007
43,8,106,22,20.75,6,5.66,35,33.02,15,14.15,8,7.55,20,18.87,43008
43,9,74,7,9.46,10,13.51,16,21.62,4,5.41,28,37.84,9,12.16,43009
43,10,81,12,14.81,5,6.17,19,23.46,18,22.22,8,9.88,19,23.46,43010
43,11,67,12,17.91,11,16.42,18,26.87,8,11.94,2,2.99,16,23.88,43011
43,12,121,23,19.01,13,10.74,28,23.14,15,12.4,13,10.74,29,23.97,43012
43,13,71,15,21.13,7,9.86,20,28.17,8,11.27,4,5.63,17,23.94,43013
