ward,precinct,total,BARBARA M MEYER,BARBARA M MEYER Percent,HENRY M. SINGER,HENRY M. SINGER Percent,"JOHN M. """"JACK"""" CUTRONE","JOHN M. """"JACK"""" CUTRONE Percent",PAUL WILLIAM PLOTNICK,PAUL WILLIAM PLOTNICK Percent,GEORGE J. MANDRONIS,GEORGE J. MANDRONIS Percent,"WILLIAM R. JACKSON, JR.","WILLIAM R. JACKSON, JR. Percent",precinct_id
39,23,90,31,34.44,10,11.11,32,35.56,8,8.89,7,7.78,2,2.22,39023
39,32,262,38,14.5,178,67.94,16,6.11,10,3.82,14,5.34,6,2.29,39032
39,34,247,29,11.74,172,69.64,13,5.26,13,5.26,14,5.67,6,2.43,39034
39,41,44,6,13.64,27,61.36,3,6.82,1,2.27,3,6.82,4,9.09,39041
40,9,72,18,25.0,13,18.06,22,30.56,8,11.11,6,8.33,5,6.94,40009
40,12,102,24,23.53,4,3.92,54,52.94,5,4.9,3,2.94,12,11.76,40012
40,13,100,41,41.0,11,11.0,36,36.0,5,5.0,1,1.0,6,6.0,40013
40,18,86,30,34.88,9,10.47,23,26.74,7,8.14,4,4.65,13,15.12,40018
40,26,134,34,25.37,6,4.48,73,54.48,3,2.24,3,2.24,15,11.19,40026
40,28,132,48,36.36,11,8.33,40,30.3,10,7.58,6,4.55,17,12.88,40028
40,35,139,46,33.09,22,15.83,37,26.62,12,8.63,5,3.6,17,12.23,40035
40,37,134,60,44.78,17,12.69,27,20.15,9,6.72,2,1.49,19,14.18,40037
40,39,89,34,38.2,9,10.11,20,22.47,7,7.87,8,8.99,11,12.36,40039
40,47,112,43,38.39,8,7.14,37,33.04,8,7.14,5,4.46,11,9.82,40047
41,47,155,59,38.06,18,11.61,51,32.9,9,5.81,13,8.39,5,3.23,41047
41,54,128,37,28.91,20,15.63,53,41.41,8,6.25,8,6.25,2,1.56,41054
45,1,118,48,40.68,12,10.17,25,21.19,12,10.17,18,15.25,3,2.54,45001
45,4,135,48,35.56,16,11.85,46,34.07,8,5.93,10,7.41,7,5.19,45004
45,58,86,23,26.74,7,8.14,37,43.02,7,8.14,10,11.63,2,2.33,45058
48,2,120,39,32.5,6,5.0,38,31.67,8,6.67,6,5.0,23,19.17,48002
48,13,84,28,33.33,15,17.86,21,25.0,11,13.1,5,5.95,4,4.76,48013
48,22,193,72,37.31,18,9.33,48,24.87,15,7.77,11,5.7,29,15.03,48022
48,32,113,39,34.51,11,9.73,25,22.12,4,3.54,7,6.19,27,23.89,48032
48,33,112,35,31.25,15,13.39,35,31.25,14,12.5,5,4.46,8,7.14,48033
48,41,63,22,34.92,3,4.76,7,11.11,5,7.94,1,1.59,25,39.68,48041
49,1,124,38,30.65,14,11.29,35,28.23,1,0.81,2,1.61,34,27.42,49001
49,2,161,61,37.89,21,13.04,40,24.84,12,7.45,5,3.11,22,13.66,49002
49,3,129,41,31.78,9,6.98,47,36.43,7,5.43,3,2.33,22,17.05,49003
49,4,91,22,24.18,12,13.19,19,20.88,5,5.49,2,2.2,31,34.07,49004
49,5,123,31,25.2,12,9.76,44,35.77,8,6.5,3,2.44,25,20.33,49005
49,6,108,34,31.48,6,5.56,39,36.11,7,6.48,4,3.7,18,16.67,49006
49,7,85,20,23.53,14,16.47,27,31.76,3,3.53,5,5.88,16,18.82,49007
49,8,121,42,34.71,12,9.92,38,31.4,5,4.13,6,4.96,18,14.88,49008
49,9,100,30,30.0,6,6.0,33,33.0,9,9.0,3,3.0,19,19.0,49009
49,10,171,44,25.73,19,11.11,80,46.78,6,3.51,6,3.51,16,9.36,49010
49,11,131,33,25.19,13,9.92,45,34.35,6,4.58,3,2.29,31,23.66,49011
49,12,88,32,36.36,11,12.5,20,22.73,4,4.55,8,9.09,13,14.77,49012
49,13,136,42,30.88,10,7.35,57,41.91,7,5.15,6,4.41,14,10.29,49013
49,14,103,30,29.13,18,17.48,32,31.07,7,6.8,5,4.85,11,10.68,49014
49,15,124,50,40.32,12,9.68,27,21.77,7,5.65,5,4.03,23,18.55,49015
49,16,116,32,27.59,9,7.76,41,35.34,8,6.9,5,4.31,21,18.1,49016
49,18,103,31,30.1,11,10.68,33,32.04,5,4.85,2,1.94,21,20.39,49018
49,19,100,31,31.0,12,12.0,29,29.0,4,4.0,3,3.0,21,21.0,49019
49,20,141,36,25.53,22,15.6,47,33.33,7,4.96,4,2.84,25,17.73,49020
49,21,66,27,40.91,1,1.52,28,42.42,4,6.06,2,3.03,4,6.06,49021
49,22,135,44,32.59,14,10.37,41,30.37,6,4.44,5,3.7,25,18.52,49022
49,23,112,37,33.04,6,5.36,31,27.68,7,6.25,3,2.68,28,25.0,49023
49,24,144,48,33.33,11,7.64,32,22.22,4,2.78,6,4.17,43,29.86,49024
49,25,94,33,35.11,7,7.45,30,31.91,7,7.45,4,4.26,13,13.83,49025
49,26,184,53,28.8,15,8.15,67,36.41,12,6.52,6,3.26,31,16.85,49026
49,27,131,36,27.48,10,7.63,26,19.85,10,7.63,1,0.76,48,36.64,49027
49,28,128,35,27.34,13,10.16,35,27.34,3,2.34,4,3.13,38,29.69,49028
49,29,62,24,38.71,4,6.45,20,32.26,3,4.84,2,3.23,9,14.52,49029
49,30,92,29,31.52,8,8.7,25,27.17,2,2.17,1,1.09,27,29.35,49030
49,31,115,38,33.04,13,11.3,39,33.91,4,3.48,2,1.74,19,16.52,49031
49,32,111,37,33.33,14,12.61,44,39.64,4,3.6,6,5.41,6,5.41,49032
49,33,96,26,27.08,11,11.46,35,36.46,2,2.08,0,0.0,22,22.92,49033
49,34,80,24,30.0,9,11.25,22,27.5,7,8.75,3,3.75,15,18.75,49034
49,35,105,36,34.29,15,14.29,39,37.14,4,3.81,3,2.86,8,7.62,49035
49,36,79,21,26.58,3,3.8,34,43.04,3,3.8,4,5.06,14,17.72,49036
49,37,88,26,29.55,14,15.91,23,26.14,2,2.27,9,10.23,14,15.91,49037
50,1,111,25,22.52,23,20.72,27,24.32,13,11.71,6,5.41,17,15.32,50001
50,2,143,36,25.17,20,13.99,52,36.36,9,6.29,7,4.9,19,13.29,50002
50,3,109,34,31.19,18,16.51,35,32.11,8,7.34,4,3.67,10,9.17,50003
50,4,174,41,23.56,79,45.4,26,14.94,17,9.77,3,1.72,8,4.6,50004
50,5,206,46,22.33,114,55.34,17,8.25,24,11.65,2,0.97,3,1.46,50005
50,6,156,21,13.46,100,64.1,20,12.82,5,3.21,4,2.56,6,3.85,50006
50,7,189,46,24.34,67,35.45,57,30.16,3,1.59,4,2.12,12,6.35,50007
50,9,116,25,21.55,39,33.62,28,24.14,13,11.21,6,5.17,5,4.31,50009
50,10,177,25,14.12,123,69.49,10,5.65,8,4.52,8,4.52,3,1.69,50010
50,11,167,25,14.97,106,63.47,10,5.99,14,8.38,6,3.59,6,3.59,50011
50,12,165,32,19.39,112,67.88,3,1.82,17,10.3,1,0.61,0,0.0,50012
50,13,113,29,25.66,44,38.94,17,15.04,9,7.96,7,6.19,7,6.19,50013
50,14,142,25,17.61,87,61.27,17,11.97,9,6.34,2,1.41,2,1.41,50014
50,15,166,58,34.94,39,23.49,48,28.92,12,7.23,5,3.01,4,2.41,50015
50,16,116,16,13.79,73,62.93,4,3.45,20,17.24,1,0.86,2,1.72,50016
50,17,147,20,13.61,74,50.34,8,5.44,12,8.16,27,18.37,6,4.08,50017
50,18,147,27,18.37,89,60.54,12,8.16,12,8.16,1,0.68,6,4.08,50018
50,19,141,39,27.66,64,45.39,15,10.64,9,6.38,9,6.38,5,3.55,50019
50,20,119,26,21.85,35,29.41,32,26.89,9,7.56,11,9.24,6,5.04,50020
