ward,precinct,total,LEWIS NIXON,LEWIS NIXON Percent,DOMENICA ANN STEPHENSON,DOMENICA ANN STEPHENSON Percent,precinct_id
23,49,150,105,70.0,45,30.0,23049
23,50,135,99,73.33,36,26.67,23050
23,51,190,130,68.42,60,31.58,23051
23,52,255,181,70.98,74,29.02,23052
23,53,131,91,69.47,40,30.53,23053
23,54,206,119,57.77,87,42.23,23054
23,55,201,102,50.75,99,49.25,23055
23,56,167,108,64.67,59,35.33,23056
23,57,168,99,58.93,69,41.07,23057
23,58,294,211,71.77,83,28.23,23058
23,59,126,88,69.84,38,30.16,23059
23,60,232,138,59.48,94,40.52,23060
23,61,237,170,71.73,67,28.27,23061
23,62,227,165,72.69,62,27.31,23062
24,1,139,83,59.71,56,40.29,24001
24,2,125,77,61.6,48,38.4,24002
24,3,121,84,69.42,37,30.58,24003
24,4,127,92,72.44,35,27.56,24004
24,5,130,94,72.31,36,27.69,24005
24,6,164,115,70.12,49,29.88,24006
24,7,123,92,74.8,31,25.2,24007
24,8,142,103,72.54,39,27.46,24008
24,9,130,90,69.23,40,30.77,24009
24,10,130,87,66.92,43,33.08,24010
24,11,36,26,72.22,10,27.78,24011
24,12,98,64,65.31,34,34.69,24012
24,13,109,82,75.23,27,24.77,24013
24,14,173,114,65.9,59,34.1,24014
24,15,122,81,66.39,41,33.61,24015
24,16,98,74,75.51,24,24.49,24016
24,17,121,84,69.42,37,30.58,24017
24,18,78,52,66.67,26,33.33,24018
24,19,110,73,66.36,37,33.64,24019
24,20,158,90,56.96,68,43.04,24020
24,21,101,62,61.39,39,38.61,24021
24,22,138,88,63.77,50,36.23,24022
24,23,145,103,71.03,42,28.97,24023
24,24,115,78,67.83,37,32.17,24024
24,25,136,98,72.06,38,27.94,24025
24,26,148,99,66.89,49,33.11,24026
24,27,70,55,78.57,15,21.43,24027
24,28,160,128,80.0,32,20.0,24028
24,29,135,95,70.37,40,29.63,24029
24,30,121,77,63.64,44,36.36,24030
24,31,128,82,64.06,46,35.94,24031
24,32,157,120,76.43,37,23.57,24032
24,33,97,62,63.92,35,36.08,24033
24,34,106,76,71.7,30,28.3,24034
24,35,144,92,63.89,52,36.11,24035
24,36,115,89,77.39,26,22.61,24036
24,37,149,105,70.47,44,29.53,24037
24,38,142,102,71.83,40,28.17,24038
24,39,143,113,79.02,30,20.98,24039
24,40,188,133,70.74,55,29.26,24040
24,41,112,75,66.96,37,33.04,24041
24,42,118,82,69.49,36,30.51,24042
24,43,114,69,60.53,45,39.47,24043
24,44,56,48,85.71,8,14.29,24044
24,45,113,85,75.22,28,24.78,24045
24,46,131,101,77.1,30,22.9,24046
24,47,125,85,68.0,40,32.0,24047
24,48,28,14,50.0,14,50.0,24048
24,49,164,109,66.46,55,33.54,24049
24,50,201,126,62.69,75,37.31,24050
24,51,179,114,63.69,65,36.31,24051
24,52,146,89,60.96,57,39.04,24052
24,53,104,57,54.81,47,45.19,24053
25,1,127,55,43.31,72,56.69,25001
25,2,135,51,37.78,84,62.22,25002
25,3,79,38,48.1,41,51.9,25003
25,4,224,112,50.0,112,50.0,25004
25,5,138,77,55.8,61,44.2,25005
25,6,155,62,40.0,93,60.0,25006
25,7,126,54,42.86,72,57.14,25007
25,8,160,73,45.63,87,54.38,25008
25,9,183,94,51.37,89,48.63,25009
25,10,45,31,68.89,14,31.11,25010
25,11,160,77,48.13,83,51.88,25011
25,12,131,54,41.22,77,58.78,25012
25,13,140,56,40.0,84,60.0,25013
25,14,75,40,53.33,35,46.67,25014
25,15,123,67,54.47,56,45.53,25015
25,16,50,28,56.0,22,44.0,25016
25,17,152,64,42.11,88,57.89,25017
25,18,113,73,64.6,40,35.4,25018
25,19,134,69,51.49,65,48.51,25019
25,20,186,89,47.85,97,52.15,25020
25,21,93,59,63.44,34,36.56,25021
25,22,98,36,36.73,62,63.27,25022
25,23,143,65,45.45,78,54.55,25023
25,24,124,49,39.52,75,60.48,25024
26,1,114,61,53.51,53,46.49,26001
26,2,96,45,46.88,51,53.13,26002
26,3,87,37,42.53,50,57.47,26003
26,4,132,53,40.15,79,59.85,26004
26,5,121,49,40.5,72,59.5,26005
26,6,118,61,51.69,57,48.31,26006
26,7,43,18,41.86,25,58.14,26007
26,8,70,36,51.43,34,48.57,26008
26,9,88,35,39.77,53,60.23,26009
26,10,101,45,44.55,56,55.45,26010
26,11,142,84,59.15,58,40.85,26011
26,12,101,37,36.63,64,63.37,26012
26,13,132,57,43.18,75,56.82,26013
26,14,168,78,46.43,90,53.57,26014
26,15,68,29,42.65,39,57.35,26015
26,16,111,60,54.05,51,45.95,26016
26,17,105,54,51.43,51,48.57,26017
26,18,130,68,52.31,62,47.69,26018
26,19,154,84,54.55,70,45.45,26019
26,20,70,33,47.14,37,52.86,26020
26,21,92,43,46.74,49,53.26,26021
26,22,65,30,46.15,35,53.85,26022
26,23,105,62,59.05,43,40.95,26023
26,24,148,65,43.92,83,56.08,26024
26,25,159,63,39.62,96,60.38,26025
26,26,54,23,42.59,31,57.41,26026
26,27,76,40,52.63,36,47.37,26027
26,28,157,71,45.22,86,54.78,26028
26,29,117,59,50.43,58,49.57,26029
26,30,128,61,47.66,67,52.34,26030
26,31,41,25,60.98,16,39.02,26031
26,32,140,72,51.43,68,48.57,26032
26,33,117,64,54.7,53,45.3,26033
26,34,128,77,60.16,51,39.84,26034
26,35,104,42,40.38,62,59.62,26035
26,36,132,79,59.85,53,40.15,26036
26,37,121,54,44.63,67,55.37,26037
26,38,99,45,45.45,54,54.55,26038
27,1,48,38,79.17,10,20.83,27001
27,2,110,74,67.27,36,32.73,27002
27,3,105,56,53.33,49,46.67,27003
27,4,71,39,54.93,32,45.07,27004
27,5,58,34,58.62,24,41.38,27005
27,6,85,43,50.59,42,49.41,27006
27,7,85,47,55.29,38,44.71,27007
27,8,62,37,59.68,25,40.32,27008
27,9,236,190,80.51,46,19.49,27009
27,10,221,139,62.9,82,37.1,27010
27,11,87,52,59.77,35,40.23,27011
27,12,113,98,86.73,15,13.27,27012
27,13,257,156,60.7,101,39.3,27013
27,14,56,39,69.64,17,30.36,27014
27,15,94,68,72.34,26,27.66,27015
27,16,89,51,57.3,38,42.7,27016
27,17,151,82,54.3,69,45.7,27017
27,18,52,27,51.92,25,48.08,27018
27,19,103,71,68.93,32,31.07,27019
27,20,234,193,82.48,41,17.52,27020
27,21,68,56,82.35,12,17.65,27021
27,22,123,83,67.48,40,32.52,27022
27,23,106,68,64.15,38,35.85,27023
27,24,156,111,71.15,45,28.85,27024
27,25,90,59,65.56,31,34.44,27025
27,26,233,144,61.8,89,38.2,27026
27,27,57,28,49.12,29,50.88,27027
27,28,115,73,63.48,42,36.52,27028
27,29,88,56,63.64,32,36.36,27029
27,30,59,27,45.76,32,54.24,27030
27,31,104,68,65.38,36,34.62,27031
27,32,91,38,41.76,53,58.24,27032
27,33,96,70,72.92,26,27.08,27033
27,34,123,86,69.92,37,30.08,27034
27,35,68,40,58.82,28,41.18,27035
27,36,140,79,56.43,61,43.57,27036
27,37,115,73,63.48,42,36.52,27037
27,38,85,55,64.71,30,35.29,27038
27,39,69,50,72.46,19,27.54,27039
27,40,91,67,73.63,24,26.37,27040
27,41,117,56,47.86,61,52.14,27041
27,42,71,40,56.34,31,43.66,27042
27,43,92,56,60.87,36,39.13,27043
27,44,147,90,61.22,57,38.78,27044
27,45,159,111,69.81,48,30.19,27045
27,46,152,126,82.89,26,17.11,27046
27,47,91,62,68.13,29,31.87,27047
27,48,150,101,67.33,49,32.67,27048
27,49,105,60,57.14,45,42.86,27049
27,50,146,88,60.27,58,39.73,27050
27,51,88,64,72.73,24,27.27,27051
27,52,42,34,80.95,8,19.05,27052
27,53,129,71,55.04,58,44.96,27053
27,54,86,41,47.67,45,52.33,27054
27,55,44,31,70.45,13,29.55,27055
27,56,77,43,55.84,34,44.16,27056
27,57,74,45,60.81,29,39.19,27057
27,58,107,51,47.66,56,52.34,27058
27,59,40,27,67.5,13,32.5,27059
28,1,160,106,66.25,54,33.75,28001
