ward,precinct,total,DENNIS MICHAEL McGUIRE,DENNIS MICHAEL McGUIRE Percent,MARY ANNE SPILLANE,MARY ANNE SPILLANE Percent,precinct_id
29,6,58,32,55.17,26,44.83,29006
29,7,123,65,52.85,58,47.15,29007
29,17,0,0,0.0,0,0.0,29017
29,24,170,97,57.06,73,42.94,29024
29,25,189,98,51.85,91,48.15,29025
29,30,106,56,52.83,50,47.17,29030
29,36,174,83,47.7,91,52.3,29036
29,39,128,57,44.53,71,55.47,29039
29,48,59,28,47.46,31,52.54,29048
29,49,208,110,52.88,98,47.12,29049
29,52,137,71,51.82,66,48.18,29052
29,53,98,55,56.12,43,43.88,29053
29,54,111,59,53.15,52,46.85,29054
30,5,94,56,59.57,38,40.43,30005
30,7,146,91,62.33,55,37.67,30007
30,8,171,88,51.46,83,48.54,30008
30,9,263,157,59.7,106,40.3,30009
30,10,127,79,62.2,48,37.8,30010
30,11,130,79,60.77,51,39.23,30011
30,14,102,60,58.82,42,41.18,30014
30,16,118,59,50.0,59,50.0,30016
30,22,107,58,54.21,49,45.79,30022
30,24,60,35,58.33,25,41.67,30024
30,25,139,77,55.4,62,44.6,30025
30,27,123,59,47.97,64,52.03,30027
30,30,161,98,60.87,63,39.13,30030
30,31,117,63,53.85,54,46.15,30031
30,35,109,56,51.38,53,48.62,30035
30,36,113,62,54.87,51,45.13,30036
30,37,109,67,61.47,42,38.53,30037
30,38,152,88,57.89,64,42.11,30038
30,39,130,85,65.38,45,34.62,30039
30,40,131,88,67.18,43,32.82,30040
30,42,148,75,50.68,73,49.32,30042
31,18,29,18,62.07,11,37.93,31018
33,16,166,83,50.0,83,50.0,33016
36,1,152,102,67.11,50,32.89,36001
36,2,135,86,63.7,49,36.3,36002
36,3,200,157,78.5,43,21.5,36003
36,4,63,45,71.43,18,28.57,36004
36,5,137,84,61.31,53,38.69,36005
36,6,151,111,73.51,40,26.49,36006
36,7,169,111,65.68,58,34.32,36007
36,8,189,110,58.2,79,41.8,36008
36,9,175,131,74.86,44,25.14,36009
36,10,163,94,57.67,69,42.33,36010
36,11,253,160,63.24,93,36.76,36011
36,12,188,117,62.23,71,37.77,36012
36,13,314,251,79.94,63,20.06,36013
36,14,221,171,77.38,50,22.62,36014
36,15,157,118,75.16,39,24.84,36015
36,16,184,102,55.43,82,44.57,36016
36,17,155,101,65.16,54,34.84,36017
36,18,202,118,58.42,84,41.58,36018
36,19,356,323,90.73,33,9.27,36019
36,20,253,189,74.7,64,25.3,36020
36,21,174,104,59.77,70,40.23,36021
36,22,234,141,60.26,93,39.74,36022
36,23,117,86,73.5,31,26.5,36023
36,24,173,94,54.34,79,45.66,36024
36,25,122,83,68.03,39,31.97,36025
36,26,268,179,66.79,89,33.21,36026
36,27,154,98,63.64,56,36.36,36027
36,28,157,111,70.7,46,29.3,36028
36,29,193,129,66.84,64,33.16,36029
36,30,232,173,74.57,59,25.43,36030
36,31,197,145,73.6,52,26.4,36031
36,32,203,155,76.35,48,23.65,36032
36,33,163,88,53.99,75,46.01,36033
36,34,128,85,66.41,43,33.59,36034
36,35,217,150,69.12,67,30.88,36035
36,36,166,106,63.86,60,36.14,36036
36,37,142,94,66.2,48,33.8,36037
36,38,125,90,72.0,35,28.0,36038
36,39,187,121,64.71,66,35.29,36039
36,40,199,143,71.86,56,28.14,36040
36,41,128,71,55.47,57,44.53,36041
36,42,132,75,56.82,57,43.18,36042
36,43,189,110,58.2,79,41.8,36043
36,44,167,84,50.3,83,49.7,36044
36,45,159,99,62.26,60,37.74,36045
36,46,171,110,64.33,61,35.67,36046
36,47,159,111,69.81,48,30.19,36047
36,48,182,122,67.03,60,32.97,36048
36,49,166,104,62.65,62,37.35,36049
36,50,215,175,81.4,40,18.6,36050
36,51,204,140,68.63,64,31.37,36051
36,52,154,98,63.64,56,36.36,36052
36,53,186,118,63.44,68,36.56,36053
36,54,228,135,59.21,93,40.79,36054
36,55,225,137,60.89,88,39.11,36055
36,56,137,85,62.04,52,37.96,36056
37,16,162,68,41.98,94,58.02,37016
37,34,15,6,40.0,9,60.0,37034
38,1,118,73,61.86,45,38.14,38001
38,2,156,89,57.05,67,42.95,38002
38,3,160,107,66.88,53,33.13,38003
38,6,160,90,56.25,70,43.75,38006
38,7,194,112,57.73,82,42.27,38007
38,8,219,128,58.45,91,41.55,38008
38,9,148,80,54.05,68,45.95,38009
38,10,135,94,69.63,41,30.37,38010
38,11,124,57,45.97,67,54.03,38011
38,12,104,63,60.58,41,39.42,38012
38,13,138,77,55.8,61,44.2,38013
38,14,149,91,61.07,58,38.93,38014
38,15,122,86,70.49,36,29.51,38015
38,16,188,129,68.62,59,31.38,38016
38,17,144,96,66.67,48,33.33,38017
38,18,143,86,60.14,57,39.86,38018
38,19,121,71,58.68,50,41.32,38019
38,20,139,64,46.04,75,53.96,38020
38,21,144,85,59.03,59,40.97,38021
38,22,168,100,59.52,68,40.48,38022
38,23,122,76,62.3,46,37.7,38023
38,24,84,42,50.0,42,50.0,38024
38,25,139,90,64.75,49,35.25,38025
38,26,122,78,63.93,44,36.07,38026
38,27,99,47,47.47,52,52.53,38027
38,28,115,67,58.26,48,41.74,38028
38,29,115,67,58.26,48,41.74,38029
38,30,134,84,62.69,50,37.31,38030
38,31,162,104,64.2,58,35.8,38031
38,32,168,95,56.55,73,43.45,38032
38,33,128,82,64.06,46,35.94,38033
38,34,129,75,58.14,54,41.86,38034
38,35,154,95,61.69,59,38.31,38035
38,36,170,114,67.06,56,32.94,38036
38,37,170,99,58.24,71,41.76,38037
38,38,171,99,57.89,72,42.11,38038
38,39,138,86,62.32,52,37.68,38039
38,40,109,66,60.55,43,39.45,38040
38,43,155,93,60.0,62,40.0,38043
38,44,145,82,56.55,63,43.45,38044
38,45,170,101,59.41,69,40.59,38045
38,46,139,78,56.12,61,43.88,38046
38,47,152,88,57.89,64,42.11,38047
38,48,149,87,58.39,62,41.61,38048
38,49,146,88,60.27,58,39.73,38049
38,50,172,103,59.88,69,40.12,38050
38,51,125,72,57.6,53,42.4,38051
38,52,150,78,52.0,72,48.0,38052
38,53,146,74,50.68,72,49.32,38053
38,54,167,104,62.28,63,37.72,38054
38,55,232,166,71.55,66,28.45,38055
38,56,147,79,53.74,68,46.26,38056
41,25,75,46,61.33,29,38.67,41025
41,26,77,40,51.95,37,48.05,41026
41,27,67,38,56.72,29,43.28,41027
41,28,64,30,46.88,34,53.13,41028
41,29,46,23,50.0,23,50.0,41029
41,38,91,40,43.96,51,56.04,41038
41,48,102,58,56.86,44,43.14,41048
