ward,precinct,total,CHARLES G. MORROW III,CHARLES G. MORROW III Percent,precinct_id
6,4,88,88,100.0,06004
6,5,106,106,100.0,06005
6,6,109,109,100.0,06006
6,7,175,175,100.0,06007
6,11,173,173,100.0,06011
6,12,105,105,100.0,06012
6,15,128,128,100.0,06015
6,18,46,46,100.0,06018
6,30,171,171,100.0,06030
6,32,170,170,100.0,06032
6,33,257,257,100.0,06033
6,36,94,94,100.0,06036
6,40,95,95,100.0,06040
6,48,83,83,100.0,06048
6,61,128,128,100.0,06061
13,13,220,220,100.0,13013
13,17,123,123,100.0,13017
13,19,148,148,100.0,13019
13,26,154,154,100.0,13026
13,30,174,174,100.0,13030
13,45,171,171,100.0,13045
13,55,184,184,100.0,13055
14,1,8,8,100.0,14001
14,10,72,72,100.0,14010
14,15,59,59,100.0,14015
14,17,77,77,100.0,14017
14,20,119,119,100.0,14020
14,21,215,215,100.0,14021
14,25,131,131,100.0,14025
14,27,70,70,100.0,14027
14,38,100,100,100.0,14038
14,44,153,153,100.0,14044
14,45,141,141,100.0,14045
14,48,101,101,100.0,14048
15,1,152,152,100.0,15001
15,3,151,151,100.0,15003
15,6,120,120,100.0,15006
15,7,64,64,100.0,15007
15,8,110,110,100.0,15008
15,9,97,97,100.0,15009
15,10,186,186,100.0,15010
15,11,135,135,100.0,15011
15,12,93,93,100.0,15012
15,13,85,85,100.0,15013
15,14,68,68,100.0,15014
15,15,105,105,100.0,15015
15,16,195,195,100.0,15016
15,19,135,135,100.0,15019
15,21,174,174,100.0,15021
15,25,143,143,100.0,15025
15,27,154,154,100.0,15027
15,28,218,218,100.0,15028
15,30,0,0,0.0,15030
15,31,6,6,100.0,15031
15,32,117,117,100.0,15032
15,33,1,1,100.0,15033
15,34,74,74,100.0,15034
15,40,0,0,0.0,15040
15,41,118,118,100.0,15041
15,42,90,90,100.0,15042
15,44,103,103,100.0,15044
15,45,141,141,100.0,15045
15,46,104,104,100.0,15046
15,47,137,137,100.0,15047
15,48,17,17,100.0,15048
17,1,82,82,100.0,17001
17,6,109,109,100.0,17006
17,8,93,93,100.0,17008
17,11,30,30,100.0,17011
17,13,0,0,0.0,17013
17,14,4,4,100.0,17014
17,16,157,157,100.0,17016
17,17,102,102,100.0,17017
17,19,19,19,100.0,17019
17,34,120,120,100.0,17034
17,36,85,85,100.0,17036
17,39,114,114,100.0,17039
17,40,50,50,100.0,17040
17,41,126,126,100.0,17041
17,42,2,2,100.0,17042
17,43,111,111,100.0,17043
17,45,89,89,100.0,17045
17,46,158,158,100.0,17046
17,49,123,123,100.0,17049
18,1,191,191,100.0,18001
18,2,194,194,100.0,18002
18,5,135,135,100.0,18005
18,8,125,125,100.0,18008
18,11,122,122,100.0,18011
18,13,10,10,100.0,18013
18,15,20,20,100.0,18015
18,17,211,211,100.0,18017
18,21,226,226,100.0,18021
18,23,143,143,100.0,18023
18,28,61,61,100.0,18028
18,29,131,131,100.0,18029
18,31,133,133,100.0,18031
18,33,115,115,100.0,18033
20,10,173,173,100.0,20010
20,13,1,1,100.0,20013
20,16,59,59,100.0,20016
20,25,79,79,100.0,20025
20,28,159,159,100.0,20028
20,30,145,145,100.0,20030
20,35,78,78,100.0,20035
20,40,120,120,100.0,20040
20,43,218,218,100.0,20043
20,44,0,0,0.0,20044
20,49,103,103,100.0,20049
20,51,132,132,100.0,20051
