ward,precinct,total,SARA FEIGENHOLTZ,SARA FEIGENHOLTZ Percent,precinct_id
42,8,147,147,100.0,42008
42,10,104,104,100.0,42010
42,15,131,131,100.0,42015
42,16,181,181,100.0,42016
42,28,124,124,100.0,42028
42,30,54,54,100.0,42030
42,33,176,176,100.0,42033
42,34,107,107,100.0,42034
42,36,134,134,100.0,42036
42,59,16,16,100.0,42059
43,4,88,88,100.0,43004
43,8,105,105,100.0,43008
43,12,151,151,100.0,43012
43,14,97,97,100.0,43014
43,16,98,98,100.0,43016
43,17,79,79,100.0,43017
43,18,133,133,100.0,43018
43,19,50,50,100.0,43019
43,20,101,101,100.0,43020
43,23,98,98,100.0,43023
43,24,87,87,100.0,43024
43,25,116,116,100.0,43025
43,26,100,100,100.0,43026
43,27,84,84,100.0,43027
43,32,73,73,100.0,43032
43,33,55,55,100.0,43033
43,34,61,61,100.0,43034
43,36,87,87,100.0,43036
43,37,80,80,100.0,43037
43,38,88,88,100.0,43038
43,42,120,120,100.0,43042
43,43,87,87,100.0,43043
43,44,125,125,100.0,43044
43,45,1,1,100.0,43045
43,46,149,149,100.0,43046
43,48,101,101,100.0,43048
43,49,79,79,100.0,43049
43,52,138,138,100.0,43052
43,53,116,116,100.0,43053
43,58,68,68,100.0,43058
43,59,137,137,100.0,43059
44,1,157,157,100.0,44001
44,2,97,97,100.0,44002
44,3,194,194,100.0,44003
44,4,166,166,100.0,44004
44,5,137,137,100.0,44005
44,6,116,116,100.0,44006
44,7,162,162,100.0,44007
44,8,154,154,100.0,44008
44,10,134,134,100.0,44010
44,12,103,103,100.0,44012
44,13,136,136,100.0,44013
44,14,1,1,100.0,44014
44,15,163,163,100.0,44015
44,17,167,167,100.0,44017
44,18,54,54,100.0,44018
44,19,82,82,100.0,44019
44,20,140,140,100.0,44020
44,21,125,125,100.0,44021
44,22,127,127,100.0,44022
44,23,118,118,100.0,44023
44,24,96,96,100.0,44024
44,25,99,99,100.0,44025
44,26,93,93,100.0,44026
44,27,73,73,100.0,44027
44,28,88,88,100.0,44028
44,29,121,121,100.0,44029
44,30,93,93,100.0,44030
44,31,172,172,100.0,44031
44,32,80,80,100.0,44032
44,33,151,151,100.0,44033
44,34,96,96,100.0,44034
44,35,128,128,100.0,44035
44,36,127,127,100.0,44036
44,37,190,190,100.0,44037
44,38,156,156,100.0,44038
44,39,145,145,100.0,44039
44,41,129,129,100.0,44041
44,42,127,127,100.0,44042
44,44,183,183,100.0,44044
44,45,57,57,100.0,44045
44,46,96,96,100.0,44046
44,48,116,116,100.0,44048
44,49,112,112,100.0,44049
44,50,1,1,100.0,44050
46,1,276,276,100.0,46001
46,3,171,171,100.0,46003
46,5,108,108,100.0,46005
46,10,115,115,100.0,46010
46,13,178,178,100.0,46013
46,15,125,125,100.0,46015
46,17,214,214,100.0,46017
46,18,197,197,100.0,46018
46,24,126,126,100.0,46024
46,28,119,119,100.0,46028
46,29,167,167,100.0,46029
46,30,175,175,100.0,46030
46,31,181,181,100.0,46031
46,33,158,158,100.0,46033
46,34,28,28,100.0,46034
46,36,192,192,100.0,46036
46,37,185,185,100.0,46037
